GEOID20,District
060590635005,36
060590635003,36
060590635002,36
060599901000,36
060590635001,36
060590635004,36
060590626431,36
060590626562,36
060590626436,36
060590626437,36
060590626432,36
060590626435,36
060590626454,36
060590626453,36
060590626451,36
060590626434,36
060590626561,36
060590626321,36
060590626554,37
060590626552,37
060590626553,37
060590626551,37
060590626147,37
060590525181,37
060590525321,37
060590525324,37
060590525133,37
060590525132,37
060590525061,37
060590626391,37
060590626332,37
060590626382,37
060590626381,37
060375990004,33
060375990002,33
060375990001,33
060375991002,33
060375990003,33
060590626563,36
060590626482,37
060590626393,37
060590626392,37
060590626402,37
060590626401,37
060590626394,37
060590626383,37
060590626054,36
060590626052,36
060590626194,36
060590626053,36
060590626363,37
060590423204,37
060590423344,37
060590423343,37
060710002033,22
060710003053,22
060710002073,22
060710003052,22
060710003061,22
060710002072,22
060710002071,22
060710002031,22
060590423352,37
060590423342,37
060590423281,38
060590423332,38
060590320222,38
060590320134,38
060590626193,36
060590626323,36
060590626191,36
060590423051,36
060590423052,36
060590423241,36
060590423233,36
060590423242,36
060590320023,38
060590320031,38
060590320282,38
060590320022,38
060590320224,38
060590320131,38
060590320133,38
060590320591,38
060590320593,38
060590320573,38
060590320595,38
060590320572,38
060590320571,38
060590320393,38
060590320392,38
060590320481,38
060590320474,38
060590524271,37
060590524272,37
060590320594,38
060590320662,38
060590320654,38
060590320534,38
060590320653,38
060590320666,38
060590320652,38
060590320451,38
060590320381,38
060590320533,38
060590320651,38
060590320665,38
060590320464,38
060590320461,38
060590320452,38
060590320463,38
060650481002,32
060590320112,37
060650464011,32
060590626201,36
060590626192,36
060590626322,36
060590626324,36
060590423053,36
060650430101,32
060650430103,32
060650430032,32
060650432722,32
060650432723,32
060650432721,32
060650464033,32
060650464032,32
060650432712,32
060590423171,37
060590423172,37
060590423293,37
060590423252,37
060590423261,37
060590423262,37
060590423191,37
060590423192,37
060590423361,37
060730187001,38
060730190011,38
060650464051,32
060650464031,32
060650497022,32
060650497023,32
060650427332,32
060650427142,32
060650427161,32
060650427141,32
060650427162,32
060650497021,32
060650506003,32
060650497011,32
060650506001,32
060650506002,32
060650432273,32
060650506004,32
060650506005,32
060650498001,32
060650432272,32
060650432293,32
060650432271,32
060650432761,32
060650432781,32
060650432792,32
060650498002,32
060650432061,32
060650432065,32
060650432114,32
060650503021,32
060650432113,32
060650432101,32
060650503023,32
060650505022,32
060650432102,32
060650505011,32
060650432092,32
060650503011,32
060650503022,32
060650507011,32
060650432091,32
060650432962,32
060650503012,32
060650432961,32
060650432972,32
060650432951,32
060650427381,32
060650427392,32
060650432971,32
060650432941,32
060650432942,32
060650432952,32
060650432953,32
060650432051,32
060650432052,32
060650432043,32
060650432042,32
060650432921,32
060650432932,32
060650432931,32
060650444062,32
060650433042,32
060710121062,19
060650444071,32
060650444072,32
060650444033,32
060650444073,32
060650444052,32
060650448072,19
060650451092,19
060650456101,18
060650456162,18
060650456122,18
060650456102,18
060650456121,18
060590423362,37
060590423291,37
060590423154,37
060590423153,37
060590320221,38
060590320223,38
060590423414,38
060590423122,38
060590423111,38
060710104251,19
060590320611,38
060590320614,38
060590320613,38
060590320612,38
060590320581,38
060590320583,38
060590320582,38
060590320592,38
060590421081,36
060590421062,36
060590421072,36
060590421071,36
060590421084,36
060659810001,18
060650469001,18
060650469002,18
060650459001,18
060650470001,18
060650462002,18
060650461021,18
060650461011,18
060650461032,18
060650470002,18
060650459002,18
060759804011,11
060530115021,17
060590320664,38
060590320663,38
060590320661,38
060590320633,36
060730099011,39
060250124001,18
060259400003,18
060250101011,18
060250119032,18
060250124003,18
060650456123,18
060250102001,18
060250123023,18
060250124002,18
060250123011,18
060650456182,18
060250123021,18
060650456191,18
060650456183,18
060650456181,18
060650456192,18
060250123012,18
060730210021,32
060730210022,32
060730211013,18
060650444032,32
060650444031,32
060650432922,32
060650432032,32
060650432463,32
060650432461,32
060650432011,32
060650432182,32
060650432012,32
060730190021,40
060650432542,32
060650432523,32
060730191082,40
060650432031,32
060650432183,32
060650432181,32
060650432672,32
060650432983,32
060650432981,32
060650496001,32
060650505013,32
060650505012,32
060650432221,32
060650432222,32
060650496004,32
060650496003,32
060650505033,32
060650496002,32
060650505021,32
060650432162,32
060650512001,32
060650505032,32
060650505031,32
060650432541,32
060650512003,32
060730186191,38
060730186192,38
060590421164,36
060590421151,36
060590421083,36
060730188034,40
060730188033,40
060730188032,40
060730186011,38
061119800001,21
061119901000,21
060839801001,21
060375991001,33
060839900000,21
060590423372,37
060590423371,37
060590423373,37
060590423312,37
060590423124,38
060590423303,37
060590423301,37
060590423321,37
060590423323,37
060590423322,37
060590423173,37
060590423311,37
060590423135,36
060590423133,36
060590423131,36
060590423134,36
060590423292,37
060590423313,37
060590423304,37
060590423302,37
060590422036,38
060590423382,36
060590423391,36
060590423381,36
060590626202,36
060590423232,36
060590423234,36
060590423392,36
060590423231,36
060590423132,36
060590421141,36
060590421142,36
060590421143,36
060590423411,36
060590423112,36
060590423393,36
060590423114,36
060590626203,36
060590626204,36
060590423244,37
060590423243,37
060590626051,36
060590421163,36
060590421161,36
060590421091,36
060590421093,36
060590421092,36
060590421094,36
060590320631,36
060590421162,36
060590421133,36
060590421132,36
060590320622,36
060590421121,36
060590320621,36
060590320632,36
060590421085,36
060590421082,36
060590421134,36
060590421131,36
060590421122,36
060590423121,38
060590422032,38
060590422033,38
060590320641,38
060590422035,38
060590320642,38
060590423413,38
060590423401,38
060590422015,36
060590422012,36
060590422014,36
060590422061,36
060590423113,38
060590421112,36
060590421111,36
060590421113,36
060590422051,36
060590421114,36
060590421123,36
060590423415,36
060590423412,38
060590422062,36
060590422053,36
060590421061,36
060590422031,38
060590422034,38
060590422054,36
060590423123,38
060250108001,18
060250110011,18
060250103001,18
060250109001,18
060250109002,18
060250108002,18
060250111002,18
060250118012,18
060250112013,18
060250109003,18
060250109006,18
060730212021,40
060730210012,32
060730210011,32
060730208012,40
060730211012,18
060730211022,18
060730209033,32
060730209032,32
060730198101,38
060730198111,38
060730174031,38
060730171061,38
060730171112,38
060730171064,38
060730083282,38
060730083281,38
060730209042,32
060730209041,32
060730209043,32
060730170652,40
060730170651,40
060730170661,40
060730191103,40
060730191081,40
060730188031,40
060730083684,40
060730083682,40
060730083683,40
060730083361,40
060730083362,40
060730170701,40
060730170662,40
060730170702,40
060730170712,40
060730170711,40
060730170703,40
060730170643,40
060730170642,40
060730170691,40
060730170341,40
060730170524,40
060730170523,40
060730207112,40
060730207111,40
060730201103,40
060730207101,40
060730208071,40
060730170623,38
060730170622,40
060730170311,40
060730170312,40
060730170313,40
060730170552,40
