GEOID20,District
08001001001,8
08031031402,1
08001001002,8
08001001003,8
08001001004,8
08001001122,8
08031031502,1
08001001127,8
08001001005,8
08001001006,8
08001001009,7
08001001010,8
08001001012,8
08001001018,8
08001001011,8
08001001017,8
08001001019,8
08001001020,8
08001001024,8
08001001013,8
08001001026,8
08001001025,8
08001001014,8
08001001015,8
08001001016,8
08001001032,8
08001001031,8
08001001033,8
08001001047,8
08001001045,8
08001001034,8
08001001046,8
08001001055,8
08001001048,8
08001001056,8
08001001057,8
08001001058,8
08001001059,8
08001001054,8
08001001050,8
08001001049,8
08001001053,8
08001001052,8
08001001098,8
08001001099,8
08001001100,8
08001001102,8
08001001051,8
08001001039,8
08001001040,8
08001001037,8
08001001041,8
08001001038,8
08001001042,8
08001001043,8
08001001044,8
08001001035,8
08001001036,8
08001001029,8
08001001030,8
08001001027,8
08001001028,8
08001001250,8
08001001023,8
08001001022,8
08001001120,8
08001001119,8
08001001121,8
08001001117,8
08001001021,8
08001001060,8
08001001061,8
08001001062,8
08001001063,8
08001001065,8
08001001064,8
08001001068,8
08001001066,8
08001001067,8
08001001069,8
08014014033,7
08014014032,7
08001001070,8
08014014036,7
08001001112,8
08001001118,8
08001001115,8
08001001116,8
08001001255,8
08001001111,8
08001001114,8
08001001113,8
08001001105,8
08001001109,8
08001001108,8
08001001106,8
08001001110,8
08001001107,8
08001001132,8
08001001131,8
08001001133,8
08001001139,8
08001001134,8
08001001140,8
08001001130,8
08001001141,8
08001001142,8
08001001206,8
08001001205,8
08001001207,8
08001001210,8
08001001204,8
08001001211,8
08001001203,8
08001001202,8
08001001199,8
08001001201,8
08001001200,8
08001001225,8
08001001218,8
08001001221,8
08001001226,8
08001001223,8
08001001219,8
08001001220,8
08001001222,8
08001001224,8
08001001216,8
08031031742,1
08001001215,8
08001001213,8
08001001214,8
08001001212,8
08001001217,8
08001001208,8
08001001209,8
08001001129,8
08001001128,8
08001001123,8
08001001126,8
08001001254,8
08001001125,8
08001001124,8
08001001103,8
08001001104,8
08001001101,8
08001001097,8
08001001135,8
08001001138,8
08001001154,8
08001001198,8
08001001144,8
08001001143,8
08001001145,8
08001001137,8
08001001136,8
08001001146,8
08001001147,8
08001001094,8
08001001089,8
08001001093,8
08001001096,8
08001001095,8
08001001090,8
08001001091,8
08001001092,8
08001001087,8
08001001148,8
08001001157,8
08001001152,8
08001001153,8
08001001156,8
08001001155,8
08001001088,8
08001001083,8
08001001082,8
08001001084,8
08001001149,8
08001001085,8
08001001086,8
08001001150,8
08001001151,8
08001001078,8
08001001079,8
08001001080,8
08001001076,8
08001001077,8
08001001252,8
08001001075,8
08001001073,8
08001001081,8
08001001074,8
08001001160,8
08001001072,8
08001001071,8
08001001159,8
08001001161,8
08001001158,8
08001001162,8
08001001168,8
08001001169,8
08001001193,8
08001001166,8
08001001167,8
08001001165,8
08001001164,8
08001001163,8
08001001170,8
08001001197,8
08001001192,8
08001001191,8
08001001171,8
08001001172,8
08001001190,8
08001001187,8
08001001189,8
08001001188,8
08001001186,8
08001001184,8
08001001185,8
08001001183,8
08001001196,8
08001001195,8
08001001182,8
08001001194,8
08001001181,8
08001001174,8
08001001176,8
08001001175,8
08001001173,8
08001001227,8
08001001177,8
08001001180,8
08001001179,8
08001001178,8
08001001244,4
08001001230,6
08001001229,6
08001001253,6
08001001231,6
08001001232,6
08001001233,6
08031031744,1
08001001234,6
08001001235,6
08001001236,6
08001001237,6
08031031733,1
08001001238,6
08001001239,6
08001001240,6
08001001241,4
08001001247,4
08001001248,4
08001001251,4
08001001249,4
08003003001,3
08003003002,3
08003003003,3
08003003004,3
08003003005,3
08003003006,3
08003003008,3
08003003007,3
08005005101,6
08005005102,6
08005005104,6
08005005122,6
08005005106,6
08005005103,6
08031031240,1
08005005105,6
08005005115,6
08005005107,6
08005005108,6
08005005109,6
08005005110,6
08005005111,6
08005005112,6
08005005113,6
08005005114,6
08005005116,6
08005005117,6
08005005132,6
08005005118,6
08005005119,6
08005005120,6
08005005121,6
08005005123,6
08005005124,6
08005005140,6
08005005130,6
08005005129,6
08005005125,6
08005005126,6
08005005501,1
08005005502,1
08005005164,6
08005005163,6
08005005202,6
08005005179,6
08005005166,6
08005005178,6
08005005184,6
08005005185,6
08005005177,6
08005005186,6
08005005187,6
08005005188,6
08005005173,6
08005005189,6
08005005141,6
08005005142,6
08031031131,1
08005005143,6
08005005144,6
08005005145,6
08005005146,6
08005005147,6
08005005149,6
08005005148,6
08005005150,6
08005005151,6
08005005152,6
08005005153,6
08005005154,6
08005005155,6
08005005156,6
08005005157,6
08005005158,6
08005005159,6
08005005160,6
08005005161,6
08005005162,6
08005005127,6
08005005165,6
08005005167,6
08005005168,6
08005005169,6
08005005170,6
08005005171,6
08005005172,6
08005005175,6
08005005174,6
08005005176,6
08005005134,6
08005005136,6
08005005131,6
08005005133,6
08005005139,1
08031031911,1
08005005138,1
08005005137,1
08005005180,6
08005005181,6
08005005203,6
08005005205,6
08005005206,6
08005005182,6
08005005207,6
08005005183,6
08005005197,6
08005005196,6
08005005194,6
08005005195,6
08005005193,6
08005005190,6
08005005191,6
08005005192,6
08005005128,6
08005005216,6
08005005213,6
08005005211,6
08005005212,6
08005005214,6
08005005223,6
08005005221,6
08005005224,6
08005005222,6
08005005219,6
08005005220,6
08005005217,6
08005005218,6
08005005241,6
08005005239,6
08005005237,6
08005005235,6
08005005236,6
08005005234,6
08005005286,6
08005005238,6
08005005215,6
08005005208,6
08005005210,6
08005005209,6
08005005227,6
08005005229,6
08005005225,6
08005005226,6
08005005233,6
08005005228,6
08005005201,6
08005005204,6
08031031935,1
08005005231,6
08005005232,6
08031031938,1
08005005253,6
08005005244,6
08005005254,6
08005005255,6
08031031934,1
08005005249,6
08005005248,6
08005005242,6
08005005240,6
08005005243,6
08005005247,6
08005005250,6
08005005246,6
08005005251,6
08005005252,6
08005005256,6
08005005448,6
08005005284,6
08005005455,6
08005005446,6
08005005424,6
08005005450,6
08005005245,6
08005005278,6
08005005263,6
08005005264,6
08005005262,6
08005005258,6
08005005257,6
08005005277,6
08005005259,6
08005005260,6
08005005135,6
08005005281,6
08005005279,6
08005005261,6
08005005282,6
08005005285,6
08005005283,6
08005005324,6
08005005323,6
08005005325,6
08005005326,6
08005005280,6
08005005322,6
08005005331,6
08005005367,6
08005005329,6
08005005320,6
08005005274,6
08005005321,6
08005005370,4
08005005339,6
08005005338,6
08005005340,4
08005005337,4
08005005350,4
08005005336,4
08005005372,6
08005005332,6
08005005330,6
08005005380,6
08005005328,6
08005005379,6
08005005327,6
08005005346,6
08005005381,6
08005005347,6
08005005359,4
08005005345,6
08005005374,6
08005005344,6
08005005349,6
08005005371,6
08005005343,4
08005005373,6
08005005377,6
08005005378,6
08005005357,4
08005005352,6
08005005355,6
08005005366,4
08005005363,4
08005005364,4
08005005365,4
08005005302,6
08005005301,6
08005005303,6
08005005304,6
08005005306,6
08005005305,6
08005005309,6
08005005312,6
08005005308,6
08005005276,6
08005005275,6
08005005313,6
08005005314,6
08005005316,6
08005005267,6
08005005315,6
08005005319,6
08005005311,6
08005005265,6
08005005266,6
08005005317,6
08005005269,6
08005005268,6
08005005270,6
08005005271,6
08005005273,6
08005005272,6
08005005470,6
08005005471,6
08005005472,6
08005005310,6
08005005473,6
08005005474,6
08005005307,6
08005005376,6
08005005356,6
08005005375,6
08005005353,6
08005005354,6
08005005401,6
08031031650,1
08031031906,1
