GEOID20,District
08001001141,21
08001001208,21
08001001101,25
08001001134,24
08001001100,25
08001001103,24
08001001139,24
08001001135,24
08001001133,24
08001001200,21
08001001201,21
08001001202,21
08001001203,21
08001001204,21
08001001211,21
08001001222,21
08001001223,21
08001001213,21
08001001212,21
08001001214,21
08001001219,21
08001001220,21
08001001218,21
08001001221,21
08001001215,21
08001001216,21
08001001168,24
08001001161,24
08001001158,24
08001001157,24
08001001152,24
08001001193,13
08001001155,24
08001001153,24
08001001156,24
08001001252,24
08001001076,24
08001001077,24
08001001149,24
08001001086,24
08001001085,24
08001001084,24
08001001079,24
08001001150,24
08001001078,24
08001001145,24
08001001147,24
08001001146,24
08001001148,24
08001001144,24
08001001143,24
08001001138,24
08001001137,24
08001001136,24
08001001097,24
08001001196,13
08001001195,13
08001001194,13
08001001197,13
08001001244,21
08001001228,21
08001001227,13
08001001243,21
08001001199,21
08001001225,21
08001001224,21
08001001088,24
08001001089,24
08001001210,21
08001001217,21
08001001209,21
08001001163,13
08001001170,13
08001001165,24
08001001164,24
08001001166,24
08001001167,24
08001001178,13
08001001177,13
08001001179,13
08001001180,13
08001001176,13
08001001175,13
08001001182,13
08001001183,13
08001001181,13
08001001173,13
08001001172,13
08001001174,13
08001001186,13
08001001185,13
08001001184,13
08001001187,13
08001001188,13
08001001171,13
08001001190,13
08001001191,13
08001001189,13
08001001192,13
08001001126,21
08001001123,21
08001001128,21
08001001127,21
08001001254,21
08001001125,21
08001001129,21
08001001124,21
08001001255,21
08001001132,24
08001001121,21
08001001122,21
08001001115,24
08001001117,21
08001001112,24
08001001250,24
08001001028,24
08001001120,21
08001001119,21
08001001111,24
08001001109,24
08001001113,24
08001001114,24
08001001108,24
08001001099,25
08001001098,25
08001001106,24
08001001107,24
08001001110,24
08001001039,25
08001001040,25
08001001029,24
08001001038,24
08001001022,21
08001001024,21
08001001021,21
08001001026,21
08001001019,21
08001001025,21
08001001020,21
08001001037,24
08001001036,24
08001001035,24
08001001027,24
08001001030,24
08001001042,24
08001001051,25
08001001041,24
08001001052,25
08001001062,25
08001001061,25
08001001060,25
08001001050,25
08001001054,25
08001001053,25
08001001016,25
08001001034,25
08001001033,25
08001001032,25
08001001031,25
08001001058,25
08001001057,25
08001001059,25
08001001049,25
08001001055,25
08001001048,25
08001001056,25
08001001046,25
08001001047,25
08001001045,25
08001001043,25
08001001044,25
08001001005,21
08001001011,21
08001001003,21
08001001006,21
08001001002,21
08001001004,21
08001001012,21
08001001013,21
08001001010,21
08001001009,19
08001001008,19
08001001001,21
