GEOID20,District
12001000046,3
12001000031,3
12001000036,3
12001000055,3
12001000054,3
12001000049,3
12001000056,3
12001000026,3
12001000050,3
12001000037,3
12001000032,3
12001000023,3
12001000013,3
12001000030,3
12001000025,3
12001000029,3
12001000047,3
12001000048,3
12001000044,3
12001000045,3
12001000043,3
12001000051,3
12001000052,3
12001000053,3
12001000034,3
12001000058,3
12001000027,3
12001000057,3
12001000028,3
12001000040,3
12001000059,3
12001000041,3
12001000042,3
12001000067,3
12001000007,3
12001000009,3
12001000008,3
12001000038,3
12001000039,3
12001000065,3
12001000066,3
12001000069,3
12001000001,3
12001000071,3
12001000006,3
12001000005,3
12001000004,3
12001000064,3
12001000068,3
12001000003,3
12001000002,3
12001000014,3
12001000015,3
12001000016,3
12001000011,3
12001000012,3
12001000070,3
12001000010,3
12001000017,3
12001000035,3
12001000020,3
12001000018,3
12001000033,3
12001000019,3
12001000024,3
12001000022,3
12001000021,3
1200300004C,3
1200300003A,3
1200300002A,3
1200300005A,3
1200300001A,3
1200300006A,3
1200300004A,3
1200300004B,3
1200300004D,3
12005000002,2
12005000005,2
12005000007,2
12005000006,2
12005000011,2
12005000010,2
12005000008,2
12005000009,2
12005000013,2
12005000001,2
12005000003,2
12005000017,2
12005000004,2
12005000016,2
12005000039,2
12005000027,2
12005000030,2
12005000038,2
12005000044,2
12005000042,2
12005000037,2
12005000041,2
12005000040,2
12005000043,2
12005000033,2
12005000036,2
12005000021,2
12005000023,2
12005000018,2
12005000019,2
12005000020,2
12005000022,2
12005000024,2
12005000026,2
12005000029,2
12005000032,2
12005000034,2
12005000035,2
12005000031,2
12005000028,2
12005000025,2
12005000014,2
12005000012,2
12005000015,2
12007000010,3
12007000011,3
12007000012,3
12007000004,3
12007000005,3
12007000006,3
12007000016,3
12007000017,3
12007000019,3
12007000008,3
12007000009,3
12007000007,3
12007000014,3
12007000015,3
12007000013,3
12007000018,3
12007000020,3
12007000002,3
12007000001,3
12007000003,3
12009000106,8
12009000104,8
12009000103,8
12009000109,8
12009000105,8
12009000100,8
12009000108,8
12009000112,8
12009000115,8
12009000111,8
12009000107,8
12009000114,8
12009000116,8
12009000134,8
12009000127,8
12009000124,8
12009000113,8
12009000123,8
12009000118,8
12009000125,8
12009000102,8
12009000230,8
12009000227,8
12009000129,8
12009000207,8
12009000121,8
12009000131,8
12009000135,8
12009000133,8
12009000213,8
12009000212,8
12009000231,8
12009000209,8
12009000233,8
12009000214,8
12009000210,8
12009000234,8
12009000120,8
12009000128,8
12009000132,8
12009000130,8
12009000200,8
12009000412,8
12009000416,8
12009000417,8
12009000239,8
12009000237,8
12009000219,8
12009000228,8
12009000211,8
12009000224,8
12009000425,8
12009000436,8
12009000438,8
12009000428,8
12009000433,8
12009000439,8
12009000238,8
12009000419,8
12009000431,8
12009000406,8
12009000427,8
12009000422,8
12009000511,8
12009000426,8
12009000400,8
12009000414,8
12009000402,8
12009000518,8
12009000410,8
12009000420,8
12009000421,8
12009000430,8
12009000507,8
12009000529,8
12009000502,8
12009000408,8
12009000407,8
12009000403,8
12009000503,8
12009000530,8
12009000504,8
12009000523,8
12009000500,8
12009000524,8
12009000501,8
12009000509,8
12009000300,8
12009000528,8
12009000323,8
12009000310,8
12009000317,8
12009000525,8
12009000512,8
12009000309,8
12009000307,8
12009000321,8
12009000303,8
12009000306,8
12009000315,8
12009000319,8
12009000308,8
12009000314,8
12009000325,8
12009000327,8
12009000301,8
12009000328,8
12009000302,8
12009000320,8
12009000326,8
12009000312,8
12009000304,8
12009000305,8
12009000324,8
12009000311,8
12009000318,8
12009000506,8
12009000508,8
12009000515,8
12009000505,8
12009000409,8
12009000411,8
12009000434,8
12009000432,8
12009000405,8
12009000404,8
12009000415,8
12009000437,8
12009000223,8
12009000222,8
12009000208,8
12009000236,8
12009000218,8
12009000226,8
12009000215,8
12009000220,8
12009000204,8
12009000217,8
12009000206,8
12009000235,8
12009000201,8
12009000202,8
12009000240,8
12009000229,8
12009000216,8
12009000203,8
12009000205,8
12009000126,8
12009000000,8
12009000225,8
12009000136,8
12009000122,8
12009000418,8
12009000424,8
12009000441,8
12009000442,8
12009000429,8
12009000435,8
12009000440,8
12009000510,8
12009000521,8
12009000316,8
12009000313,8
12009000520,8
12009000322,8
12009000517,8
12009000516,8
12009000527,8
12009000519,8
12009000513,8
12009000531,8
12009000522,8
12009000221,8
1201100A001,23
1201100B002,23
1201100A010,23
1201100A005,23
1201100A011,20
1201100A006,20
1201100A015,20
1201100A007,23
1201100A016,23
1201100A013,23
1201100F012,23
1201100A014,23
1201100A009,23
1201100A003,23
1201100A020,23
1201100F005,23
1201100A012,23
1201100A019,23
1201100F011,23
1201100Q042,23
1201100Q044,23
1201100Q040,23
1201100Q041,23
1201100Q043,23
1201100E014,23
1201100E034,23
1201100F013,23
1201100F010,23
1201100F007,23
1201100F014,23
1201100A024,20
1201100A022,20
1201100A023,20
1201100C034,23
1201100C033,23
1201100B001,23
1201100B003,23
1201100B005,23
1201100Q010,23
1201100G011,23
1201100F009,23
1201100G014,23
1201100G006,23
1201100F006,23
1201100G002,23
1201100G016,23
