GEOID20,District
12001000055,21
12001000049,21
12001000056,21
12001000026,21
12001000050,21
12001000037,21
12001000032,21
12001000023,21
12001000013,21
12001000029,22
12001000047,22
12001000048,22
12001000044,22
12001000045,22
12001000043,22
12001000052,22
12001000053,22
12001000058,21
12001000027,21
12001000028,21
12001000041,22
12001000042,22
12001000067,10
12001000007,10
12001000009,10
12001000008,10
12001000065,10
12001000071,10
12001000005,21
12001000004,21
12001000064,21
12001000068,21
12001000015,22
12001000016,22
12001000011,22
12001000012,22
12001000070,22
12001000010,22
12001000017,22
12001000020,22
12001000018,22
12001000019,21
12001000022,22
12001000021,22
1200300004C,10
1200300003A,10
1200300002A,10
1200300005A,10
1200300001A,10
1200300006A,10
1200300004A,10
1200300004B,10
1200300004D,10
12005000002,6
12005000005,6
12005000007,6
12005000006,6
12005000011,6
12005000010,6
12005000008,6
12005000009,6
12005000013,6
12005000001,6
12005000003,6
12005000017,6
12005000004,6
12005000016,6
12005000039,6
12005000027,6
12005000030,6
12005000038,6
12005000044,6
12005000042,6
12005000037,6
12005000041,6
12005000040,6
12005000043,6
12005000033,6
12005000036,6
12005000021,6
12005000023,6
12005000018,6
12005000019,6
12005000020,6
12005000022,6
12005000024,6
12005000026,6
12005000029,6
12005000032,6
12005000034,6
12005000035,6
12005000031,6
12005000028,6
12005000025,6
12005000014,6
12005000012,6
12005000015,6
12007000010,10
12007000011,10
12007000012,10
12007000004,10
12007000005,10
12007000006,10
12007000016,10
12007000017,10
12007000019,10
12007000008,10
12007000009,10
12007000007,10
12007000014,10
12007000015,10
12007000013,10
12007000018,10
12007000020,10
12007000002,10
12007000001,10
12007000003,10
12009000106,30
12009000104,30
12009000105,30
12009000100,30
12009000107,30
12009000114,31
12009000116,31
12009000134,31
12009000127,31
12009000124,31
12009000113,31
12009000123,31
12009000118,31
12009000125,31
12009000102,31
12009000230,31
12009000227,31
12009000129,31
12009000207,31
12009000121,31
12009000131,31
12009000133,31
12009000213,31
12009000212,31
12009000231,31
12009000209,31
12009000233,31
12009000214,31
12009000210,31
12009000234,31
12009000120,31
12009000128,31
12009000132,32
12009000130,31
12009000200,32
12009000412,32
12009000416,32
12009000417,32
12009000239,32
12009000237,32
12009000219,32
12009000211,32
12009000224,32
12009000425,32
12009000436,32
12009000438,32
12009000428,32
12009000433,32
12009000439,32
12009000238,32
12009000419,32
12009000431,32
12009000406,32
12009000427,32
12009000422,32
12009000511,32
12009000426,32
12009000400,32
12009000414,32
12009000402,32
12009000518,32
12009000410,32
12009000420,32
12009000421,32
12009000430,32
12009000507,32
12009000529,32
12009000502,32
12009000408,32
12009000407,32
12009000403,32
12009000503,33
12009000530,33
12009000523,33
12009000500,32
12009000524,33
12009000501,32
12009000509,32
12009000528,32
12009000317,33
12009000525,33
12009000512,33
12009000309,33
12009000307,33
12009000321,33
12009000303,33
12009000306,33
12009000315,33
12009000319,33
12009000308,33
12009000314,33
12009000325,33
12009000327,33
12009000301,33
12009000328,33
12009000302,34
12009000326,33
12009000312,34
12009000304,34
12009000305,33
12009000324,33
12009000311,33
12009000506,32
12009000508,32
12009000515,32
12009000505,32
12009000409,32
12009000411,32
12009000434,32
12009000432,32
12009000405,31
12009000415,31
