GEOID20,District
13113000028,13
13113000007,13
131210SC29A,13
13151000057,13
131210SC01C,13
13113000003,13
13151000045,13
131210UC02A,13
1306700RS01,13
13063000MO3,13
131210SC211,13
131210SC07A,13
1312100CH03,13
1306300RD08,13
13113000008,13
131210SC18B,13
13063000PH2,13
13151000056,13
13151000038,13
1312100CH02,13
13063000LJ3,13
131210UC031,13
1306300JB08,13
1306300RD03,13
13063000LC1,13
13097001273,13
1312100SC13,13
13151000047,13
13063000FP5,13
13063000PH1,13
131210SC08B,13
13063000LJ1,13
1306300JB06,13
1312100CH05,13
13063000MO4,13
1306700HL01,13
1306300JB01,13
1312100PA01,13
131210SC16A,13
131210SC212,13
13151000032,13
131210SC05B,13
131210SC18C,13
131210FA01B,13
13151000043,13
13097000731,13
1306700BT02,13
1306700LI01,13
13151000041,13
1312100SC04,13
13151000050,13
1306300JB04,13
13151000042,13
13151000033,13
1306700NP01,13
131210UC035,13
131210SC23C,13
13113000023,13
13151000039,13
1306700SW02,13
1306300JB02,13
131210SC23A,13
13063000LJ2,13
1306300RD02,13
13151000053,13
1306700BR02,13
1309700736N,13
1306700MA04,13
131210SC11B,13
1306300RD01,13
1306300RD12,13
13151000044,13
1306300JB03,13
1306300JB18,13
1306700BT01,13
1306300JB05,13
131210SC23B,13
1312100SC20,13
13063000MO9,13
1306700PE01,13
13097001275,13
13063000EW1,13
1306300RD11,13
1306300JB17,13
1306300JB13,13
13097000784,13
1312100CH01,13
131210SC18A,13
131210SC17B,13
131210UC01D,13
13151000054,13
1309700736S,13
13151000046,13
13097000729,13
1306700SN4A,13
131210FA01A,13
13063000MO5,13
1306300JB07,13
13063000FP4,13
131210SC08F,13
1306300JB12,13
13113000024,13
13097000740,13
13063000MO1,13
131210SC01B,13
1306300JB14,13
1306300RD05,13
131210CP083,13
1306300RD09,13
131210CP084,13
131210SC07C,13
13097000785,13
1306700MA03,13
1306300JB15,13
1306300RD04,13
1312100SC15,13
13097001274,13
1306300RD10,13
131210SC05D,13
13063000MO8,13
13063000MO6,13
131210UC01C,13
131210SC16B,13
131210SC09A,13
13063000LJ5,13
1306300JB11,13
1306700BR01,13
131210EP04B,13
13063000MO2,13
13097001270,13
131210CH04A,13
131210UC01B,13
1306700FO02,13
131210UC01A,13
13063000FP6,13
131210SC01D,13
13097000739,13
131210SC05E,13
131210SC08D,13
1306300RD07,13
1306300RD06,13
1306300JB16,13
131210SC09B,13
1312100SC10,13
13063000LJ4,13
131210SC09C,13
13097000730,13
13097000733,13
13097001276,13
1306300JB10,13
131210UC01E,13
1312100SC27,13
131210CP06A,13
131210CP052,13
131210SC19B,13
1306300JB09,13
131210SC08H,13
13063000MO7,13
131210FA01C,13
1306700OR02,13
13097000737,13
131210UC032,13
131210SC19A,13
13097000732,13
131210SC08A,13
131210SC17C,13
131210UC02B,13
131210CP08A,13
131210CP06B,13
131210SC29B,13
131210SC11A,13
131210SC05A,13
131210CP081,13
131210SC08E,13
131210SC17A,13
131210CP05B,13
131210CH04B,13
131210SC07B,13
131210SC01A,13
131210UC033,13
131210SC08G,13
131210SC08C,13
131210SC21A,13
131210CP053,13
13057000035,11
13057000009,11
13057000008,11
13057000030,11
1306700FR01,11
1306700OR03,11
13057000024,11
1306700CH02,11
13057000010,11
13057000023,11
13057000002,11
1306700HY01,11
1306700BG02,11
13057000041,11
1306700KP03,11
13057000036,11
1306700BG01,11
13015000014,11
1306700AC1B,11
13057000013,11
13015000015,11
1306700MR1A,11
13057000034,11
13057000037,11
1306700CA01,11
13015000005,11
1306700FY01,11
1306700KE3A,11
13015000010,11
13057000031,11
1306700VG04,11
1306700MS01,11
13057000005,11
13057000029,11
13057000042,11
13057000021,11
13015000001,11
13057000022,11
1306700VG02,11
1306700VG01,11
1306700KE2A,11
1306700BK01,11
13057000012,11
13227000001,11
13057000033,11
13057000044,11
1306700MT03,11
1306700SN2A,11
13015000008,11
13015000007,11
13057000040,11
13015000004,11
13057000006,11
1306700OR04,11
1306700WG02,11
13227000007,11
1306700DU01,11
13057000007,11
1306700AC1C,11
1306700KE5A,11
1306700AC1A,11
1306700SO03,11
13057000043,11
13057000015,11
1306700SO02,11
1306700MR4B,11
1306700NC01,11
13227000002,11
1306700DI01,11
13015000002,11
13015000018,11
1306700MT04,11
13015000006,11
13057000032,11
13057000001,11
1306700VA01,11
13057000026,11
13057000039,11
13227000006,11
1306700MR4C,11
1306700CK01,11
1306700HR01,11
1306700LM02,11
1306700ML01,11
13015000009,11
1306700LM04,11
1306700PM01,11
13227000010,11
1306700PM02,11
13227000004,11
1306700MR2B,11
1306700MR7A,11
13057000016,11
1306700VG03,11
13015000011,11
13015000012,11
13057000011,11
1306700SN1A,11
1306700TM01,11
1306700PT01,11
13015000003,11
1306700KE1A,11
1306700KE4A,11
13015000016,11
1306700KP01,11
1306700CH03,11
1306700MS02,11
1306700FO04,11
13227000012,11
1306700MR3A,11
13227000008,11
13227000009,11
13227000011,11
13227000003,11
1306700PF01,11
1306700SN6A,11
13227000005,11
1306700DL01,11
1306700MR4A,11
1306700MR2A,11
131210SS09B,5
1312100007A,5
13063000FP2,5
13063000FP1,5
1312100008A,5
1312100006Q,5
130890000ER,5
130890000MB,5
1312100008E,5
1312100SS16,5
1312100009K,5
131210SC14B,5
131210SS09A,5
130890000CS,5
130890000TA,5
1312100011B,5
131210006L2,5
130890000GC,5
130890000CM,5
130890000CR,5
130890000ML,5
13063000FP3,5
131210011E1,5
1312100012G,5
131210011E3,5
131210EP04A,5
1312100007M,5
130890000FB,5
130890000CD,5
131210SS08D,5
130890000PN,5
130890000OV,5
131210CP012,5
131210CP07C,5
1312100SS12,5
1312100006D,5
130890000BL,5
130890000DH,5
1306300OAK4,5
131210SS13A,5
1312100SS14,5
1312100006N,5
130890000MD,5
1312100009F,5
1312100SS05,5
1312100011P,5
1312100007E,5
1312100008B,5
1312100010A,5
130890000JA,5
1312100001S,5
1306300OAK3,5
1306300OAK1,5
1306300OAK2,5
1312100007H,5
1312100008H,5
1312100009B,5
1312100SS31,5
131210SS08A,5
1312100012F,5
1312100006I,5
1312100008C,5
131210008F1,5
1312100007B,5
1312100009A,5
1312100002E,5
1312100012M,5
1312100SS06,5
1312100009M,5
1312100008D,5
131210SS11C,5
131210EP03A,5
130890000EG,5
1312100008L,5
1312100008J,5
1312100011M,5
1312100006J,5
131210012H2,5
130890000GA,5
131210CP04B,5
1312100011J,5
1312100011N,5
1312100009G,5
131210EP01B,5
130890000EA,5
130890000CL,5
131210SS11B,5
131210008F2,5
1312100008P,5
130890000FJ,5
131210002F1,5
1312100009H,5
130890000CQ,5
1312100007J,5
1312100010D,5
131210011E2,5
131210SS11A,5
13121003P1A,5
130890000AI,5
1312100010J,5
1312100008K,5
130890000KE,5
1312100007F,5
1312100012J,5
1312100003N,5
1312100003A,5
131210004X1,5
1312100004S,5
131210CP01B,5
1312100003C,5
1312100004I,5
1312100001G,5
1312100001C,5
1312100008G,5
1312100001A,5
1312100010E,5
1312100012S,5
130890000OK,5
1312100001J,5
131210012E2,5
1312100004D,5
131210EP02A,5
131210EP02B,5
1312100HP01,5
131210EP01A,5
1312100009E,5
131210012E1,5
1312100012A,5
1312100007C,5
130890000PG,5
131210EP03B,5
130890000FL,5
131210SS07C,5
1312100010B,5
1312100001E,5
1312100010I,5
1312100012I,5
130890000MT,5
1312100012K,5
1312100002D,5
1312100005K,5
1312100004L,5
130890000CI,5
1312100004B,5
1312100007D,5
131210002L1,5
1312100004J,5
1312100009D,5
130890000CV,5
1312100003G,5
1312100002C,5
1312100011R,5
1312100004A,5
1312100011H,5
1312100010K,5
131210010H1,5
130890000CC,5
1312100009C,5
1312100002S,5
130890000EE,5
1312100010G,5
1312100012D,5
1312100001F,5
1312100003I,5
1312100003T,5
1312100006E,5
1312100005C,5
1312100002G,5
1312100003M,5
1312100011G,5
1312100003F,5
131210EP02D,5
130890000BB,5
131210SS13B,5
1312100004C,5
1312100002A,5
131210005A1,5
1312100002J,5
130890000KA,5
131210SS07B,5
131210006L1,5
131210CP07B,5
1312100001D,5
131210SS08B,5
1312100003S,5
1312100004V,5
131210EP02C,5
1312100004M,5
1312100001R,5
130890000MP,5
1312100CP02,5
1312100007N,5
130890000WC,5
131210EP02E,5
1312100012N,5
1312100001T,5
1312100010F,5
1312100006R,5
1312100003L,5
130890000WF,5
1312100002B,5
1312100011K,5
1312100003E,5
130890000BR,5
131210CP011,5
130890000FC,5
131210SC30B,5
130890000LE,5
1312100004T,5
1312100004K,5
1312100009I,5
131210005A2,5
1312100008M,5
1312100012L,5
1312100004F,5
1312100005D,5
1312100010P,5
131210SS07A,5
131210SC14A,5
1312100003D,5
1312100001B,5
1312100001H,5
131210012H1,5
130890000RN,5
1312100010M,5
131210010H2,5
130890000TC,5
131210002L2,5
131210004X2,5
130890000WA,5
1312100001P,5
1312100005B,5
131210CP04A,5
131210CP07A,5
1312100006F,5
1312100006G,5
1312100003H,5
131210008N2,5
1312100001I,5
13121003P1B,5
1312100003B,5
131210002F2,5
131210CP07F,5
1312100006B,5
1312100010R,5
1312100004G,5
131210SC30A,5
1312100002K,5
1312100004W,5
131210003P2,5
131210SS11D,5
131210CP07D,5
131210008N1,5
1312100010C,5
1312100002W,5
1312100005J,5
1312100005F,5
131210CP07E,5
132470000FS,4
132470000MI,4
132470000BT,4
132470000HI,4
132470000OT,4
132470000ST,4
132470000BA,4
132470000RO,4
130890000KD,4
130890000TF,4
130890000PC,4
130890000WL,4
130890000SI,4
132470000LO,4
130890000HH,4
130890000RL,4
132470000MA,4
130890000SJ,4
13217000002,4
130890000SD,4
130890000SV,4
13217000024,4
130890000JB,4
130890000RI,4
132470000SM,4
132470000FI,4
13217000003,4
130890000AG,4
130890000FK,4
130890000FE,4
130890000SK,4
13217000020,4
130890000GB,4
130890000SH,4
130890000MR,4
130890000SS,4
130890000SP,4
130890000WJ,4
130890000CO,4
130890000CF,4
130890000MI,4
130890000SA,4
130890000RE,4
130890000LC,4
130890000WB,4
130890000MV,4
130890000PR,4
130890000AH,4
132470000LA,4
130890000CJ,4
13217000005,4
130890000CU,4
130890000SW,4
130890000MZ,4
130890000PH,4
13217000019,4
130890000LA,4
13217000013,4
130890000ST,4
13217000008,4
130890000MW,4
130890000WD,4
130890000BJ,4
130890000SE,4
130890000HB,4
130890000GF,4
130890000RC,4
130890000YA,4
132470000SP,4
130890000WN,4
130890000LB,4
132470000HC,4
130890000CT,4
130890000SL,4
13217000023,4
130890000SO,4
130890000TH,4
130890000PB,4
130890000IA,4
130890000MH,4
130890000FA,4
130890000BC,4
130890000KB,4
130890000MQ,4
130890000MA,4
130890000AA,4
130890000HG,4
130890000MJ,4
130890000DG,4
130890000RH,4
130890000WG,4
130890000SU,4
130890000RF,4
132470000CO,4
130890000FM,4
130890000HC,4
130890000MU,4
130890000SM,4
130890000EF,4
130890000RJ,4
130890000RA,4
130890000CB,4
130890000TG,4
130890000MK,4
130890000DC,4
130890000BM,4
130890000CG,4
130890000CK,4
130890000HA,4
130890000RM,4
130890000RG,4
130890000MC,4
130890000LH,4
130890000DA,4
130890000PE,4
130890000SC,4
130890000PI,4
130890000PF,4
130890000DE,4
130890000NF,4
130890000AD,4
130890000SQ,4
130890000LD,4
130890000FG,4
130890000AF,4
130890000MF,4
130890000WK,4
130890000CP,4
130890000CW,4
130890000BF,4
130890000CH,4
130890000DF,4
130890000PA,4
130890000VB,4
130890000BH,4
130890000OB,4
130890000GD,4
130890000OA,4
130890000RD,4
130890000BI,4
130890000KC,4
130890000MN,4
130890000HI,4
130890000DB,4
130890000DI,4
130890000BE,4
130890000CX,4
130890000MO,4
130890000CE,4
130890000AB,4
130890000MS,4
130890000HF,4
130890000CA,4
130890000SR,4
130890000EC,4
130890000SF,4
130890000KG,4
130890000BD,4
130890000IB,4
130890000NC,4
130890000WI,4
130890000SN,4
130890000LV,4
130890000SG,4
130890000ME,4
130890000MG,4
130890000RK,4
130890000ND,4
130890000BG,4
13135000080,7
13135000145,7
13135000109,7
13135000139,7
1312100JC07,7
13135000041,7
13135000134,7
13135000114,7
13135000110,7
13135000040,7
13135000001,7
13135000012,7
13135000115,7
13135000060,7
13135000116,7
13135000005,7
13135000076,7
13135000036,7
13135000133,7
13135000094,7
13135000122,7
13135000016,7
13135000020,7
13135000111,7
1312100JC10,7
13135000014,7
13135000053,7
13135000156,7
13135000071,7
1312100JC06,7
13135000146,7
1312100JC11,7
13135000045,7
13135000065,7
13135000119,7
13135000151,7
13135000068,7
13135000138,7
13135000084,7
13135000092,7
13135000107,7
13135000048,7
13135000069,7
13135000018,7
13135000047,7
13135000007,7
13135000104,7
13135000148,7
13135000120,7
13135000143,7
1312100JC12,7
13135000144,7
13135000073,7
13135000081,7
13135000037,7
13135000095,7
13135000017,7
13135000038,7
13135000030,7
13135000086,7
13135000150,7
13135000059,7
13135000015,7
13135000072,7
13135000075,7
131210JC13A,7
13135000058,7
13135000003,7
1312100JC08,7
13135000057,7
13135000112,7
13135000127,7
13135000118,7
13135000021,7
1312100JC09,7
13135000064,7
1312100JC15,7
13135000002,7
13135000011,7
13135000022,7
13135000061,7
13135000101,7
13135000108,7
13135000032,7
13135000082,7
13135000126,7
13135000050,7
131210JC04A,7
13135000099,7
13135000093,7
1312100JC18,7
1312100JC01,7
13135000052,7
13135000010,7
13135000125,7
1312100JC19,7
13135000103,7
13135000063,7
13135000078,7
13135000043,7
13135000049,7
13135000035,7
13135000029,7
13135000147,7
1312100JC02,7
131210JC03B,7
13135000091,7
13135000096,7
13135000121,7
13135000044,7
1312100JC14,7
13135000087,7
13135000062,7
13135000051,7
13135000023,7
13135000079,7
131210JC13B,7
13135000088,7
13135000033,7
1312100JC05,7
13135000074,7
13135000066,7
1312100JC16,7
13135000056,7
13135000123,7
131210JC04B,7
13135000113,7
13135000019,7
13135000153,7
1312100AP14,7
13135000046,7
13135000117,7
13135000034,7
131210JC03A,7
131210RW22B,7
13117000008,6
13117000027,6
1312100RW09,6
13085000002,6
1306700TR01,6
13117000001,6
13117000016,6
13057000038,6
13057000004,6
13135000141,6
131210RW11A,6
1306700GM01,6
13085000003,6
1312100ML03,6
13117000021,6
13057000018,6
13117000010,6
13117000003,6
131210ML011,6
13117000015,6
13057000028,6
13057000020,6
1312100RW10,6
131210ML021,6
1306700SM01,6
13057000014,6
131210ML01B,6
131210ML012,6
131210ML04A,6
1306700BF03,6
13135000105,6
1306700DC01,6
1306700MT01,6
1312100SS22,6
1306700FP01,6
1306700EL04,6
1306700CR01,6
13135000130,6
131210AP01A,6
1312100AP05,6
13057000003,6
1306700MR6B,6
1306700SF01,6
1306700BF02,6
131210AP07B,6
13117000019,6
131210ML06A,6
131210ML04B,6
1312100MP01,6
13057000027,6
1306700BW01,6
131210SS15B,6
1312100RW02,6
1312100RW05,6
1312100RW03,6
1306700EL02,6
13117000004,6
1306700EA01,6
131210AP12A,6
131210RW11B,6
1306700LA01,6
1312100AP06,6
1312100RW04,6
131210ML05B,6
1312100RW12,6
13085000001,6
13117000029,6
1306700EL05,6
13117000007,6
1312100RW01,6
1312100SS20,6
1306700HT01,6
1306700RW02,6
13135000054,6
1306700AD01,6
1306700MD01,6
13117000006,6
1312100RW16,6
13117000002,6
13117000025,6
1312100RW06,6
1312100RW20,6
1312100SS17,6
1306700PO01,6
1306700DO01,6
1312100RW17,6
1306700RW01,6
131210SS19B,6
131210ML072,6
13117000005,6
131210ML023,6
1306700EL03,6
131210AP04A,6
1306700MK01,6
131210AP04B,6
131210AP02B,6
1312100RW08,6
131210SS19A,6
131210AP09A,6
13135000025,6
1312100RW19,6
131210ML022,6
131210SS18B,6
1306700PP01,6
1306700RM01,6
131210RW07B,6
131210ML06B,6
1306700SO01,6
131210ML024,6
1306700WL01,6
1312100RW13,6
1306700SI01,6
1306700SA01,6
131210AP021,6
131210SS29A,6
1306700NS01,6
1306700GT01,6
1306700KL01,6
131210AP022,6
131210ML07A,6
1306700MB01,6
131210AP07A,6
1306700DV01,6
131210ML05C,6
131210AP12C,6
131210AP01B,6
1312100AP10,6
131210AP01D,6
131210SS15A,6
131210SS02A,6
1312100SS26,6
131210AP12B,6
131210AP09B,6
131210RW07A,6
131210ML05A,6
131210AP01C,6
1312100AP03,6
131210ML04C,6
131210SS29B,6
131210AP01E,6
131210ML071,6
131210SS02B,6
131210AP12D,6
13237000107,10
13159000295,10
1314100004B,10
1314100003A,10
13159000293,10
13159000290,10
1314100003B,10
13217000025,10
1305900006A,10
1331700003B,10
13133000005,10
13133000001,10
13211000005,10
1314100001A,10
13297000423,10
13297000503,10
13297000420,10
13195000DAN,10
13195000POC,10
13133000008,10
