GEOID20,District
13253000004,154
13061000001,154
13243000998,154
13253000001,154
13037000001,154
13201000001,154
1300700000N,154
13037000002,154
13253000005,154
13095000009,154
1300700000H,154
1300700000A,154
13243000934,154
1300700000E,154
13243000566,154
13253000002,154
1323900000M,154
13243000954,154
130990000CS,154
1309900000U,154
1309900000A,154
1309900000B,154
1323900000G,154
13095000008,154
1324300718A,154
1300700000M,154
13243000947,154
13243000131,154
13061000003,154
13037000004,154
13243000334,154
13061000005,154
13061000004,154
130990000CU,154
13095000026,154
13061000002,154
13095000011,154
13253000003,154
13037000005,154
13095000014,154
1324300718B,154
13037000003,154
13275000102,173
13275000107,173
13275000105,173
1313100000M,173
1313100000D,173
13275000114,173
13275000118,173
13131000C04,173
13275000116,173
13275000101,173
13275000115,173
13275000120,173
13275000111,173
131310000WL,173
13275000119,173
13131000C05,173
13275000112,173
13275000113,173
13275000103,173
13275000108,173
1313100000P,173
13275000110,173
13275000109,173
131310000SH,171
1313100000H,171
1313100000L,171
13087000514,171
13087001613,171
132050000PE,171
1313100000W,171
1313100000S,171
1313100000R,171
13087000694,171
13087001361,171
13087001805,171
1313100000B,171
13087001342,171
132050000SC,171
132050000CT,171
13087001325,171
132050000LS,171
132050000BV,171
132050000CN,171
132050000CS,171
13087001277,171
132050000BA,171
132050000HI,171
13087000513,171
132050000PC,171
132050000HF,171
13215000122,140
13215FTBEN2,140
13215000102,140
13215000107,140
13215FTBEN3,140
13215000125,140
13215000101,140
131450000SK,138
13285000007,138
13285000001,138
131450000WH,138
131450000U9,138
131450000PV,138
131450000GM,138
131450000MG,138
131450000HA,138
13285000005,138
13285000016,138
131450000VP,138
13215000109,138
13215000108,138
13285000013,138
131450000L9,138
13285000011,138
130450714BW,72
13045000713,72
13285000010,72
13149000COO,72
13149000FRA,72
13285000006,72
130450714A4,72
13045001483,72
13149000ENO,72
13149000CEN,72
13045000715,72
13045001371,72
13149000SOU,72
130450714A1,72
130450714A6,72
13149000EPH,72
13215FTBEN1,141
13215000117,141
13215000121,141
13215000113,141
13215000103,141
13215FTBEN4,141
13215000126,141
13197000808,151
13249000001,151
13273000003,151
13259000002,151
13273000006,151
1326100N-26,151
13197000955,151
13259000005,151
1326100O-26,151
13261000017,151
13261000015,151
13197000807,151
133070000P3,151
133070000G3,151
13197000948,151
13197000034,151
13273000002,151
133070000W2,151
13053FTBEN2,151
13095000025,151
13197000339,151
13053FTBEN3,151
13053000001,151
1326100W-27,151
13273000005,151
133070000P1,151
13197000539,151
13053FTBEN1,151
132610C3-27,151
13273000004,151
13273000001,151
13095000022,153
13095000023,153
13095000001,153
13095000005,153
13095000015,153
13095000004,153
13095000006,153
13095000016,153
13095000028,153
13095000024,153
13095000027,153
13095000013,153
13095000017,153
13095000018,153
13095000002,153
13095000003,153
13095000012,153
13177000001,152
13095000020,152
13321000009,152
13321000006,152
13321000010,152
13177000005,152
13177000009,152
13321000005,152
13177000003,152
13321000012,152
13177000010,152
13095000019,152
13095000021,152
13177000004,152
13321000015,152
13321000008,152
13321000002,152
13321000001,152
13177000002,152
13321000007,152
13321000004,152
13321000011,152
13321000003,152
13177000008,152
13321000016,152
13321000014,152
13177000007,152
13177000006,152
13093000002,150
13093000007,150
13269000005,150
13193000002,150
13093000005,150
13193000001,150
13261000029,150
13261000028,150
13093000010,150
13193000004,150
13269000006,150
13093000008,150
13193000003,150
132250000F2,150
13193000005,150
132250000F1,150
132250000F3,150
1326100E-27,150
13269000001,150
13215000105,139
13215000119,139
131450000WA,139
131450000CA,139
13215000106,139
13215000118,139
131450000EL,139
13215000104,139
13263000003,137
13285000015,137
13263000002,137
13263000004,137
13263000001,137
13215FTBEN5,137
13199000001,137
13199000011,137
13263000005,137
13263000008,137
13199000002,137
13285000002,137
13215000127,137
13285000008,137
13199000003,137
13199000012,137
13263000006,137
13215000114,137
13077000002,136
13199000009,136
13199000007,136
13199000005,136
13199000014,136
13199000010,136
13199000008,136
13077000014,136
13077000010,136
13077000001,136
13285000003,136
13199000006,136
13077000003,136
13199000013,136
13077000009,136
13285000012,136
13199000004,136
13285000004,136
13077000013,70
13045000682,70
13077000012,70
13077000015,70
13077000017,70
13077000011,70
13077000019,70
13077000020,70
13077000004,70
13077000025,70
13077000024,70
13077000005,70
13113000021,73
13077000027,73
13113000033,73
13077000021,73
13113000014,73
13113000032,73
13077000006,73
13113000012,73
13077000018,73
13113000017,73
13113000018,73
13113000020,73
13077000026,67
13077000007,67
1312100PA01,67
13077000023,67
131210FA01B,67
131210FA01A,67
131210CH04B,67
13113000007,68
13113000027,68
131210SC211,68
13113000009,68
13113000010,68
13113000011,68
131210UC031,68
131210SC212,68
131210UC035,68
13113000031,68
13113000016,68
131210SC17B,68
131210UC01D,68
131210SC08F,68
131210SC07C,68
131210UC01C,68
131210UC01A,68
131210SC08H,68
131210FA01C,68
131210UC032,68
131210SC08A,68
131210SC17C,68
131210SC29B,68
131210SC08E,68
131210SC08G,68
131210SC21A,68
13113000028,69
131210SC29A,69
13113000003,69
13113000008,69
13113000029,69
13113000006,69
13113000035,69
131210SC23C,69
13113000023,69
131210SC23A,69
131210SC11B,69
13113000001,69
131210SC23B,69
13113000026,69
13113000024,69
13113000004,69
13113000005,69
131210SC09B,69
131210SC09C,69
131210SC11A,69
131210UC033,69
13231000004,135
13231000006,135
13231000005,135
13231000002,135
13293000589,135
13293001577,135
13293001336,135
13293000555,135
13293005610,135
13231000008,135
13231000001,135
13293000470,135
13293001610,135
13171001713,135
1317101712C,135
13231000003,135
13231000007,135
13293000588,135
13171001711,135
1317101712B,135
13293000561,135
132250000P1,145
13079000002,145
1315300NSES,145
132250000B1,145
132250000B2,145
13207000006,145
132250000C1,145
13079000004,145
13079000003,145
1307900001A,145
13079000005,145
13021000WA1,145
1307900001B,145
13207000014,145
13255000012,74
13255000014,74
13255000019,74
13113000002,74
13113000015,74
13255000013,74
13151000031,74
13151000030,74
13113000025,74
13113000036,74
13113000034,74
13113000030,74
1306300JB01,75
1306300JB04,75
1306300JB03,75
1306300JB18,75
1306300JB17,75
1306300JB13,75
1306300JB07,75
13063000LJ5,75
1306300JB16,75
1306300JB10,75
1306300JB09,75
13063000PH2,78
1306300JB08,78
13063000PH1,78
1306300JB06,78
13063000LJ2,78
1306300JB05,78
13063000MO9,78
1306300JB14,78
1306300JB11,78
13063000LJ4,78
13151000057,116
13151000051,116
13151000032,116
13151000050,116
13151000042,116
13151000039,116
13255000020,134
1317101712A,134
13255000009,134
13255000004,134
13207000008,134
13207000010,134
13207000004,134
13255000011,134
13255000017,134
13255000001,134
13255000008,134
13207000007,134
13207000013,134
13255000006,134
13255000002,134
13255000007,134
13151000048,117
13151000035,117
13151000062,117
13255000021,117
13151000025,117
13151000026,117
13151000052,117
13151000036,117
13151000059,117
13151000055,115
13151000061,115
13151000060,115
13151000043,115
13151000037,115
13151000049,115
13151000028,115
13151000034,115
13217000024,113
13217000010,113
13217000009,113
13217000020,113
13217000005,113
13217000019,113
13217000013,113
13185000001,175
13185000007,175
13027000660,175
13027001402,175
13027001650,175
13027001230,175
13027000659,175
13027001199,175
13027001712,175
13071000023,172
130750000NL,172
13071000019,172
13071000017,172
13071000020,172
13071000007,172
13071000009,172
1307500000C,172
13071000008,172
13071000014,172
13071000012,172
130750000RB,172
13275000104,172
13275000106,172
13071000013,172
13071000011,172
13071000022,172
13071000016,172
13071000015,172
1307500000S,172
13071000018,172
13275000117,172
13071000010,172
13071000021,172
130750000EP,172
13071000002,172
13071000001,172
13185000006,177
13277000009,170
13277000003,170
13277000005,170
13019001148,170
13277000011,170
13277000001,170
13277000007,170
13019001819,170
13019001642,170
130750000DB,170
13019001157,170
13277000012,170
1307500000L,170
13277000006,170
13019000518,170
1307500000M,170
13019001427,170
13019001767,170
13019001329,170
13277000010,170
13019001144,170
13185000008,174
1306500000F,174
13025000002,174
13299000407,174
13025000001,174
13025000003,174
13185000004,174
1329900200B,174
1306500000H,174
1304900003B,174
130650000AG,174
1304900003S,174
1306500000D,174
130650000AB,174
1304900005R,174
1304900004A,174
1304900005F,174
1304900005W,174
13049000002,174
13101001058,174
1304900004H,174
13069000003,176
13173000001,176
13299000404,176
13299000409,176
13299000408,176
13003000001,176
13299000406,176
13299000405,176
13003000003,176
13003000002,176
13299000300,176
13003000004,176
132350ANNEX,148
1315300HEFS,148
130810JAMES,148
130810CORDE,148
1331500005A,148
1331500004A,148
1331500002A,148
1315300HAFS,148
1331500003A,148
130810LISTO,148
130810ARABI,148
1331500002B,148
130810CONEY,148
1331500001A,148
13069000005,169
13155001753,169
13287000001,169
13155001529,169
13155000901,169
13277000008,169
13287000002,169
13069000002,169
13069000006,169
13069000004,169
13277000004,169
13277000002,169
13287000003,169
132710000MC,149
132710000HE,149
130910EDDIN,149
130910RAWLI,149
130910YONKE,149
13023000001,149
130910MULLI,149
132710000MI,149
130910CHAUN,149
130910JONES,149
13091000LEE,149
130910MILAN,149
130910PONDT,149
132890000GI,149
130910PLAIN,149
132890000DB,149
130910JAYBI,149
130910VILUL,149
13319000006,149
13319000004,149
130910MITCH,149
13319000007,149
1328900SG/T,149
13319000002,149
132890000HV,149
13319000008,149
