GEOID20,District
130450714BW,30
13045000713,30
13143000011,30
13045001152,30
130450714A2,30
13143000006,30
13045000682,30
13045001240,30
13045000640,30
13143000003,30
13143000007,30
130450714A4,30
13045001483,30
13045001111,30
13045000649,30
13045000641,30
13045000501,30
13097001258,30
13045001540,30
13143000005,30
13045001122,30
130450714A3,30
13143000009,30
13143000008,30
13045001006,30
13143000012,30
13045000715,30
13143000002,30
13045001496,30
13045001371,30
13097000729,30
13045000650,30
13143000010,30
13045000642,30
1322300010C,30
13045001542,30
13143000013,30
130450714A1,30
13097001259,30
13045001533,30
130450714A6,30
13143000004,30
130450714BN,30
130450714A5,30
13097000734,30
1322300001C,31
1322300005B,31
13233000006,31
13233000001,31
13233000004,31
1322300003C,31
13233000007,31
13233000002,31
1322300002B,31
1322300004B,31
1322300006C,31
1322300011B,31
1322300008B,31
13233000003,31
13233000005,31
1322300007B,31
13115000055,52
13115000130,52
13115000025,52
13115000015,52
13115000001,52
13115000045,52
13115000060,52
13115000076,52
13115000135,52
13115000030,52
13115000080,52
13115000105,52
13115000125,52
13015000014,52
13129001064,52
13015000015,52
13015000005,52
13015000010,52
13115000140,52
13115000065,52
13015000001,52
13129001055,52
13115000085,52
13115000075,52
13015000008,52
13115000090,52
13015000004,52
13015000018,52
13015000006,52
13115000110,52
13015000009,52
13129001054,52
13015000011,52
13015000012,52
13015000003,52
13015000016,52
13115000020,52
13295001053,53
13115000115,53
13115000010,53
13115000035,53
13115000040,53
13295000871,53
13295001818,53
13295000953,53
1304700RING,53
13083001214,53
13083001038,53
1304700WEST,53
13295001800,53
13083000974,53
13295000869,53
13055001382,53
13295001161,53
13295000944,53
13055000968,53
13055000925,53
13295001809,53
1304700GRAY,53
13055000870,53
13295001812,53
13055000940,53
1304700LAKE,53
13083001889,53
1304700BOYN,53
13083000960,53
13055001083,53
13295001501,53
1304700BLCK,53
13055XC-968,53
1304700CHAM,53
13295000960,53
13083001222,53
1304700FT-O,53
1304700WOOD,53
13295000881,53
13295001893,53
13055001216,53
13295001898,53
13295001808,53
1304700POPS,53
13055000962,53
13055001484,53
1304700CAKT,53
13083001885,53
130550P-870,53
13295000943,53
13295001851,53
13055000961,53
1306700FR01,37
1306700CH02,37
1306700HY01,37
1306700KP03,37
1306700LM03,37
1306700BG01,37
1306700AC1B,37
1306700KP02,37
1306700FY01,37
1306700KE3A,37
1306700MS01,37
1306700KE2A,37
1306700BK01,37
13015000007,37
1306700WG02,37
1306700DU01,37
1306700AC1C,37
1306700KE5A,37
1306700AC1A,37
1306700NC01,37
13015000002,37
1306700VA01,37
1306700MR4C,37
1306700HR01,37
1306700LM02,37
1306700ML01,37
1306700LM04,37
1306700PM01,37
1306700PM02,37
1306700LM01,37
1306700KE4A,37
1306700KP01,37
1306700CH03,37
1306700MS02,37
1306700OR01,37
1306700DL01,37
1306700OR05,37
1306700MR2A,37
131210SC29A,35
131210UC02A,35
131210SC211,35
131210SC07A,35
1312100CH02,35
131210UC031,35
13097001273,35
1312100SC13,35
131210SC212,35
131210SC05B,35
131210FA01B,35
13097000731,35
1312100SC04,35
131210UC035,35
1309700736N,35
1312100SC20,35
13097001275,35
13097000784,35
1309700736S,35
131210FA01A,35
13097000740,35
131210SC01B,35
131210SC07C,35
13097000785,35
1312100SC15,35
13097001274,35
131210SC05D,35
13097001270,35
131210UC01A,35
131210SC01D,35
13097000739,35
131210SC05E,35
13097000730,35
13097000733,35
13097001276,35
131210FA01C,35
13097000737,35
131210UC032,35
13097000732,35
131210SC08A,35
13097000738,35
131210UC02B,35
131210SC05A,35
131210SC08E,35
131210SC07B,35
131210SC01A,35
131210SC21A,35
1312100006Q,39
131210006L2,39
131210011E3,39
131210EP04A,39
131210CP07C,39
131210SC23C,39
1312100006D,39
131210SC23A,39
131210SC11B,39
131210SC23B,39
1312100006N,39
1312100011P,39
131210SC17B,39
131210UC01D,39
1312100007H,39
1312100008H,39
1312100006I,39
131210SC08F,39
131210CP083,39
131210EP03A,39
131210CP084,39
1312100008L,39
1312100011J,39
131210EP01B,39
131210UC01C,39
131210SC09A,39
1312100008P,39
131210EP04B,39
131210UC01B,39
1312100007J,39
131210011E2,39
131210SC08D,39
13121003P1A,39
1312100008K,39
131210SC09B,39
1312100SC10,39
1312100003N,39
1312100003A,39
131210004X1,39
1312100004S,39
131210SC09C,39
1312100004D,39
131210EP01A,39
131210EP03B,39
1312100012I,39
1312100004L,39
1312100011R,39
1312100004A,39
131210UC01E,39
1312100SC27,39
1312100003I,39
1312100006E,39
131210CP052,39
1312100011G,39
1312100003F,39
131210SC19B,39
131210EP02D,39
1312100004C,39
131210006L1,39
131210SC08H,39
1312100004M,39
1312100006R,39
1312100003L,39
1312100011K,39
1312100003E,39
1312100004T,39
131210SC19A,39
1312100012L,39
1312100003D,39
131210SC17C,39
1312100010M,39
131210002L2,39
131210004X2,39
13121003P1B,39
1312100003B,39
131210CP08A,39
1312100004G,39
131210SC29B,39
131210SC11A,39
131210CP081,39
131210SC17A,39
131210003P2,39
131210UC033,39
1312100002W,39
131210SC08G,39
131210SC08C,39
131210CP053,39
131210SC01C,38
1306700RS01,38
131210SC18B,38
1312100009K,38
131210SC14B,38
1312100011B,38
1306700HL01,38
131210SC16A,38
1306700SN2A,38
131210011E1,38
1306700BT02,38
1306700LI01,38
1312100011C,38
1306700SN3A,38
1306700BT01,38
1306700SN7A,38
1306700OK01,38
1312100010A,38
131210SC18A,38
1312100009B,38
1306700SN4A,38
1306700SN1A,38
1306700MA03,38
1312100011M,38
1312100011N,38
131210SC16B,38
1312100SC02,38
1312100010D,38
1312100010J,38
1312100003C,38
1312100010E,38
1306700SN5A,38
1312100010B,38
1312100010I,38
1312100009D,38
1312100011H,38
1312100010K,38
131210010H1,38
1312100009C,38
1312100010G,38
1312100003S,38
1306700SN6A,38
1312100010F,38
131210SC30B,38
1312100010P,38
131210SC14A,38
131210010H2,38
1312100003H,38
1312100010R,38
131210SC30A,38
1312100010C,38
1306700MR1A,33
1306700OR04,33
1306700SW02,33
1306700CL02,33
1306700BR02,33
1306700MA04,33
1306700PE01,33
1306700PS1A,33
1306700ME01,33
1306700MA02,33
1306700MR2B,33
1306700AU1A,33
1306700SW01,33
1306700BR01,33
1306700MC01,33
1306700FO02,33
1306700MA01,33
1306700PS3A,33
1306700FO04,33
1306700CO01,33
1306700PS2A,33
1306700OR02,33
1306700CL01,33
1306700EA02,6
131210SS09B,6
1312100008A,6
1312100008E,6
1312100SS16,6
1306700CA01,6
131210SS09A,6
1306700VG04,6
1306700EA01,6
1306700VG01,6
1306700MT03,6
1312100007M,6
1306700SO03,6
1306700SO02,6
1306700MT04,6
1312100009F,6
1312100007E,6
1312100008B,6
1306700SO01,6
1312100008C,6
1306700VG03,6
131210008F1,6
1312100009A,6
1312100009M,6
1312100008D,6
1306700TM01,6
1312100008J,6
1312100009G,6
131210SS11B,6
131210008F2,6
1312100009H,6
1312100007F,6
1312100008G,6
1312100009E,6
1312100007D,6
1312100003M,6
131210SS13B,6
1312100007N,6
1312100009I,6
1312100008M,6
131210008N2,6
131210SS11D,6
131210008N1,6
1306700TR01,56
131210RW11A,56
1306700GM01,56
1312100RW10,56
13057000002,56
1306700DC01,56
1306700MT01,56
1306700CR01,56
1306700SF01,56
13057000037,56
1312100MP01,56
13057000042,56
1312100RW02,56
13057000022,56
131210RW11B,56
13057000012,56
1306700LA01,56
13057000044,56
1312100RW01,56
1306700HT01,56
1306700RW02,56
1306700MD01,56
13057000043,56
1312100RW16,56
1306700PO01,56
1306700DO01,56
1306700RW01,56
1306700MK01,56
13057000001,56
13057000026,56
1312100RW08,56
1306700PP01,56
1306700RM01,56
1306700WL01,56
1306700SI01,56
1306700SA01,56
1306700NS01,56
1306700KL01,56
1306700MB01,56
1306700DV01,56
13057000035,32
13057000009,32
13057000024,32
13057000023,32
1306700SM01,32
1306700BG02,32
1306700BF03,32
1306700FP01,32
1306700EL04,32
1306700MR6B,32
13057000034,32
1306700BF02,32
13057000005,32
1306700BW01,32
13057000029,32
13057000021,32
1306700EL02,32
13057000040,32
13057000006,32
1306700EL05,32
13057000007,32
1306700AD01,32
13057000015,32
1306700MR4B,32
1306700EL03,32
13057000032,32
1306700MR5B,32
1306700EP01,32
1306700CK01,32
13057000016,32
13057000011,32
1306700PT01,32
1306700GT01,32
1306700PR01,32
1306700MR4A,32
13057000038,21
13057000004,21
13057000008,21
13057000030,21
1312100ML03,21
13057000018,21
131210ML011,21
13057000028,21
13057000010,21
13057000020,21
13057000019,21
131210ML021,21
13057000014,21
131210ML01B,21
131210ML012,21
131210ML04A,21
13057000041,21
13057000036,21
13057000003,21
13057000013,21
131210AP07B,21
13057000031,21
131210ML06A,21
131210ML04B,21
13057000027,21
131210AP12A,21
13057000033,21
1312100AP06,21
131210ML05B,21
131210ML072,21
131210ML023,21
131210AP04A,21
131210AP04B,21
13057000039,21
1312100RW19,21
131210ML022,21
131210ML06B,21
131210ML024,21
131210AP021,21
131210AP022,21
131210ML07A,21
131210AP07A,21
131210ML05C,21
131210AP12C,21
131210AP01B,21
1312100AP10,21
131210AP12B,21
131210ML05A,21
131210ML04C,21
131210ML071,21
131210AP12D,21
13063000MO3,44
13063000PH2,44
13063000LJ3,44
130890000MB,44
1306300JB08,44
13063000LC1,44
130890000CS,44
13063000LJ1,44
1306300JB06,44
130890000TA,44
13063000MO4,44
130890000GC,44
130890000CR,44
130890000ML,44
130890000CD,44
130890000PN,44
13063000LJ2,44
130890000BL,44
1306300JB03,44
1306300JB18,44
1306300JB05,44
13063000MO9,44
13063000EW1,44
1306300JB13,44
13063000MO5,44
1306300JB07,44
13063000MO1,44
1306300JB14,44
130890000CL,44
