GEOID20,District
17001001001,15
17001002001,15
17001003001,15
17001003002,15
17001004001,15
17001005001,15
17001007001,15
17001006001,15
17001007002,15
17001008001,15
17001009001,15
17001010001,15
17001011001,15
17001012001,15
17001013001,15
17001014001,15
17001015001,15
17001016001,15
17001017001,15
17001018001,15
17001018002,15
17001019001,15
17001019002,15
17001019003,15
17001023015,15
17001023012,15
17001020001,15
17001020002,15
17001020003,15
17001023035,15
17001023031,15
17001020004,15
17001020005,15
17001023027,15
17001023023,15
17001023024,15
17001020006,15
17001021001,15
17001022001,15
17001022002,15
17001023008,15
17001022003,15
17001023002,15
17001023001,15
17001023003,15
17001023004,15
17001023005,15
17001023006,15
17001023007,15
17001023009,15
17001023011,15
17001023010,15
17001023014,15
17001023013,15
17001023016,15
17001023020,15
17001023018,15
17001023017,15
17001023022,15
17001023019,15
17001023021,15
17001023029,15
17001023025,15
17001023026,15
17001023028,15
17001023030,15
17001023039,15
17001023034,15
17001023033,15
17001023036,15
17001023032,15
17001023040,15
17001023038,15
17001023037,15
17003000101,12
17003000102,12
17003000103,12
17003000104,12
17003000105,12
17003000201,12
17003000301,12
17003000401,12
17003000601,12
17003000801,12
17003000901,12
1700500BG01,15
1700500OR00,15
1700500BG02,15
1700500BG03,15
1700500CN01,15
1700500CN02,15
1700500CN03,15
1700500CN04,15
1700500CN05,15
1700500CN06,15
1700500CN07,15
1700500CN1A,15
1700500LG01,15
1700500LG02,15
1700500MG01,15
1700500MG02,15
1700500ML00,15
1700500PM01,15
1700500PM02,15
1700500SH01,15
1700500SH02,15
1700500SH03,15
1700500SH04,15
1700500TM01,15
1700500TM02,15
17007001001,11
17007001002,11
17007001003,11
17007001004,11
17007001005,11
17007001006,11
17007001007,11
17007001008,11
17007001009,11
17007001010,11
17007001011,11
17007001012,11
17007001013,11
17007001014,11
17007001015,11
17007001018,16
17007001019,16
17007001020,16
17007001021,16
17007001022,16
17007003001,16
17007003003,16
17007003002,16
17007004001,16
17007005001,11
17007006001,11
17007006002,11
17007006003,11
17007007002,16
17007007001,16
17007008001,16
17007009001,16
17007009002,16
17007009003,16
17009000101,15
17009000201,15
17009000301,15
17009000401,15
17009000501,15
17009000601,15
17009000602,15
17009000603,15
17009000604,15
17009000605,15
17009000701,15
17009000801,15
17009000901,15
17009000902,15
17011001001,16
17011002001,16
17011002002,16
17011003001,16
17011003002,16
17011004001,16
17011004002,16
17011005001,16
17011006001,16
17011007001,14
17011007002,14
17011008001,14
17011009001,16
17011010001,16
17011011001,16
17011012001,16
17011013001,14
17011013002,14
17011013003,14
17011013004,14
17011013005,14
17011013006,14
17011013007,14
17011013008,14
17011013009,14
17011013010,14
17011014001,14
17011014002,14
17011014003,14
17011015001,16
17011015002,16
17011015003,16
17011015004,16
17011015005,16
17011015006,16
17011015007,16
17011015008,16
17011015009,16
17011016001,16
17011016002,16
17011017001,16
17011017002,16
17011018001,16
17011020001,16
17011021001,16
17011022001,16
17011023001,16
17011024001,16
17011025001,16
17013000001,15
17013000002,15
17013000003,15
17013000004,15
17013000005,15
17013000006,15
17013000007,15
1701500CS01,17
1701500CS02,17
1701500EK00,17
1701500FD00,17
1701500FH00,17
1701500MC01,17
1701500MC02,17
1701500MC03,17
1701500RL01,17
1701500RL02,17
1701500SA01,17
1701500SA02,17
1701500SA03,17
1701500SA04,17
1701500SA05,17
1701500SA06,17
1701500SM00,17
1701500WD00,17
1701500WN00,17
1701500WY01,17
1701500WY02,17
1701500YK00,17
17017000111,15
17017000220,15
17017000221,15
1713700PS01,15
17017000301,15
17017000302,15
17017000303,15
17017000304,15
17017000305,15
17017000306,15
17017000307,15
17017000308,15
17017000410,15
17017000518,15
17017000817,15
1712500BT01,15
17017000609,15
17017000719,15
17017000916,15
17017001012,15
1712500LB01,15
17017001113,15
17017001114,15
17017001115,15
17019AYE000,15
17019BF1000,2
17019BFO000,2
17019CC0100,13
17019CC0600,13
17019CC0200,13
17019CC0300,13
17019CC0400,13
17019CC0500,13
17019CC1700,13
17019CC0700,13
17019CC0800,13
17019CC0900,13
17019CC1000,13
17019CC1100,13
17019CC1900,13
17019CC1200,13
17019CC1300,13
17019CC1400,13
17019CC1500,13
17019CC1600,13
17019CH3000,13
17019CC1800,13
17019CC2000,13
17019CC2100,13
17019CC2200,13
17019CC2300,13
17019CC2400,13
17019CC2500,13
17019CC2600,13
17019CC2700,13
17019CC2800,13
17019CC2900,13
17019CC3600,13
17019CC3000,13
17019CC3100,13
17019CC3200,13
17019CC3300,13
17019CC3800,13
17019CC3400,13
17019CC3500,13
17019CC3700,13
17019CC3900,13
17019CH2000,13
17019CH5000,13
17019CON000,15
17019COL000,13
17019CGI000,15
17019CPE000,15
17019CRI000,15
17019CH1000,13
17019CH6000,13
17019CH4000,13
17019CN0100,13
17019CN0200,13
17019CN0300,13
17019CN0400,13
17019CN0500,13
17019CN0600,13
17019CN0700,13
17019CN0800,13
17019CN0900,13
17019CN1000,13
17019UR1000,13
17019CN1100,13
17019CN1200,13
17019CN1300,13
17019CN1400,13
17019CN1500,13
17019CN1600,13
17019CN1700,13
17019CN1800,13
17019UR2000,13
17019CN1900,13
17019UR4000,13
17019CN2000,13
17019CN2100,13
17019CN2200,13
17019CN2300,13
17019EBE000,2
17019HAR000,2
17019KER000,2
17019LUD100,2
17019LUD200,2
17019LUD300,2
17019MA1000,15
17019MA4000,15
17019MA2000,15
17019MA5000,15
17019MA3000,15
17019NEW000,15
17019OG1000,15
17019OG2000,15
17019PES000,15
17019RA1000,2
17019RA2000,2
17019RA3000,2
17019RA5000,2
17019RA6000,2
17019RAY000,15
17019SCB000,13
17019SAS000,15
17019TO3000,15
17019SOH000,15
17019SAI000,13
17019SJ1000,15
17019SJ3000,15
17019SJ2000,15
17019SCS000,13
17019STA000,15
17019SID000,15
17019TO1000,15
17019TO2000,13
17019UR3000,13
1702100AP01,15
1702100BC01,15
1702100BH01,15
1702100GR01,15
1702100JN01,15
1702100LT01,15
1702100KN01,15
1702100MA01,15
1702100MQ01,15
17115512001,13
1702100MT01,15
1702100PN01,15
1702100PN02,15
1702100PN03,15
1702100PN04,15
1702100PN05,15
1702100PR01,15
1702100RK01,15
1702100RM01,15
1702100SF01,15
1702100SF02,15
1702100SF03,15
1702100ST01,15
1702100TL01,15
1702100TL02,15
1702100TL03,15
1702100TL04,15
1702100TL05,15
1702100TL06,15
1702100TL07,15
1702100TL08,15
17023001001,12
17023002001,12
17023003001,12
17023003004,12
17023003002,12
17023003003,12
17023004001,12
17023005001,12
17023006001,12
17023007001,12
17023008001,12
17023008003,12
17023008002,12
17023008004,12
17023009001,12
17023009002,12
17023010001,12
17023011001,12
17023012001,12
17023013001,12
17023013002,12
17023014001,12
17023015001,12
1702500BBG1,12
1702500BLA1,12
1702500CLA1,12
1702500HOS1,12
1702500HRT1,12
1702500HRT3,12
1702500HRT4,12
1702500HRT5,12
1702500HRT6,12
1702500HRT7,12
1702500LKB1,12
1702500LOU1,12
1702500LOU2,12
1702500OSK1,12
1702500PLX1,12
1702500SON1,12
1702500STA1,12
1702500XEN1,12
17027001001,12
17027001002,12
17027002001,12
17027003001,12
17027003002,12
17027004001,12
17027005001,12
17027005002,12
17027005003,12
17027005004,12
17027005005,12
17027006001,12
17027006003,12
17027006002,12
17027006004,12
17027007001,12
17027007002,12
17027013001,12
17027008001,12
17027008003,12
17027008002,12
17027008004,12
17027009001,12
17027010001,12
17027011001,12
17027011002,12
17027011003,12
17027011004,12
