GEOID20,District
18089002390,1
18089002960,1
18089002380,1
18089002330,1
18089002420,1
18089002410,1
18089002940,1
18089005140,1
18089005120,1
18089000870,1
18089002350,1
18089002600,1
18089002950,1
18089002490,1
18089002900,1
18089002460,1
18089002630,1
18089002360,1
18089005150,1
18089002790,1
18089002470,1
18089002980,1
18089002870,1
18089002830,1
18089002760,1
18089002660,1
18089002530,1
18089002610,1
18089002710,1
18089002820,1
18089002590,1
18089002850,1
18089002770,1
18089002640,1
18089002500,1
18089002540,1
18089002810,1
18089002560,1
18089002750,1
18089001430,2
18089001010,2
18089001080,2
18089001410,2
18089000970,2
18089000850,2
18089000800,2
18089001850,2
18089000790,2
18089000890,2
18089002990,2
18089002970,2
18089001790,2
18089001290,2
18089001550,2
18089001340,2
18089001420,2
18089001510,2
18089001320,2
18089001650,2
18089001590,2
18089001540,2
18089000820,2
18089003050,2
18089001450,2
18089001560,2
18089001070,2
18089003060,2
18089001050,2
18089003110,2
18089000910,2
18089003020,2
18089003070,2
18089003090,2
18089001040,2
18089000840,2
18089001620,2
18089001580,2
18089003080,2
18089001860,2
18089001390,2
18089000950,2
18089003040,2
18089003010,2
18089000980,2
18089000960,2
18089003880,3
18089001230,3
18089003600,3
18089003530,3
18089003490,3
18089001250,3
18089003710,3
18089003620,3
18089003770,3
18089003610,3
18089001270,3
18089003450,3
18089001210,3
18089001140,3
18089001720,3
18089001820,3
18089001740,3
18089001880,3
18089003480,3
18089003820,3
18089001910,3
18089003430,3
18089001130,3
18089001180,3
18089001800,3
18089003670,3
18089003720,3
18089001670,3
18089001930,3
18089001280,3
18089003800,3
18089003420,3
18089001090,3
18089003790,3
18089001780,3
18089001700,3
18089003650,3
18089003410,3
18089003570,3
18089003740,3
18089003500,3
18089003810,3
18089003540,3
18089003470,3
18089003890,3
18089003850,3
18089003780,3
18089003630,3
18089001190,3
18089003400,3
18089003580,3
18089003830,3
18089003690,3
18089003590,3
18089003730,3
18127000230,4
18127000380,4
18127001000,4
18127000200,4
18127001040,4
18127000280,4
18127000270,4
18127001050,4
18127000210,4
18127000290,4
18127000570,4
18127000580,4
18127000130,4
18127000100,4
18127000110,4
18127001070,4
18127000140,4
18127000180,4
18127000070,4
18127000330,4
18127000540,4
18127001090,4
18127000160,4
18127000080,4
18127000120,4
18127000250,4
18127000320,4
18127000300,4
18127000370,4
18127001080,4
18127000590,4
18127000340,4
18127000350,4
18127000240,4
18127000520,4
18127000360,4
18127000220,4
18127000310,4
18127000260,4
18127000530,4
18127000060,4
18127000170,4
18127000190,4
18127000150,4
18127001020,4
18141001100,5
18141000830,5
18141001230,5
18141001140,5
18141000820,5
18141000770,5
18141000850,5
18141000920,5
18141000980,5
18141000740,5
18141000870,5
18141000960,5
18141001240,5
18141000420,5
18141000890,5
18141000950,5
18141000660,5
18141001020,5
18141000410,5
18141000440,5
18141001250,5
18141000910,5
18141000750,5
18141000840,5
18141000930,5
18141000450,5
18141000880,5
18141001190,5
18141000680,5
18141000490,5
18141001180,5
18141001090,5
18141000860,5
18141000520,5
18141000460,5
18141000480,5
18141000530,5
18141000510,5
18141000940,5
18141000540,5
18141000500,5
18141000470,5
18141000970,5
18141000900,5
18141000430,5
18141001010,5
18141000390,5
18141001150,5
18141000380,5
18141000400,5
18141001200,5
18141001630,6
18141001770,6
18141001570,6
18141001350,6
18141001690,6
18141001310,6
18141001670,6
18141001600,6
18141001620,6
18141001580,6
18141000620,6
18141001550,6
18141001650,6
18141001490,6
18141001980,6
18141001660,6
18141001540,6
18141001500,6
18141002150,6
18141001680,6
18141001320,6
18141002090,6
18141001470,6
18141002080,6
18141001970,6
18141001370,6
18141001340,6
18141001460,6
18141000630,6
18141000670,6
18141001700,6
18141001510,6
18141001990,6
18141001740,6
18141001480,6
18141002120,6
18141001450,6
18141001560,6
18141001750,6
18141001530,6
18141001960,6
18141001900,6
18141002160,6
18141002040,6
18141001520,6
18141001840,6
18141001890,6
18141000650,6
18141001640,6
18141001590,6
18141002030,6
18141001610,6
18099000170,7
18141001070,7
18141000010,7
18141000570,7
18141002180,7
18091000180,7
18141001170,7
18141000370,7
18141000360,7
18141000720,7
18141000580,7
18141000350,7
18141001930,7
18141002210,7
18141002170,7
18141000020,7
18141002200,7
18141002190,7
18141000560,7
18141000610,7
18141001050,7
18141002070,7
18141001940,7
18141000050,7
18141002050,7
18141002110,7
18141000590,7
18141002060,7
18141001280,7
18141002000,7
18141002130,7
18141001160,7
18141002230,7
18141000600,7
18141001300,7
18141001950,7
18141001060,7
18141000690,7
18141000040,7
18141000550,7
18141002020,7
18141001880,7
18141001910,7
18141000030,7
18141002100,7
18141002010,7
18141001270,7
18141000780,7
18141000790,7
18141000640,7
18141000730,7
18141001080,7
18141001220,7
18141001210,7
18141002140,7
18141001920,7
18141002240,8
18141001420,8
18141002250,8
18141001290,8
18141001410,8
18141001260,8
18141000110,8
18141000230,8
18141000290,8
18141001390,8
18141000310,8
18141001800,8
18141000320,8
18141001780,8
18141000150,8
18141001710,8
18141001000,8
18141001760,8
18141002220,8
18141000130,8
18141000090,8
18141000070,8
18141000340,8
18141000250,8
18141000080,8
18141001720,8
18141000240,8
18141000160,8
18141000330,8
18141001820,8
18141001400,8
18141000220,8
18141000100,8
18141001870,8
18141000990,8
18141000060,8
18141001380,8
18141001440,8
18141000120,8
18141001790,8
18141000280,8
18141000180,8
18141001850,8
18141000140,8
18141000210,8
18141001330,8
18141001730,8
18141000190,8
18141000200,8
18141000170,8
18141000270,8
18141001810,8
18141001860,8
18141001430,8
18141001040,8
18141000260,8
18141001830,8
18141000300,8
18141001030,8
18091000700,9
18091000260,9
18127000420,9
18091000470,9
18091000080,9
18091000550,9
18091000160,9
18127001110,9
18127001220,9
18127000490,9
18091000590,9
18091000090,9
18091000830,9
18127000430,9
18091000140,9
18091000690,9
18127000390,9
18091000120,9
18127001170,9
18091000150,9
18127000410,9
18127001160,9
18091000480,9
18091000630,9
18091000680,9
18091000720,9
18091000110,9
18091000540,9
18091000530,9
18091000660,9
18091000640,9
18091000850,9
18091000500,9
18091000840,9
18127000560,9
18091000490,9
18127001210,9
18127001100,9
18127000550,9
18091000560,9
18127001200,9
18091000820,9
18091000570,9
18091000100,9
18091000650,9
18091000520,9
18091000610,9
18091000580,9
18091000730,9
18091000510,9
18091000600,9
18091000620,9
18091000860,9
18091000670,9
18091000780,9
18127000400,9
18091000710,9
18127000440,10
18127000650,10
18127000450,10
18127000630,10
18127000510,10
18127000690,10
18127000910,10
18127000470,10
18127000710,10
18127000840,10
18127000820,10
18127001230,10
18127001140,10
18127000830,10
18127001150,10
18127000780,10
18127000640,10
18127000730,10
18127001190,10
18127001120,10
18127001250,10
18127000770,10
18127000700,10
18127000670,10
18127000740,10
18127000600,10
18127000760,10
18127000860,10
18127000610,10
18127000850,10
18127000890,10
18127000870,10
18127001130,10
18127000660,10
18127000800,10
18127000620,10
18127000750,10
18127000900,10
18127000460,10
18127000720,10
18127000880,10
18127001180,10
18127000790,10
18127001240,10
18127000920,10
18127000480,10
18127000500,10
18127000680,10
18127000810,10
18089000200,11
18073000200,11
18089005080,11
18073000090,11
18073000190,11
18089005070,11
18089000130,11
18089000250,11
18089000150,11
18073000070,11
18073000180,11
18073000060,11
18089000210,11
18111000120,11
18111000080,11
18111000060,11
18111000070,11
18089000120,11
18111000140,11
18089000100,11
18089000220,11
18089000170,11
18111000010,11
18127000050,11
18111000020,11
18089000240,11
18127000040,11
18089000070,11
18073000080,11
18111000030,11
18111000160,11
18111000150,11
18073000050,11
18111000180,11
18111000130,11
18089005110,11
18127000030,11
18089000140,11
18089005090,11
18089000110,11
18127000020,11
18089000080,11
18111000170,11
18089000180,11
18089005060,11
18089000230,11
18089004250,12
18089003180,12
18089003280,12
18089003220,12
18089003370,12
18089003170,12
18089004980,12
18089004450,12
18089003160,12
18089004280,12
18089002300,12
18089004360,12
18089004390,12
18089004470,12
18089003230,12
18089003350,12
18089002230,12
18089004430,12
18089004240,12
18089002310,12
18089003310,12
