GEOID20,District
18089004860,1
18089003180,1
18089004610,1
18089003280,1
18089004800,1
18089004020,1
18089005030,1
18089003220,1
18089004620,1
18089004850,1
18089003370,1
18089003170,1
18089004980,1
18089004910,1
18089000050,1
18089004220,1
18089004570,1
18089003910,1
18089000660,1
18089002300,1
18089004580,1
18089004880,1
18089000630,1
18089004760,1
18089004630,1
18089003230,1
18089004050,1
18089003350,1
18089004840,1
18089002230,1
18089004990,1
18089000710,1
18089002310,1
18089003310,1
18089002210,1
18089000680,1
18089004670,1
18089002200,1
18089003930,1
18089002160,1
18089000640,1
18089000670,1
18089004970,1
18089002170,1
18089004790,1
18089004660,1
18089004090,1
18089004810,1
18089003380,1
18089004520,1
18089004890,1
18089004700,1
18089002240,1
18089005000,1
18089000060,1
18089003920,1
18089002290,1
18089004650,1
18089004780,1
18089004230,1
18089004680,1
18089003190,1
18089003210,1
18089000030,1
18089004920,1
18089003320,1
18089000690,1
18089000040,1
18089005040,1
18089004820,1
18089000720,1
18089003250,1
18089004770,1
18089004930,1
18089004550,1
18089000620,1
18089004510,1
18089002190,1
18089004830,1
18089004750,1
18089004190,1
18089004740,1
18089005020,1
18089004730,1
18089004540,1
18089000750,1
18089000020,1
18089004720,1
18089002320,1
18089004960,1
18089003360,1
18089003240,1
18089004640,1
18089002250,1
18089000650,1
18089003270,1
18089003330,1
18089000700,1
18089002150,1
18089000570,1
18089002260,1
18089033300,1
18089002390,2
18089001010,2
18089004250,2
18089002960,2
18089001080,2
18089002380,2
18089002330,2
18089000970,2
18089002420,2
18089002410,2
18089002940,2
18089000850,2
18089005140,2
18089000800,2
18089000790,2
18089004450,2
18089005120,2
18089000890,2
18089002990,2
18089000870,2
18089003160,2
18089002970,2
18089004280,2
18089002350,2
18089002600,2
18089002950,2
18089002490,2
18089002900,2
18089002460,2
18089002630,2
18089004360,2
18089004390,2
18089004470,2
18089002360,2
18089005150,2
18089000820,2
18089002790,2
18089003050,2
18089001070,2
18089004430,2
18089004240,2
18089003060,2
18089004350,2
18089001050,2
18089002470,2
18089003110,2
18089000910,2
18089004420,2
18089003020,2
18089003070,2
18089003090,2
18089001040,2
18089002980,2
18089004290,2
18089002870,2
18089000840,2
18089004270,2
18089002830,2
18089002760,2
18089002660,2
18089003080,2
18089002530,2
18089004480,2
18089002610,2
18089002710,2
18089002820,2
18089002590,2
18089002850,2
18089002770,2
18089002640,2
18089000950,2
18089004410,2
18089002500,2
18089002540,2
18089003040,2
18089004340,2
18089004370,2
18089003010,2
18089004320,2
18089000980,2
