GEOID20,District
25001001964,9
25001001877,9
25001ZZZZZZ,9
25005001856,4
25005001858,4
25005001437,4
25005001859,4
25005001845,4
25005001854,4
25005001849,4
25005001848,4
25005001576,4
25005001851,4
25005001404,4
25005000087,4
25005000088,4
25005001668,4
25005001573,9
25005ZZZZZZ,9
25005000647,9
25005002014,9
25023001665,9
25023001662,9
25023001664,9
25021000619,9
25025000115,8
25009ZZZZZZ,6
25009001625,6
25023001522,9
25023001513,9
25023001523,9
25023000681,9
25023001524,9
25023001161,9
25023001160,9
25023001165,9
25023001663,9
25005000090,4
25005000089,4
25005001666,4
25023001521,9
25023001520,9
25005001575,4
25023000457,9
25005001850,4
25007000837,9
25007000613,9
25007000054,9
25023000965,9
25023001517,9
25023000966,9
25023000968,9
25023000967,9
25023001515,9
25023001528,9
25009001641,6
25009001640,6
25023000558,9
25023000865,9
25023000866,9
25023001230,9
25023000460,9
25023000459,9
25023000462,9
25023000458,9
25023000479,8
25023000478,8
25023001969,8
25023000686,8
25023000483,8
25023000463,9
25017001212,5
25017001208,5
25005001436,4
25005000706,8
25005000703,8
25023001231,9
25023000971,4
25023000969,4
25023000970,4
25005000704,8
25005000705,8
25005000702,8
25021001449,8
25021001448,8
25005001435,4
25005001433,4
25005001434,4
25005001134,4
25005000093,4
25005000092,4
25005001133,4
25005001402,4
25005000091,4
25005000095,4
25017000669,3
25017000674,3
25023001233,9
25005000012,9
25005000013,9
25023001234,9
25023001235,9
25023001232,9
25023000559,9
25005001399,4
25005001401,4
25005000097,4
25005000098,4
25005000096,4
25005001585,4
25005000094,4
25005001587,4
25005001586,4
25005001397,4
25005001396,4
25021001512,4
25021001511,4
25005000661,4
25005001857,4
25005000730,4
25005000732,4
25005001398,4
25021002142,4
25021000804,4
25021000803,4
25021002143,4
25003001277,1
25003001675,1
25001000566,9
25001000695,9
25001001454,9
25019001279,9
25023001525,9
25023001519,9
25023001518,9
25023001526,9
25023001514,9
25001000435,9
25023001516,9
25023000560,9
25005001667,4
25005001669,4
25005001843,4
25005001839,4
25005000662,4
25005002015,9
25005000639,9
25005001842,4
25001002150,9
25001002147,9
25001002149,9
25001002145,9
25019ZZZZZZ,9
25007000707,9
25001000107,9
25001000108,9
25001000109,9
25001000115,9
25001001648,9
25001001647,9
25001001167,9
25001000119,9
25001000111,9
25001000659,9
25001002146,9
25001000658,9
25005000736,4
25005000735,4
25005002017,9
25007001450,9
25007001982,9
25007001871,9
25001000756,9
25023001172,9
25023001145,9
25023001607,9
25005000646,9
25005001332,9
25005001331,9
25005000728,9
25005000727,9
25001001171,9
25001000762,9
25005000744,4
25005000810,4
25023001931,9
25023001929,9
25023001930,9
25023001926,9
25001000758,9
25001000759,9
25005001316,9
25005001318,9
25005001306,9
25005001314,9
25005000644,9
25005001327,9
25005001324,9
25005001317,9
25005000640,9
25005001330,9
25005000738,4
25005000737,4
25005000733,4
25005000740,4
25005000734,4
25005000741,4
25005000745,4
25005000731,4
25005000642,9
25005000641,9
25005000643,9
25005000645,9
25005000145,4
25005001855,4
25005001844,4
25005000144,4
25005000809,4
25005000729,4
25005002013,9
25005002016,9
25005001312,9
25005001309,9
25005000755,4
25005001311,9
25005001301,9
25005001313,9
25005000724,9
25005001307,9
25005001308,9
25005001693,4
25005001692,4
25005000754,4
25005000753,4
25005001310,9
25005000742,4
25005000746,4
25005000752,4
25005000811,4
25005000725,9
25005000726,9
25005000014,9
25005001305,9
25005001303,9
25005001304,9
25005001841,4
25005001840,4
25005001694,4
25005001302,9
25005000743,4
25005000749,4
25005000750,4
25005000751,4
25005000739,4
25005001690,4
25005001691,4
25005000747,4
25005000748,4
25005001852,4
25005001853,4
25005001847,4
25005001846,4
25005001319,9
25005001321,9
25005001333,9
25005000723,9
25005001335,9
25005001336,9
25005001334,9
25005001322,9
25005001329,9
25005001328,9
25005001325,9
25005001326,9
25005001320,9
25005001323,9
25005001315,9
25001000432,9
25001000434,9
25001000436,9
25001000433,9
25001000763,9
25001000760,9
25001001645,9
25001001644,9
25001000110,9
25001001643,9
25001000112,9
25001000430,9
25023001527,9
25001000431,9
25001001646,9
25001000764,9
25001000118,9
25001001170,9
25001001169,9
25001000761,9
25001000113,9
25001000114,9
25001001168,9
25001000116,9
25001000117,9
25001000757,9
25023001927,9
25023001928,9
25001000884,9
25001000881,9
25001000882,9
25001000660,9
25001000454,9
25001000455,9
25001000883,9
25001000456,9
25001002148,9
25001002151,9
25001000656,9
25001000657,9
25021001958,5
25017002012,5
25021001956,5
25021001963,5
25021001961,4
25021001957,5
25021001292,4
25021001962,5
25021001293,4
25021000666,4
25021001294,4
25021001564,7
25021001563,7
25021000442,8
25021001178,4
25017001047,3
25017001048,3
25017001045,3
25017001049,3
25017001043,3
25017001863,6
25017001867,6
25017001046,3
25017001041,3
25017001073,3
25017001042,3
25017001072,3
25017001375,4
25017001372,4
25017001374,4
25017002011,5
25017002009,5
25009000049,6
25017000670,3
25017000673,3
25017001032,5
25017000625,3
25021001179,4
25021001903,8
25021001180,4
25021001900,8
25021001902,8
25021001382,4
25021001380,4
25021001901,8
25005001136,4
25021000779,4
25021001672,4
25021000781,4
25017000162,3
25017002010,5
25017001917,5
25021000782,4
25005001137,4
25021001510,4
25017001907,5
25017001031,5
25017001905,5
25017001909,5
25005001400,4
25005001403,4
25017000160,3
25017000167,3
25017001071,3
25017001061,3
25017000667,3
25017000672,3
25017001060,3
25017001052,3
25017001050,3
25017001051,3
25017001058,3
25017001055,3
25017001070,3
25017001056,3
25017001054,3
25017001044,3
25017000570,3
25017001069,3
25017001057,3
25017002002,3
25017002005,3
25017000575,3
25017000567,3
25017000557,3
25017000123,6
25017000626,3
25027001801,2
25027001015,2
25027001014,2
25027001802,2
25017000622,3
25017001947,5
25017000624,3
25017001950,5
25017001286,5
25017001281,5
25017001288,5
25017001284,5
25021001177,4
25017001677,4
25017000125,6
25017000170,6
25017000948,2
25017000947,2
25021001251,4
25021001252,4
25021001381,4
25021001253,4
25021002144,4
25017000126,6
25017002057,6
25017001866,6
25017000163,3
25009001278,6
25009001836,6
25009001837,6
25009001838,6
25003000028,1
25003001981,1
25003001803,1
25003001004,1
25003000999,1
25003001606,1
25003000847,1
25003000846,1
25003001642,1
25003001455,1
25003000849,1
25003000848,1
25003000708,1
25003001338,1
25011001965,2
25011000709,2
25011001689,2
25011001339,2
25015001483,2
25015000127,1
25015000628,1
25011000078,2
25015000130,1
25015000128,1
25015000043,2
25015000041,2
25015000129,1
25011001452,2
25011001933,2
25027000084,2
25027000085,2
25011001453,2
25013001463,1
25013001460,1
25013000936,1
25013000931,1
25013000937,1
25013001266,1
25013001462,1
25013001267,1
25013002047,1
25013001077,1
25013001076,1
25013000870,1
25011001432,2
25011000147,2
25013001268,1
25013001896,1
25027000493,1
25015001924,1
25015001925,1
25013001461,1
25027001493,2
25027000879,2
25013002048,1
25011001617,1
25011001265,1
25011000561,1
25003000614,1
25013000845,1
25013001730,1
25013001731,1
25013000593,1
25015000960,1
25015001236,1
25015002141,1
25013001732,1
25013001621,1
25013001995,1
25013001994,1
25013000174,1
25003001492,1
25003000915,1
25003001934,1
25003000629,1
25003001507,1
25003001508,1
25003001501,1
25003001503,1
25003001495,1
25003001497,1
25003001498,1
25003001499,1
25003001500,1
25011000907,1
25003000630,1
25013001872,1
25003001505,1
25003001504,1
25003001506,1
25003001275,1
25015001509,1
25003001659,1
25003000777,1
25003002070,1
25003000871,1
25015000594,2
25003000592,1
25011001020,2
25011001269,2
25011000825,2
25011001272,2
25011001271,2
25011001829,2
25011000655,2
25011000621,2
25011001030,2
25011002040,2
25011000908,2
25011000627,2
25011000510,2
25015000836,2
25003000974,1
25003002050,1
25013001078,1
25015000844,1
25015000843,1
25015000035,2
25015000037,2
25015000864,2
25015000042,2
25015000885,2
25003001496,1
25003001300,1
25013000933,1
25013001276,1
25015001721,1
25015002006,2
25003001502,1
25015002049,2
25013001038,1
25013001037,1
25015001422,2
25015001418,2
25003000122,1
25003001882,1
25003000019,1
25003001386,1
25003002051,1
25003002052,1
25003001385,1
25003001387,1
25003001383,1
25003001384,1
25003000018,1
25003000015,1
25003000017,1
25003000016,1
25013001744,1
25013001754,1
25013001753,1
25013001743,1
25013001737,1
25013001741,1
25013001738,1
25013001739,1
25013000607,1
25013000612,1
25013000611,1
25013000596,1
25013001746,1
25013000597,1
25013000605,1
25013001782,1
25013001780,1
25013001783,1
25013000604,1
25013001750,1
25013000602,1
25013000023,1
25013000024,1
25013001973,1
25013000020,1
25013001974,1
25013001993,1
25013000595,1
25013000930,1
25013000693,1
25013000694,1
25013000610,1
25013000609,1
25013000608,1
25013000932,1
25013001996,1
25013001988,1
25013001998,1
25013001979,1
25013001976,1
25013000938,1
25013000021,1
25013001977,1
25013001752,1
25013000598,1
25013000027,1
25015000700,1
25013001975,1
25013001980,1
25015001410,2
25015001411,2
25015001414,2
25013000939,1
25013000935,1
25013000599,1
25013000600,1
25013000606,1
25013001798,1
25013001796,1
25013001793,1
25015001415,2
25015001423,2
25015001416,2
25015001420,2
25015001421,2
25013000942,1
25013001079,1
25013001074,1
25015000699,1
25015000698,1
25015000697,1
25013000940,1
25013000941,1
25013000943,1
25015001413,2
25015001417,2
25015001412,2
25013000601,1
25013001997,1
25013001991,1
25013001989,1
25013000025,1
25013000022,1
25013000934,1
25015001717,1
25015001716,1
25015001718,1
25015001719,1
25015001720,1
25015000696,1
25013000026,1
25013001978,1
25013001999,1
25013001992,1
25013001990,1
25015001419,2
25013001786,1
25013001784,1
25013001787,1
25013000692,1
25013001781,1
25013001794,1
25013001800,1
25013000691,1
25013001788,1
25013001789,1
25013001790,1
25013001779,1
25013001778,1
25013001777,1
25013001755,1
25013001758,1
25013001775,1
25013001772,1
25013001776,1
25013001771,1
25013001799,1
25013001745,1
25013001749,1
25013002045,1
25013001791,1
25013001036,1
25013001075,1
25013002046,1
25013001039,1
25013001040,1
25013001797,1
25013001792,1
25013001763,1
25013001764,1
25013001768,1
25013001751,1
25013001769,1
25013001767,1
25013001795,1
25013001774,1
25013001770,1
25013001748,1
25013001747,1
25013001761,1
25013001766,1
25013000603,1
25013001785,1
25013001760,1
25013001773,1
25013001740,1
25013001742,1
25013001762,1
25013001756,1
25013001765,1
25013001759,1
25013001757,1
25015000040,2
25015000039,2
25015000044,2
25015000038,2
25015000036,2
25011001676,2
25011000856,2
25011000858,2
25011000850,2
25011000851,2
25011000853,2
25011001274,2
25011000852,2
25011001270,2
25011000857,2
25011000855,2
25011000854,2
25011001273,2
25027000973,3
25027000972,3
25027001009,2
25027001008,2
25027001005,2
25027002130,2
25027000100,2
25027000102,2
25027000101,2
25027002129,2
25027000120,2
25027001728,1
25027001821,1
25027001727,1
25027000121,2
25027002127,2
25027002134,2
25027002126,2
25027002138,2
25027002137,2
25027002136,2
25027001000,2
25027001464,2
25027002139,2
25027001337,1
25027001082,3
25027001083,3
25027000771,3
25027000773,3
25017000077,3
25027002140,2
25027002094,2
25027002093,2
25027002092,2
25027000923,2
25027000921,2
25027000924,2
25027001622,2
25027001932,1
25017001874,3
25017001875,3
25027001623,2
25027001529,2
25027000949,2
25027000920,2
25017001176,5
25017000010,3
25017000927,2
25017000928,2
25017001173,5
25017000009,3
25027000768,3
25027000775,3
25027000767,3
25017001678,3
25027000175,3
25027000880,3
25017000006,3
25017000011,3
25027001012,2
25027001013,2
25027001011,2
25017001820,3
25017000008,3
25017000007,3
25017000623,3
25017000679,3
25017001880,3
25017001819,3
25017000437,3
25017001149,3
25017001147,3
25017000783,5
25017001035,3
25017001033,3
25017000860,3
25017001034,3
25017001489,3
25017001491,3
25027000769,3
25027001619,2
25027001494,2
25027001016,2
25027001018,2
25027001017,2
25027001860,2
25027001861,2
25027001955,1
25027001954,2
25027001953,2
25027000678,1
25027000563,1
25027000676,1
25027001733,1
25027001451,2
25017001948,5
25027002059,3
25027001620,2
25027001459,1
25027000664,2
25027001458,1
25027001830,2
25027001457,1
25027001862,2
25027000815,3
25027000103,2
25027000099,2
25027001248,2
25027000922,2
25017001824,5
25027000770,3
25027000766,3
25027001254,4
25027000173,4
25027000171,4
25017000952,3
25017000951,3
25027001427,2
25027000146,3
25017001153,3
25027001426,2
25027000615,3
25027000616,3
25027000618,3
25027000839,2
25027000617,3
25027000441,2
25027000076,3
25027002061,3
25027002007,3
25027000821,3
25027000812,3
25027001968,2
25027001967,2
25027001686,2
25027000813,3
25027002091,2
25027002095,2
25027002102,2
25027002103,2
25027002106,2
25027002107,2
25027002112,2
25027002117,2
25027002115,2
25027002118,2
25027002133,2
25027002099,2
25027002098,2
25027000665,2
25027001831,2
25027002132,2
25027002100,2
25027002135,2
25027002125,2
25027002124,2
25027002123,2
25027001823,1
25027001822,1
25027001001,2
25027002128,2
25027001003,2
25027001002,2
25027001736,1
25027001734,1
25027001735,1
25027001405,1
25027000690,1
25027001726,1
25027001456,1
25027000565,1
25027000564,1
25013000464,1
25027001971,1
25027000562,1
25015001923,1
25013000925,1
25027001729,1
25027001952,1
25027000677,1
25027001725,1
25027001624,2
25027002060,3
25027000814,3
25027000086,2
25027000820,3
25027000818,3
25027000819,3
25027000816,3
25027000817,3
25027001215,4
25027000172,4
25017000945,2
25017000083,2
25017000926,2
25027001250,2
25027002119,2
25027001247,2
25027000842,2
25027000838,2
25027001832,2
25017000946,2
25027001984,2
25027000840,2
25027001688,2
25027001986,2
25027001724,2
25021000805,4
25027000944,4
25027001883,2
25027001987,2
25027001888,2
25027001428,2
25027001884,2
25017000956,3
25017000955,3
25027001241,4
25027001240,4
25027001245,4
25027001885,2
25027001886,2
25027001244,4
25027001242,4
25027001246,4
25027001239,4
25017000790,5
25017000792,5
25017000082,2
25021000133,4
25021000132,4
25017000080,2
25017001155,3
25017001157,3
25017000950,3
25017001151,3
25017001152,3
25027001431,2
25027001429,2
25027000841,2
25017000929,2
25021001197,2
25021001198,2
25021001200,2
25027001249,2
25027001723,2
25027002113,2
25027000663,2
25027001887,2
25027002120,2
25017000953,3
25027001985,2
