GEOID20,District
25001001964,BARN4
25001001877,BARN4
25005001856,BRISTOL3
25005001858,BRISTOL3
25005001437,BRISTOL1
25005001859,BRISTOL3
25005001845,BRISTOL3
25005001574,PLY8
25005001854,BRISTOL5
25005001849,BRISTOL12
25005001848,BRISTOL12
25005001576,PLY8
25005001851,BRISTOL12
25005001404,BRISTOL14
25005000087,BRISTOL2
25005000088,BRISTOL2
25005001668,BRISTOL4
25005001573,PLY8
25005000647,BRISTOL9
25005002014,BRISTOL8
25023001665,PLY4
25023001662,PLY4
25023001664,PLY4
25021000619,PLY3
25025000115,SUFFOLK4
25009001625,ESSEX7
25023001513,PLY12
25023001523,PLY1
25023000681,PLY6
25023001524,PLY1
25023001161,PLY4
25023001160,PLY4
25023001165,PLY4
25023001663,PLY4
25005000090,BRISTOL2
25005000089,BRISTOL2
25005001666,BRISTOL4
25023001521,PLY12
25023001520,PLY12
25005001575,PLY8
25023000457,PLY8
25005001850,BRISTOL12
25007000837,BDN
25007000613,BDN
25007000054,BDN
25023000965,PLY12
25023001517,PLY12
25023000966,PLY12
25023000968,PLY12
25023000967,PLY12
25023001528,PLY12
25009001641,ESSEX1
25009001640,ESSEX1
25023000558,PLY2
25023000865,PLY12
25023000866,PLY6
25023001230,PLY12
25023000460,PLY8
25023000459,PLY8
25023000462,PLY8
25023000458,PLY8
25023000479,PLY10
25023000478,PLY10
25023001969,PLY9
25023000686,PLY7
25023000483,PLY10
25023000463,PLY8
25017001212,MIDDLE32
25017001208,MIDDLE32
25005001436,BRISTOL1
25005000706,BRISTOL3
25005000703,PLY9
25023001231,BRISTOL12
25023000971,BRISTOL12
25023000969,BRISTOL12
25023000970,BRISTOL12
25005000704,PLY9
25005000705,BRISTOL3
25005000702,PLY9
25021001449,NORFOLK12
25021001448,NORFOLK12
25005001435,BRISTOL1
25005001433,BRISTOL4
25005001434,BRISTOL4
25005001134,BRISTOL1
25005000093,BRISTOL2
25005000092,BRISTOL14
25005001133,BRISTOL14
25005001402,BRISTOL14
25005000091,BRISTOL2
25005000095,BRISTOL2
25017000669,MIDDLE36
25017000674,MIDDLE36
25023001233,BRISTOL12
25023001234,BRISTOL12
25023001235,PLY2
25023001232,PLY2
25023000559,PLY2
25005001399,BRISTOL14
25005001401,BRISTOL14
25005000097,BRISTOL2
25005000098,BRISTOL2
25005000096,BRISTOL2
25005001585,BRISTOL4
25005000094,BRISTOL2
25005001587,BRISTOL4
25005001586,BRISTOL4
25005001397,BRISTOL14
25005001396,BRISTOL14
25021001512,NORFOLK9
25021001511,NORFOLK9
25005000661,BRISTOL5
25005001857,BRISTOL3
25005000730,BRISTOL7
25005000732,BRISTOL7
25005001398,BRISTOL14
25021002142,NORFOLK9
25021000804,NORFOLK10
25021000803,NORFOLK10
25021002143,NORFOLK9
25003001277,BERK3
25003001675,BERK3
25001000566,BARN4
25001000695,BARN4
25001001454,BARN4
25019001279,BDN
25023001525,PLY1
25023001519,PLY1
25023001518,PLY1
25023001526,PLY1
25023001514,PLY1
25001000435,BARN3
25023001516,PLY1
25023000560,PLY2
25005001667,BRISTOL4
25005001669,BRISTOL4
25005001843,BRISTOL4
25005001839,BRISTOL5
25005000662,BRISTOL5
25005002015,BRISTOL8
25005000639,BRISTOL9
25005001842,BRISTOL4
25001002150,BARN2
25001002147,BARN1
25001002149,BARN2
25001002145,BARN1
25019ZZZZZZ,BDN
25007000707,BDN
25001000107,BARN2
25001000108,BARN5
25001000109,BARN5
25001000115,BARN2
25001001648,BARN5
25001001647,BARN5
25001001167,BARN3
25001000119,BARN2
25001000111,BARN2
25001000659,BARN1
25001002146,BARN1
25001000658,BARN1
25005000736,BRISTOL7
25005000735,BRISTOL7
25005002017,BRISTOL8
25007001450,BDN
25007001982,BDN
25007001871,BDN
25001000756,BDN
25023001172,BRISTOL10
25023001145,BRISTOL10
25023001607,BRISTOL10
25005000646,BRISTOL9
25005001332,BRISTOL13
25005001331,BRISTOL13
25005000728,BRISTOL10
25005000727,BRISTOL10
25001001171,BARN3
25001000762,BARN3
25005000744,BRISTOL8
25005000810,BRISTOL8
25023001931,PLY2
25023001929,PLY2
25023001930,PLY2
25023001926,PLY2
25001000758,BARN3
25001000759,BARN3
25005001316,BRISTOL11
25005001306,BRISTOL9
25005001314,BRISTOL11
25005000644,BRISTOL9
25005001327,BRISTOL13
25005000640,BRISTOL9
25005001330,BRISTOL13
25005000738,BRISTOL7
25005000737,BRISTOL7
25005000733,BRISTOL7
25005000740,BRISTOL7
25005000734,BRISTOL7
25005000741,BRISTOL7
25005000745,BRISTOL8
25005000731,BRISTOL7
25005000642,BRISTOL9
25005000641,BRISTOL9
25005000643,BRISTOL9
25005000645,BRISTOL9
25005000145,BRISTOL12
25005001855,BRISTOL5
25005001844,BRISTOL3
25005000144,BRISTOL12
25005000809,BRISTOL6
25005000729,BRISTOL8
25005002013,BRISTOL8
25005002016,BRISTOL8
25005001312,BRISTOL11
25005001309,BRISTOL11
25005000755,BRISTOL6
25005001311,BRISTOL11
25005001301,BRISTOL10
25005001313,BRISTOL11
25005000724,BRISTOL10
25005001307,BRISTOL11
25005001308,BRISTOL11
25005001693,BRISTOL5
25005001692,BRISTOL5
25005000754,BRISTOL6
25005000753,BRISTOL6
25005001310,BRISTOL11
25005000742,BRISTOL6
25005000746,BRISTOL6
25005000752,BRISTOL6
25005000811,BRISTOL8
25005000725,BRISTOL10
25005000726,BRISTOL10
25005000014,BRISTOL8
25005001305,BRISTOL9
25005001304,BRISTOL9
25005001841,BRISTOL5
25005001840,BRISTOL5
25005001694,BRISTOL5
25005001302,BRISTOL10
25005000743,BRISTOL6
25005000749,BRISTOL6
25005000750,BRISTOL6
25005000751,BRISTOL6
25005000739,BRISTOL7
25005001690,BRISTOL5
25005001691,BRISTOL5
25005000747,BRISTOL6
25005000748,BRISTOL6
25005001852,BRISTOL3
25005001853,BRISTOL3
25005001847,BRISTOL3
25005001846,BRISTOL3
25005001321,BRISTOL11
25005001333,BRISTOL13
25005000723,BRISTOL10
25005001335,BRISTOL13
25005001336,BRISTOL13
25005001334,BRISTOL13
25005001322,BRISTOL11
25005001329,BRISTOL13
25005001328,BRISTOL13
25005001325,BRISTOL13
25005001320,BRISTOL11
25005001315,BRISTOL11
25001000432,BARN5
25001000434,BARN3
25001000436,BARN5
25001000433,BARN3
25001000763,BARN3
25001000760,BARN3
25001001645,BARN5
25001001644,BARN5
25001000110,BARN5
25001001643,BARN5
25001000112,BARN2
25001000430,BARN5
25023001527,PLY1
25001000431,BARN5
25001001646,BARN5
25001000764,BARN3
25001000118,BARN2
25001001170,BARN3
25001001169,BARN3
25001000761,BDN
25001000113,BARN2
25001000114,BARN2
25001001168,BARN3
25001000116,BARN2
25001000117,BARN2
25001000757,BDN
25023001927,PLY2
25023001928,PLY2
25001000884,BARN4
25001000881,BARN4
25001000882,BARN4
25001000660,BARN1
25001000454,BARN1
25001000455,BARN1
25001000883,BARN4
25001000456,BARN1
25001002148,BARN1
25001002151,BARN1
25001000656,BARN1
25001000657,BARN1
25021001958,NORFOLK14
25017002012,NORFOLK14
25021001956,NORFOLK14
25021001963,NORFOLK14
25021001961,NORFOLK14
25021001957,NORFOLK14
25021001292,NORFOLK13
25021001962,NORFOLK14
25021001293,NORFOLK13
25021000666,NORFOLK13
25021001294,NORFOLK13
25021000442,NORFOLK5
25021001178,NORFOLK13
25017001047,MIDDLE17
25017001048,MIDDLE17
25017001045,MIDDLE17
25017001049,MIDDLE17
25017001043,MIDDLE17
25017001863,MIDDLE17
25017001867,ESSEX18
25017001046,MIDDLE17
25017001041,MIDDLE17
25017001073,MIDDLE16
25017001042,MIDDLE17
25017001072,MIDDLE16
25017001375,MIDDLE11
25017001372,MIDDLE12
25017001374,MIDDLE11
25017002011,NORFOLK14
25017002009,NORFOLK14
25009000049,ESSEX18
25017000670,MIDDLE36
25017000673,MIDDLE36
25017001032,NORFOLK14
25017000625,MIDDLE13
25021001179,NORFOLK9
25021001903,NORFOLK12
25021001180,NORFOLK9
25021001900,NORFOLK8
25021001902,NORFOLK12
25021001382,NORFOLK9
25021001380,NORFOLK9
25021001901,NORFOLK9
25005001136,NORFOLK8
25021000779,BRISTOL1
25021001672,NORFOLK8
25021000781,BRISTOL1
25017000162,MIDDLE22
25017002010,NORFOLK14
25017001917,MIDDLE9
25021000782,BRISTOL1
25005001137,BRISTOL14
25021001510,NORFOLK9
25017001907,MIDDLE9
25017001031,MIDDLE13
25017001905,MIDDLE9
25017001909,MIDDLE9
25005001400,BRISTOL14
25005001403,BRISTOL14
25017000160,MIDDLE22
25017000167,MIDDLE22
25017000168,MIDDLE22
25017001071,MIDDLE16
25017001061,MIDDLE16
25017000667,MIDDLE36
25017000672,MIDDLE36
25017001060,MIDDLE16
25017001052,MIDDLE17
25017001050,MIDDLE18
25017001051,MIDDLE18
25017001058,MIDDLE17
25017001055,MIDDLE18
25017001070,MIDDLE18
25017001056,MIDDLE18
