GEOID20,District
25001001964,3
25001001877,3
25005001856,16
25005001858,16
25005001437,15
25005001859,16
25005001845,16
25005001852,16
25005001853,16
25005001848,16
25005001404,15
25005000087,15
25005000088,15
25005001668,16
25005001576,16
25005001574,16
25005001854,16
25005001849,16
25005001575,16
25023001665,38
25023001664,38
25021000619,38
25025000115,5
25009001625,20
25009000158,20
25009001132,24
25023001513,29
25023001523,29
25023000681,38
25023001524,29
25023001161,38
25023001160,38
25023001165,38
25023001663,38
25023001522,29
25005000090,15
25005000089,15
25005001666,16
25023001521,29
25023001520,29
25005001573,16
25005002014,33
25005000647,21
25023000457,10
25005001850,16
25007000837,3
25007000613,3
25007000054,3
25023000965,29
25023001517,29
25023000966,29
25023000968,29
25023000967,29
25023001515,29
25023001528,29
25009001641,24
25009001640,24
25023000558,16
25023000865,4
25023000866,4
25023000876,4
25023000877,4
25023001486,29
25023000687,4
25023001230,16
25023000460,10
25023000459,10
25023000458,10
25023000479,4
25023000478,4
25023001969,10
25023000686,4
25023000483,4
25023000463,10
25017001212,11
25017001208,11
25023000971,33
25023001231,16
25023000969,33
25023000970,33
25005001436,15
25005000706,10
25005000703,10
25005000704,10
25005000705,10
25005000702,10
25005001135,15
25021001449,8
25021001448,8
25005001435,15
25005001134,15
25005001433,15
25005001434,15
25005001133,15
25005000093,15
25005000092,15
25005000091,15
25005000095,15
25017000669,19
25017000674,19
25017000675,19
25023001233,16
25005000012,21
25005000013,21
25005001401,15
25005001399,15
25023001235,16
25023001234,16
25023001232,16
25005001396,15
25021001512,39
25021001511,39
25005000097,15
25005000098,15
25005000096,15
25005001585,16
25005000094,15
25005001587,16
25005001586,16
25005001398,15
25005000661,16
25005001857,16
25005000730,33
25005000732,33
25021000804,39
25021000803,39
25021002143,39
25003001277,14
25003001675,14
25001000695,3
25001001454,3
25019001279,3
25023001525,29
25007000707,3
25023001519,29
25023001518,29
25023001526,29
25023001514,29
25001000435,29
25023001516,29
25023000560,16
25023000559,16
25005001855,16
25005001667,16
25005001839,33
25005000662,16
25005001669,16
25005001843,33
25005002015,33
25005000639,21
25005001842,33
25001000108,3
25001000109,3
25001000115,3
25001002150,3
25001002149,3
25001000119,3
25001000107,3
25001000566,3
25001002145,3
25019ZZZZZZ,3
25001001648,29
25001001647,29
25001001167,29
25001002147,3
25001000659,3
25001002146,3
25001000658,3
25001000111,3
25007001450,3
25007001871,3
25001000758,29
25023001145,16
25023001930,16
25023001172,21
25005000744,33
25005000810,33
25005001306,21
25007001982,3
25001000756,29
25023001926,16
25023001607,33
25005000727,21
25023001929,16
25023001931,16
25005001332,21
25005001331,21
25005000736,33
25005001308,21
25005001310,21
25005000646,21
25005000735,33
25005002017,33
25005000737,33
25005000738,33
25005000729,33
25005000731,33
25005001318,21
25005001316,21
25005001317,21
25005001314,21
25005000644,21
25005001327,21
25005001336,21
25005001329,21
25005000745,33
25005002013,33
25005002016,33
25005001693,33
25005001692,33
25005000754,33
25005000809,33
25005000733,33
25005000740,33
25005000734,33
25005000742,33
25005000746,33
25005000642,21
25005001851,16
25005000145,16
25005001841,33
25005001840,33
25005001694,33
25005000811,33
25005000752,33
25005000753,33
25005001312,21
25005000144,16
25005001309,21
25005001311,21
25005001301,21
25005001313,21
25005000724,21
25005001302,21
25005000014,21
25005001303,21
25005001305,21
25005000640,21
25005000641,21
25005000643,21
25005000755,33
25005000741,33
25005000743,33
25005000645,21
25005000726,21
25005000725,21
25005000728,21
25005001304,21
25005001690,33
25005001691,33
25005000749,33
25005000750,33
25005000751,33
25005000739,33
25005000747,33
25005000748,33
25005001847,16
25005001844,16
25005001846,16
25005001333,21
25005001321,21
25005001319,21
25005001322,21
25005000723,21
25005001307,21
25005001325,21
25005001334,21
25005001335,21
25005001324,21
25005001328,21
25005001330,21
25005001315,21
25005001323,21
25005001326,21
25005001320,21
25023001928,16
25001000434,29
25001000112,3
25001000433,29
25001000432,29
25001000436,29
25001001644,29
25001000110,3
25001001645,29
25001001646,29
25001001643,29
25001000763,29
25001000762,29
25001001168,29
25023001527,29
25001000759,29
25001000764,29
