GEOID20,District
2400101-000,1
2400102-000,1
2400103-000,1
2400104-002,1
2400104-003,1
2400104-004,1
2400104-005,1
2400104-008,1
2400105-004,1
2400105-006,1
2400106-001,1
2400106-099,1
2400106-003,1
2400106-005,1
2400106-006,1
2400107-001,1
2400107-002,1
2400108-000,1
2400109-000,1
2402311-001,1
2400110-000,1
2400111-000,1
2400112-000,1
2400113-000,1
2402309-001,1
2400114-000,1
2400116-000,1
2400118-000,1
2400120-000,1
2400121-000,1
2400122-001,1
2400122-002,1
2400123-000,1
2400124-000,1
2400126-000,1
2400129-001,1
2400129-002,1
2400129-003,1
2400131-000,1
2400134-000,1
2400301-001,32
2400301-003,32
2400301-004,12
2400301-005,32
2400301-007,12
2400301-008,32
2400301-009,32
2400301-010,32
2400301-011,32
2400301-012,12
2400301-013,12
2400301-015,12
2400301-016,12
2400301-017,12
2400301-018,12
2400301-019,32
2400301-020,32
2400301-021,32
2400301-022,32
2400301-025,32
2400301-023,32
2400301-099,21
2400301-024,32
2400302-002,32
2400302-003,32
2400302-009,32
2400302-007,32
2400302-005,32
2400302-006,32
2400302-016,32
2400302-010,31
2400302-022,31
2400302-011,31
2400302-012,12
2400302-013,31
2400302-014,32
2400302-017,32
2400302-015,32
2400302-019,12
2400302-020,31
2400302-023,31
2400304-002,33
2400302-024,31
2400303-001,31
2400303-022,31
2400303-002,31
2400303-003,31
2400303-004,31
2400303-005,31
2400303-007,31
2400303-009,31
2400305-030,31
2400303-010,31
2400303-011,31
2400303-018,31
2400303-012,31
2400303-013,31
2400303-014,31
2400303-015,31
2400303-016,31
2400303-017,31
2400303-019,31
2400303-020,31
2400303-021,31
2400303-023,31
2400303-024,31
2400303-025,12
2400304-001,32
2400304-003,33
2400304-011,33
2400304-005,33
2400304-006,32
2400304-025,21
2400304-099,21
2400304-007,32
2400304-008,33
2400304-009,32
2400304-010,21
2400304-012,33
2400304-013,31
2400304-014,33
2400304-015,33
2400304-016,33
2400304-017,32
2400301-026,32
2400304-019,33
2400304-022,33
2400304-024,33
2400304-026,33
2400305-001,33
2400305-002,33
2400305-020,30
2400305-003,33
2400305-004,33
2400305-006,33
2400305-007,31
2400305-033,31
2400305-008,31
2400305-009,31
2400305-010,31
2400305-011,33
2400305-012,33
2400305-013,33
2400305-014,31
2400305-015,31
2400305-016,33
2400305-017,33
2400305-018,33
2400305-028,33
2400305-021,33
2400305-022,33
2400305-024,31
2400305-025,33
2400305-027,33
2400305-035,33
2400305-029,31
2400305-031,31
2400305-032,33
2400305-034,31
2400306-001,30
2400306-002,30
2400306-012,30
2400306-003,30
2400306-014,30
2400306-013,30
2400306-004,30
2400306-015,30
2400306-005,30
2400306-006,30
2400306-007,30
2400306-008,30
2400306-009,30
2400306-010,30
2400306-026,30
2400306-011,30
2400306-018,30
2400306-016,30
2400306-017,30
2400306-019,30
2400306-020,30
2400306-032,30
2400306-022,30
2400306-029,30
2400306-023,30
2400306-024,30
2400306-025,30
2400306-027,33
2400306-028,33
2400306-030,30
2400306-031,33
2400307-001,30
2400307-002,30
2400307-003,30
2400307-004,30
2400307-021,30
2400307-005,30
2400307-027,30
2400307-006,30
2400307-010,30
2400307-007,33
2400307-008,30
2400307-009,30
2400307-011,33
2400307-012,33
2400307-023,30
2400307-022,33
2400307-013,33
2400307-016,33
2400307-015,33
2400307-017,33
2400307-018,21
2400307-019,30
2400307-020,33
2400307-024,21
2400307-025,30
2400501-001,44
2400501-005,44
2400501-002,10
2400501-006,44
2400501-007,44
2400501-008,44
2400501-009,44
2400501-015,44
2400501-016,44
2400501-017,10
2400502-001,44
2400502-002,44
2400502-031,44
2400502-003,44
2400502-004,44
2400502-005,44
2400502-006,44
2400502-008,11
2400502-025,11
2400502-009,10
2400502-010,10
2400502-011,10
2400502-030,10
2400502-012,10
2400502-013,10
2400502-015,11
2400502-016,10
2400502-017,10
2400502-018,10
2400502-019,10
2400502-020,10
2400502-021,10
2400502-022,10
2400502-024,10
2400502-026,11
2400502-027,10
2400502-028,44
2400502-029,11
2400503-001,44
2400503-002,11
2400503-003,44
2400503-005,11
2400503-006,11
2400503-007,11
2400503-008,11
2400503-009,11
2400503-010,11
2400503-011,11
2400503-012,11
2400503-013,11
2400503-014,11
2400504-001,11
2400504-012,10
2400504-015,11
2400504-002,10
2400504-003,11
2400504-004,10
2400504-005,10
2400504-006,10
2400504-007,10
2400504-010,10
2400504-008,10
2400504-011,10
2400504-013,11
2400504-014,11
2400505-001,42
2400505-002,42
2400506-001,42
2400506-002,42
2400507-001,42
2400507-002,42
2400507-003,42
2400508-002,11
2400508-026,11
2400508-004,42
2400508-006,42
2400508-005,42
2400508-008,11
2400508-009,11
2400508-016,11
2400508-010,11
2400508-012,42
2400508-013,42
2400508-015,42
2400508-017,11
2400508-028,11
2400508-018,11
2400508-019,11
2400508-020,11
2400508-021,11
2400508-022,42
2400508-023,11
2400508-024,11
2400508-025,42
2400509-004,43
2400509-008,42
2400509-012,43
2400509-013,43
2400509-014,43
2400509-016,8
2400509-017,8
2400509-018,8
2400509-019,8
2400509-021,8
2400509-022,8
2400509-023,8
2400509-024,7
2400509-025,7
2400509-027,42
2400509-028,8
2400509-029,43
2400510-001,42
2400510-006,42
2400510-007,42
2400510-002,42
2400510-004,42
2400510-003,42
2400510-005,42
2400511-001,42
2400511-002,7
2400511-026,7
2400511-003,7
2400511-025,7
2400511-004,7
2400511-024,7
2400511-027,7
2400511-005,7
2400511-006,7
2400511-008,7
2400511-018,7
2400511-015,7
2400511-017,7
2400511-009,8
2400511-011,8
2400511-014,7
2400511-016,8
2400511-020,7
2400511-021,8
2400511-022,7
2400512-001,6
2400512-002,6
2400512-003,6
2400512-004,6
2400512-005,6
2400512-006,6
2400512-007,6
2400512-008,6
2400512-009,6
2400512-010,6
2400512-011,6
2400512-012,6
2400512-013,6
2400513-001,44
2400513-002,44
2400513-005,44
2400513-006,44
2400513-007,44
2400513-008,44
2400513-009,44
2400514-001,8
2400514-002,8
2400514-003,8
2400514-004,8
2400514-005,8
2400514-006,8
