GEOID20,District
26163163517,1
26163163558,1
26163163552,1
26163163551,1
26163163522,1
26163163564,1
26163163532,1
26163163570,1
26163163550,1
26163163562,1
26163163514,1
26163163541,1
26163163569,1
26163163567,1
26163163568,1
26163163559,1
26163163557,1
26163163542,1
26163163543,1
26163163571,1
26163163501,1
26163163502,1
26163163510,1
26163163556,1
26163163553,1
26163163576,1
26163163575,1
26163163554,1
26163163577,1
26163163848,1
26163163846,1
26163163847,1
26163163578,1
26163163546,1
26163163508,1
26163163516,1
26163163560,1
26163163574,1
26163163536,1
26163163538,1
26163163535,1
26163163540,1
26163163544,1
26163163849,1
26163163512,1
26163163507,1
26163163549,1
26163163509,1
26163163513,1
26163163511,1
26163163565,1
26163163579,1
26163163563,1
26163163566,1
26163163561,1
26163163548,1
26163163547,1
26163163572,1
26163163850,1
26163163573,1
26163163555,1
26163163506,1
26163163537,1
26163163527,1
26163163505,1
26163163545,1
26163163515,1
26163163733,2
26163163732,2
26163163735,2
26163163008,2
26163163005,2
26163163003,2
26163163739,2
26163163869,2
26163163742,2
26163163738,2
26163163011,2
26163163879,2
26163163878,2
26163163001,2
26163163740,2
26163163736,2
26163163737,2
26163163877,2
26163163649,2
26163163007,2
26163163741,2
26163163004,2
26163163734,2
26163163651,2
26163163648,2
26163163002,2
26163163015,2
26163163650,2
26163163012,2
26163163006,2
26163163014,2
26163163731,2
26163163013,2
26163163010,2
26163163009,2
26163163592,3
26163163596,3
26163163593,3
26163163595,3
26163163788,3
26163163096,3
26163163094,3
26163163098,3
26163163093,3
26163163095,3
26163163100,3
26163163101,3
26163163097,3
26163163091,3
26163163090,3
26163163589,3
26163163583,3
26163163585,3
26163163586,3
26163163590,3
26163163617,3
26163163581,3
26163163584,3
26163163594,3
26163163601,3
26163163615,3
26163163616,3
26163163588,3
26163163099,3
26163163789,3
26163163787,3
26163163088,3
26163163089,3
26163163085,3
26163163086,3
26163163591,3
26163163084,3
26163163790,3
26163163092,3
26163163587,3
26163163582,3
26163163791,3
26163163083,3
26163163206,4
26163163630,4
26163163603,4
26163163614,4
26163163605,4
26163163604,4
26163163220,4
26163163216,4
26163163218,4
26163163609,4
26163163613,4
26163163612,4
26163163632,4
26163163606,4
26163163607,4
26163163075,4
26163163079,4
26163163498,4
26163163638,4
26163163610,4
26163163495,4
26163163496,4
26163163646,4
