GEOID20,District
27137000585,87
27137000940,87
27137000065,87
27137000942,87
27049000085,46
27049000050,46
27157000075,46
27157000065,46
27157000025,46
27157000160,46
27157000105,46
27157000060,46
27157000110,122
27157000010,46
27157000005,46
27049000015,46
27157000050,122
27157000165,122
27157000090,122
27157000020,122
27109000045,122
27109000050,72
27109000230,122
27017000180,69
27017000140,69
27017000170,69
27017000070,69
27017000118,69
27017000165,69
27137000805,62
27137000920,62
27137000600,62
27137000570,62
27137000085,62
27137000750,48
27137000540,62
27137000857,62
27137000130,48
27061000135,14
27061000350,14
27137000440,48
27137001155,48
27137000031,62
27137000120,48
27137000960,48
27137001135,48
27137000475,48
27137000060,48
27137001136,48
27137000055,48
27137000881,48
27137000470,48
27137001035,87
27137001000,87
27137000885,87
27071000175,87
27137000133,87
27137001002,87
27045000195,92
27045000025,92
27045000110,92
27045000065,92
27045000040,92
27045000060,92
27045000190,92
27045000075,92
27045000095,92
27045000045,92
27045000130,92
27109000075,122
27109000030,122
27109000040,122
27109000035,122
27055000080,92
27055000075,92
27169000015,75
27169000010,75
27169000080,75
27157000015,122
27157000030,46
27157000035,122
27157000155,122
27157000070,46
27157000115,46
27169000220,75
27169000215,75
27137000895,62
27137000315,18
27137000305,18
27137000605,62
27137000595,62
27137000770,62
27137000160,4
27137000155,4
27137000140,4
27137000565,62
27137000910,62
27137001130,48
27137000735,87
27137001125,87
27137000035,87
27075000065,87
27075000135,87
27137000437,87
27099000130,92
27045000015,92
27099000010,100
27045000020,92
27137000066,87
27137000976,87
27137000815,87
27045000165,92
27045000175,92
27045000180,92
27099000175,92
27109000055,64
27099000170,92
27109000225,64
27109000090,122
27109000065,122
27109000104,34
27031000040,87
27031000005,87
27097000080,116
27097000035,116
27097000110,116
27097000180,116
27097000185,116
27097000090,116
27097000140,125
27097000100,125
27097000115,116
27097000200,116
27097000095,116
27095000020,116
27095000060,116
27095000100,125
27095000090,116
27095000095,116
27095000120,116
27095000115,83
27095000010,125
27065000005,116
27095000065,116
27095000055,116
27095000125,116
27095000050,116
27065000050,116
27065000045,116
27147000060,58
27147000145,58
27107000065,114
