GEOID20,District
27137000585,3A
27137000940,3A
27137000065,3A
27137000942,3A
27049000085,20A
27049000050,20A
27157000075,20A
27157000065,20A
27157000025,20A
27157000160,20A
27157000105,20A
27157000060,20A
27157000110,20B
27157000010,20A
27157000005,20A
27049000015,20A
27157000050,20B
27157000165,20B
27157000090,20B
27157000020,20B
27109000045,20B
27109000050,25A
27109000230,20B
27017000180,11A
27017000140,11A
27017000170,11A
27017000070,11A
27017000118,11A
27017000165,11A
27137000805,3B
27137000920,3B
27137000600,3B
27137000570,3B
27137000085,3B
27137000750,7B
27137000540,3B
27137000857,3B
27137000130,7B
27061000135,7A
27061000350,7A
27137000440,7B
27137001155,7B
27137000031,3B
27137000120,7B
27137000960,7B
27137001135,7B
27137000475,7B
27137000060,7B
27137001136,7B
27137000055,7B
27137000881,7B
27137000470,7B
27137001035,3A
27137001000,3A
27137000885,3A
27071000175,3A
27137000133,3A
27137001002,3A
27045000195,26B
27045000025,26B
27045000110,26B
27045000065,26B
27045000040,26B
27045000060,26B
27045000190,26B
27045000075,26B
27045000095,26B
27045000045,26B
27045000130,26B
27109000075,20B
27109000030,20B
27109000040,20B
27109000035,20B
27055000080,26B
27055000075,26B
27169000015,26A
27169000010,26A
27169000080,26A
27157000015,20B
27157000030,20A
27157000035,20B
27157000155,20B
27157000070,20A
27157000115,20A
27169000220,26A
27169000215,26A
27137000895,3B
27137000315,8A
27137000305,8A
27137000605,3B
27137000595,3B
27137000770,3B
27137000160,8B
27137000155,8B
27137000140,8B
27137000565,3B
27137000910,3B
27137001130,7B
27137000735,3A
27137001125,3A
27137000035,3A
27075000065,3A
27075000135,3A
27137000437,3A
27099000130,26B
27045000015,26B
27099000010,23B
27045000020,26B
27137000066,3A
27137000976,3A
27137000815,3A
27045000165,26B
27045000175,26B
27045000180,26B
27099000175,26B
27109000055,24A
27099000170,26B
27109000225,24A
27109000090,20B
27109000065,20B
27109000104,24B
27031000040,3A
27031000005,3A
27097000080,10A
27097000035,10A
27097000110,10A
27097000180,10A
27097000185,10A
27097000090,10A
27097000140,10B
27097000100,10B
27097000115,10A
27097000200,10A
27097000095,10A
27095000020,10A
27095000060,10A
27095000100,10B
27095000090,10A
27095000095,10A
27095000120,10A
27095000115,27B
27095000010,10B
27065000005,10A
27095000065,10A
27095000055,10A
27095000125,10A
27095000050,10A
27065000050,10A
27065000045,10A
27147000060,19B
27147000145,19B
27107000065,1B
27107000100,1B
27107000165,1B
27097000010,10A
27097000205,10A
27097000015,10B
27097000005,10B
27097000030,10B
27097000085,10A
27097000050,10A
27107000010,1B
27107000015,1B
27107000115,1B
27107000045,1B
27107000095,1B
27107000130,1B
27027000060,1B
27027000065,1B
27027000070,4B
27107000025,1B
27027000250,4B
27027000220,4B
27027000270,4B
27107000105,1B
27027000235,4B
27027000225,4B
27027000140,4B
27027000150,4B
27119000375,1B
27119000025,1B
27119000405,1B
27119000260,1B
27027000085,4B
27027000090,4B
27027000050,4B
27119000180,1B
27119000395,1B
27119000295,1B
27119000435,1B
27119000045,1B
27097000055,10A
27091000025,22A
27043000120,22A
27043000070,23A
27043000065,23A
27027000025,4B
27027000055,4B
27097000175,10A
27097000195,10A
27097000160,10A
27097000230,10B
27097000225,10B
27097000045,10A
27153000115,5B
27153000175,5B
27153000030,5B
27153000090,5B
27153000135,5B
27153000185,5B
27153000040,5B
27153000100,5B
27153000060,5B
27153000050,5B
27153000150,5B
27153000035,5B
27041000170,12B
27111000125,9B
27153000195,5B
27153000110,5B
27121000060,12A
27145000225,12A
27041000135,9B
27111000345,9B
27041000035,12B
27041000030,12B
27041000145,12B
27041000055,12B
27041000160,12B
27041000130,9B
27041000110,9B
27111000135,9B
27011000080,12A
27011000085,12A
27011000025,12A
27011000005,12A
27011000075,12A
27011000015,12A
27011000090,12A
27011000010,12A
27011000035,12A
27119000105,1B
27119000230,1B
27119000365,1B
27119000020,1B
27125000045,1B
27113000070,1A
27119000175,1B
27119000010,1B
27011000060,12A
27011000055,12A
27011000050,12A
27155000060,9A
27089000055,1A
27119000035,1B
27113000010,1A
27119000265,1B
27113000065,1A
27089000265,1A
27089000195,1A
27089000030,1A
27149000020,12A
27149000100,12A
27149000085,12A
27155000020,9A
27155000027,9A
27155000040,9A
27155000025,9A
27155000035,9A
27155000045,9A
27155000015,9A
27155000055,9A
27051000070,9A
27149000035,12A
27051000040,9A
27155000065,9A
27167000100,9A
27167000075,9A
27167000015,9A
27027000125,4B
27027000145,4B
27167000110,9A
27027000005,4B
27167000120,9A
27167000105,9A
27155000075,9A
27167000060,9A
27167000025,9A
27167000055,9A
27167000065,9A
27167000020,9A
27155000070,9A
27167000070,9A
27167000115,9A
27167000140,9A
27167000095,9A
27167000130,9A
27167000113,9A
27051000090,9A
27051000095,9A
27111000420,9A
27111000390,9A
27051000035,9A
27051000060,9A
27051000085,9A
27111000450,9A
27149000040,12A
27033000125,21A
27041000125,9B
27111000265,9B
27111000430,9B
27041000090,9B
27051000110,9A
27051000025,9A
27051000115,9A
27111000005,9A
27051000015,9A
27041000120,9B
27041000140,9B
27041000115,9B
27111000120,9B
27041000045,9B
27155000085,9A
27155000090,9A
27041000065,9B
27121000100,12A
27121000105,12A
27121000150,12A
27155000080,9A
27089000095,1A
27089000145,1A
27089000290,1A
27089000300,1A
27089000130,1A
27089000025,1A
27069000165,1A
27155000095,9A
27155000050,9A
27115000150,11A
27115000165,11A
27115000145,11A
27115000010,11B
27115000235,11B
27115000050,11A
27115000095,11B
27115000070,11B
27115000045,11A
27069000005,1A
27069000085,1A
27069000030,1A
27069000115,1A
27069000055,1A
27069000125,1A
27069000120,1A
27069000092,1A
27069000050,1A
27069000060,1A
27069000045,1A
27115000240,11A
27115000120,11A
27115000170,11B
27115000215,11B
27115000155,11A
27115000015,11B
27137000445,7B
27137000935,7A
27115000090,11B
27115000207,11B
27115000125,11B
27115000210,11B
27115000085,11B
27115000080,11A
27115000025,11A
27115000075,11B
27115000190,11B
27069000105,1A
27069000010,1A
27069000118,1A
27069000015,1A
27133000090,21A
27001000205,10A
27115000030,11B
27001000155,10A
27001000220,10A
27001000225,10A
27065000065,11B
27065000030,10A
27001000082,10A
27071000180,3A
27071000190,3A
27001000075,10A
27001000115,10A
27095000030,10A
27001000090,10A
27001000140,7A
27001000185,10A
27001000060,10A
27001000215,10A
27035000150,6A
27035000260,10A
27021000230,6A
27021000255,6A
27021000245,2B
27021000150,6A
27021000312,6A
27021000275,6A
27035000250,10A
27035000210,10A
27035000225,6A
27035000090,10A
27035000200,10A
27035000075,6A
27035000215,6A
27051000105,9A
27011000100,12A
27155000030,9A
27155000005,9A
27023000040,16A
27023000070,16A
27011000095,12A
27041000060,9B
27135000122,1A
27135000135,1A
27051000005,9A
27155000010,9A
27011000030,12A
27011000045,12A
27009000045,10B
27065000085,10A
27115000035,11B
27065000090,11B
27025000035,28A
27025000060,11B
27025000070,11B
27115000110,11B
27115000195,11B
27115000055,11B
27115000135,11B
27115000140,11B
27135000120,1A
27135000010,1A
27135000185,1A
27115000020,11B
27115000060,11B
27115000005,11B
27115000160,11B
27167000085,9A
27167000010,9A
27167000005,9A
27167000145,9A
27027000255,4B
27111000300,9A
27111000310,9A
27111000040,9A
27111000085,9A
27111000205,9A
27111000175,9A
27111000115,9B
27111000270,9B
27027000130,4B
27027000245,4B
27027000110,4B
27027000035,4B
27027000135,4B
27027000100,1B
27107000120,1B
27111000080,9A
27135000095,1A
27089000070,1A
27135000035,1A
27111000275,9B
27111000065,9B
27111000295,9B
27111000325,9B
27111000225,9B
27111000215,9B
27111000440,9B
27005000175,2B
27029000070,2B
27005000095,2B
27029000140,2B
27107000085,1B
27107000050,1B
27107000135,1B
27107000145,1B
27107000140,1B
27107000040,1B
27107000160,1B
27119000325,1B
27119000360,1B
27119000245,1B
27119000225,1B
27119000310,1B
27119000165,1B
27119000015,1B
27119000320,1B
27125000035,1B
27125000100,1B
27125000087,1B
27125000080,1B
27113000005,1A
27125000065,1B
27125000070,1B
27125000085,1B
27125000030,1B
27125000010,1B
27125000090,1B
27113000080,1A
27113000100,1A
27089000260,1A
27089000085,1A
27113000075,1A
27007000140,2A
27029000056,2A
27007000202,2A
27007000100,2A
27111000150,9B
27111000340,9B
27111000455,9B
27111000255,9B
27111000305,9B
27111000025,9B
27111000335,9B
27153000015,5B
27153000055,5B
27153000170,5B
27159000120,5B
27153000005,5B
27159000010,5B
27153000070,5B
27089000220,1A
27089000185,1A
27089000125,1A
27057000022,5A
27057000080,5A
27057000145,5A
27057000105,5A
27057000085,5A
27057000060,5A
27153000140,5B
27153000065,5B
27159000085,5B
27153000165,5B
27159000090,5B
27021000020,5B
27089000230,1A
27097000220,5B
27153000180,5B
27021000220,5A
27021000070,5B
27021000005,5A
27021000265,5B
27021000175,5B
27021000100,5A
27035000130,10A
27071000195,3A
27007000280,2A
27007000290,2A
27089000190,1A
27089000180,1A
27011000031,12A
27011000020,12A
27069000065,1A
27069000080,1A
27089000140,1A
27089000010,1A
27089000020,1A
27089000155,1A
27089000285,1A
27089000235,1A
27089000250,1A
27089000035,1A
27089000100,1A
27089000065,1A
27119000040,1B
27089000275,1A
27089000040,1A
27119000005,1B
27119000355,1B
27119000170,1B
27119000270,1B
27119000400,1B
27089000015,1A
27107000090,1B
27119000190,1B
27119000300,1B
27119000420,1B
27089000270,1A
27089000170,1A
27107000075,1B
27107000060,1B
27119000440,1B
27119000385,1B
27119000280,1B
27107000055,1B
27107000070,1B
27027000240,4B
