GEOID20,District
27137000585,3
27137000940,3
27137000065,3
27137000942,3
27049000085,20
27049000050,20
27157000075,20
27157000065,20
27157000025,20
27157000160,20
27157000105,20
27157000060,20
27157000110,20
27157000010,20
27157000005,20
27049000015,20
27157000050,20
27157000165,20
27157000090,20
27157000020,20
27109000045,20
27109000050,25
27109000230,20
27017000180,11
27017000140,11
27017000170,11
27017000070,11
27017000118,11
27017000165,11
27137000805,3
27137000920,3
27137000600,3
27137000570,3
27137000085,3
27137000750,7
27137000540,3
27137000857,3
27137000130,7
27061000135,7
27061000350,7
27137000440,7
27137001155,7
27137000031,3
27137000120,7
27137000960,7
27137001135,7
27137000475,7
27137000060,7
27137001136,7
27137000055,7
27137000881,7
27137000470,7
27137001035,3
27137001000,3
27137000885,3
27071000175,3
27137000133,3
27137001002,3
27045000195,26
27045000025,26
27045000110,26
27045000065,26
27045000040,26
27045000060,26
27045000190,26
27045000075,26
27045000095,26
27045000045,26
27045000130,26
27109000075,20
27109000030,20
27109000040,20
27109000035,20
27055000080,26
27055000075,26
27169000015,26
27169000010,26
27169000080,26
27157000015,20
27157000030,20
27157000035,20
27157000155,20
27157000070,20
27157000115,20
27169000220,26
27169000215,26
27137000895,3
27137000315,8
27137000305,8
27137000605,3
27137000595,3
27137000770,3
27137000160,8
27137000155,8
27137000140,8
27137000565,3
27137000910,3
27137001130,7
27137000735,3
27137001125,3
27137000035,3
27075000065,3
27075000135,3
27137000437,3
27099000130,26
27045000015,26
27099000010,23
27045000020,26
27137000066,3
27137000976,3
27137000815,3
27045000165,26
27045000175,26
27045000180,26
27099000175,26
27109000055,24
27099000170,26
27109000225,24
27109000090,20
27109000065,20
27109000104,24
27031000040,3
27031000005,3
27097000080,10
27097000035,10
27097000110,10
27097000180,10
27097000185,10
27097000090,10
27097000140,10
27097000100,10
27097000115,10
27097000200,10
27097000095,10
27095000020,10
27095000060,10
27095000100,10
27095000090,10
27095000095,10
27095000120,10
27095000115,27
27095000010,10
27065000005,10
27095000065,10
27095000055,10
27095000125,10
27095000050,10
27065000050,10
27065000045,10
27147000060,19
27147000145,19
27107000065,1
27107000100,1
27107000165,1
27097000010,10
27097000205,10
27097000015,10
27097000005,10
27097000030,10
27097000085,10
27097000050,10
27107000010,1
27107000015,1
27107000115,1
27107000045,1
27107000095,1
27107000130,1
27027000060,1
27027000065,1
27027000070,4
27107000025,1
27027000250,4
27027000220,4
27027000270,4
27107000105,1
27027000235,4
27027000225,4
27027000140,4
27027000150,4
27119000375,1
27119000025,1
27119000405,1
27119000260,1
27027000085,4
27027000090,4
27027000050,4
27119000180,1
27119000395,1
27119000295,1
27119000435,1
27119000045,1
27097000055,10
27091000025,22
27043000120,22
27043000070,23
27043000065,23
27027000025,4
27027000055,4
27097000175,10
27097000195,10
27097000160,10
27097000230,10
27097000225,10
27097000045,10
27153000115,5
27153000175,5
27153000030,5
27153000090,5
27153000135,5
27153000185,5
27153000040,5
27153000100,5
27153000060,5
27153000050,5
27153000150,5
27153000035,5
27041000170,12
27111000125,9
27153000195,5
27153000110,5
27121000060,12
27145000225,12
27041000135,9
27111000345,9
27041000035,12
27041000030,12
27041000145,12
27041000055,12
27041000160,12
27041000130,9
27041000110,9
27111000135,9
27011000080,12
27011000085,12
27011000025,12
27011000005,12
27011000075,12
27011000015,12
27011000090,12
27011000010,12
27011000035,12
27119000105,1
27119000230,1
27119000365,1
27119000020,1
27125000045,1
27113000070,1
27119000175,1
27119000010,1
27011000060,12
27011000055,12
27011000050,12
27155000060,9
27089000055,1
27119000035,1
27113000010,1
27119000265,1
27113000065,1
27089000265,1
27089000195,1
27089000030,1
27149000020,12
27149000100,12
27149000085,12
27155000020,9
27155000027,9
27155000040,9
27155000025,9
27155000035,9
27155000045,9
27155000015,9
27155000055,9
27051000070,9
27149000035,12
27051000040,9
27155000065,9
27167000100,9
27167000075,9
27167000015,9
27027000125,4
27027000145,4
27167000110,9
27027000005,4
27167000120,9
27167000105,9
27155000075,9
27167000060,9
27167000025,9
27167000055,9
27167000065,9
27167000020,9
27155000070,9
27167000070,9
27167000115,9
27167000140,9
27167000095,9
27167000130,9
27167000113,9
27051000090,9
27051000095,9
27111000420,9
27111000390,9
27051000035,9
27051000060,9
27051000085,9
27111000450,9
27149000040,12
27033000125,21
27041000125,9
27111000265,9
27111000430,9
27041000090,9
27051000110,9
27051000025,9
27051000115,9
27111000005,9
27051000015,9
27041000120,9
27041000140,9
27041000115,9
27111000120,9
27041000045,9
27155000085,9
27155000090,9
27041000065,9
27121000100,12
