GEOID20,District
29001000002,6
29001000003,6
29001000004,6
29001000005,6
29001000006,6
29001000007,6
29001000008,6
29001000009,6
29003000002,6
29003000003,6
29003000004,6
29003000005,6
29003000006,6
29003000007,6
29003000008,6
29003000009,6
29005000002,6
29005000004,6
29005000005,6
29005000006,6
29005000007,6
29009000002,7
29009000003,7
29009000004,7
29009000005,7
29009000006,7
29009000007,7
29009000008,7
29009000009,7
29011000004,4
29011000011,4
29011000008,4
29017000003,8
29017000005,8
29017000006,8
29017000007,8
29017000009,8
29021000001,6
29021000004,6
29021000002,6
29021000006,6
29021000008,6
29023000002,8
29023000003,8
29023000004,8
29023000005,8
29023000006,8
29023000007,8
29023000008,8
29023000009,8
29029000002,4
29029000003,4
29029000004,4
29029000005,4
29029000006,4
29029000007,4
29029000008,4
29029000009,4
29031000002,8
29031000003,8
29031000004,8
29031000005,8
29031000006,8
29031000007,8
29031000008,8
29031000009,8
2903316-001,6
2903316-019,6
2903316-003,6
2903316-004,6
29033000006,6
29033000007,6
2903316-017,6
29033000009,6
29037000001,4
29037000010,4
29037000011,4
29037000012,4
29037000013,4
29037000014,4
29037000015,4
29037000016,4
29043000002,7
29043000003,7
29043000004,7
29043000005,7
29043000006,7
29043000007,7
29043000008,7
29043000009,7
29045000002,6
29045000003,6
29045000004,6
29045000005,6
29045000006,6
29045000007,6
29045000008,6
29045000009,6
29047000002,5
29047000003,6
29047000004,6
29047000005,6
29047000006,6
29047000007,6
29047000009,5
29049000002,6
29049000003,6
29049000005,6
29049000006,6
29049000007,6
29049000008,6
29051000002,3
29051000052,3
29051000003,3
29051000005,3
29051000006,3
29051000007,3
2905116-512,3
29051000008,3
29053000002,3
29053000004,3
29053000005,3
29053000006,3
29053000007,3
29053000008,3
29053000009,3
29055000002,3
29055000003,3
29055000004,3
29055000005,3
29055000006,3
29055000007,3
29055000008,3
29055000009,3
29059000002,4
29059000003,4
29059000004,4
29059000005,4
29059000006,4
29059000007,4
29059000008,4
29059000009,4
29061000012,6
2906116-017,6
29061000008,6
29063000002,6
29063000003,6
29063000004,6
29063000005,6
29063000006,6
29063000007,6
29063000008,6
29063000009,6
29065000002,8
29065000003,8
29065000004,8
29065000005,8
29065000006,8
29065000007,8
29065000008,8
29067000002,8
29067000003,8
29067000004,8
29067000005,8
29067000006,8
29067000007,8
29067000008,8
29067000009,8
29069000002,8
29069000003,8
29069000004,8
29069000005,8
29069000006,8
29069000007,8
29069000008,8
29069000009,8
29071000002,2
29071000003,2
29071000004,2
29071000030,2
29071000005,2
29071000006,2
29071000007,2
29071000008,2
29071000009,2
29073000002,3
29073000003,3
29073000004,3
29073000005,3
29073000006,3
29073000007,3
29073000008,3
29073000009,3
29075000002,6
29075000003,6
29075000004,6
29075000005,6
29075000006,6
29075000007,6
29075000008,6
29075000009,6
29077000002,7
29077000003,7
29077000004,7
29077000005,7
29077000006,7
29077000007,7
29077000008,7
29077000009,7
29079000002,6
29079000003,6
29079000004,6
29079000005,6
29079000006,6
29079000007,6
29079000008,6
29079000009,6
29081000004,6
2908116-012,6
29081000008,6
29081000009,6
29083000002,4
29083000003,4
29083000004,4
2908316-020,4
29083000009,4
29085000002,4
29085000003,4
29085000004,4
29085000005,4
29085000006,4
29085000007,4
29085000008,4
29085000009,4
29087000002,6
29087000003,6
29087000004,6
29087000005,6
29087000006,6
29087000007,6
29089000002,4
29089000003,4
29089000004,4
29089000005,4
29089000006,4
29089000007,4
29089000008,4
29089000009,4
29091000002,8
29091000003,8
29091000004,8
29091000005,8
29091000006,8
29091012-22,8
29091000007,8
29091000008,8
29091000009,8
29093000002,8
29093000003,8
29093000004,8
29093000005,8
29093000006,8
29093000007,8
29093000008,8
29093000009,8
29095000002,5
29095000003,5
29095000006,5
29095000007,6
29095000008,5
29097000002,7
29097000003,7
29097000004,7
29097000005,7
29097000006,7
29097000007,7
29097000008,7
29099000002,8
2909916-102,8
2909916-104,8
29099000004,8
2909916-096,8
29099000006,8
29099000007,8
29099000008,8
29099000009,8
29101000002,4
29101000003,4
29101000004,4
29101000005,4
29101000006,4
29101000007,4
29101000008,4
29101000009,4
29103000002,6
29103000003,6
29103000004,6
29103000005,6
29103000006,6
29103000007,6
29105000002,4
2910516-024,4
2910516-025,4
29105000004,4
29105000005,4
29105000006,4
29105000007,4
29105000008,4
29105000009,4
29107000002,4
29107000003,4
29107000004,4
29107000005,4
29107000006,4
29107000007,4
29107000008,4
29107000009,4
29109000002,7
29109000003,7
