GEOID20,District
2905116-411,59
29051000002,59
29229000009,141
29105000013,141
29105000004,141
29105000002,141
29105000011,141
29169000006,124
29217000009,125
29217000005,125
29205000004,4
29063000006,9
29121000011,6
29175000009,6
29175000008,6
29175000016,6
2912112-014,6
29121000012,6
29205000009,4
29137000009,43
29175000002,6
29175000014,6
29007000502,43
29103000007,4
29103000004,4
29103000002,4
29197000003,4
29199000004,4
29171000009,3
29199000008,4
29197000004,4
29153000011,155
29153000006,155
29153000009,155
29153000003,155
29149000008,153
29149000013,153
29067000022,155
29067000013,155
29067000023,155
29091000008,154
29091000013,154
29067000018,141
29229000002,141
29215000020,143
29067000009,155
29067000005,141
29153000008,155
29229000005,141
29215000005,143
29215000017,143
29215000014,143
29225000014,129
29209003814,138
29213000019,156
29213000002,156
29169000002,121
29169000009,124
29169000003,124
29153000010,155
29161000008,143
29131000011,124
29131000020,124
29125000005,143
29067000002,141
29131000018,61
29125000004,143
29051000007,59
29051000044,59
29051000049,59
29051000045,59
29151000015,61
29051000003,59
29051000004,59
29051000046,59
2905116-002,59
29051000032,59
2905116-3-7,60
2905116-3-8,60
29019000031,44
29089000008,48
29041000503,48
29041000465,48
29175000003,6
29169000007,124
29029000008,123
29131000013,124
29131000029,124
29141000008,58
29051000037,59
29051000034,59
29051000036,59
29051000041,59
29135000006,58
29135000011,58
29135000013,58
29051000052,59
29051000005,59
29135000008,58
29019000032,44
29019000030,44
29019000035,44
29159000025,52
29159000003,52
29199000002,4
29045000002,4
2901916-043,44
29019000029,44
2901900005D,50
2901900005J,50
2901916-06M,50
2901900006I,45
29103000003,4
29019000021,47
2901900004K,47
29103000005,4
29103000006,4
29183000005,65
29205000008,4
2913716-015,43
29137000006,4
29137000004,43
29007000545,43
29019000008,47
29019000009,44
29027000828,43
29019000016,44
29019000023,44
29019000024,44
2901900003B,46
2901900003A,46
2901916-03J,46
29019000033,44
2901900003F,46
2901916-06J,50
2901900002J,46
2901916-03N,46
2901900003C,46
2901916-03I,46
29067000007,155
2901900002I,46
29019000025,44
29067000003,155
29067000020,155
29067000011,141
29067000004,141
29219000014,42
29219000011,42
2901916-03L,46
29089000006,48
29019000007,47
29019000019,47
29019000042,44
29027001584,49
29027001843,49
29105000012,141
29029000020,123
2910516-027,141
29227000003,2
29217000008,125
29217000004,125
29217000014,125
29105000017,141
29105000010,141
29105000009,141
29053000013,48
29059000002,142
29059000011,142
29105000018,142
29029000014,142
29059000004,142
29059000009,142
29015000001,57
29015000005,57
29029000006,123
29141000017,58
29059000012,142
29085000008,126
29085000003,126
29085000007,128
29167000021,128
29085000006,128
29213000003,155
29153000004,155
29059000006,142
29059000007,142
29167000022,128
29059000008,142
29167000013,128
29167000012,128
29115000023,7
29115000011,7
29167000002,128
29085000004,128
29085000009,126
29167000020,128
29085000010,128
29167000003,128
29011000010,127
29011000011,127
29083000010,126
29083000011,126
29167000019,128
29167000008,128
29217000003,125
29011000004,127
2910516-026,142
29119000020,158
29167000018,128
29167000006,128
29167000009,128
29185000017,126
29039003092,125
29105000014,141
29077000070,131
29077000035,131
29185000011,126
29039003192,127
29039003057,125
29101000012,54
29039003054,125
29039003052,125
29185000009,126
29185000010,126
29013002847,125
29013002722,62
29217000013,125
29217000015,125
29057003246,127
29039003178,127
29009000006,158
29009000003,158
29009000012,158
29217000016,125
29217000006,125
29217000012,125
29217000011,125
29057003243,127
29097000033,127
29097000031,127
29217000017,125
29217000010,125
29011000016,127
29229000008,141
29119000011,159
29119000010,159
29119000007,159
29097000038,127
29097000015,127
29097000034,163
29097000003,162
29097000046,163
29097000027,163
29145000014,160
29097000013,163
29145000011,160
29145000003,160
29145000018,160
29145000017,159
2914516-029,160
2914516-030,160
29145000002,160
29145000008,159
29097000014,163
29097000009,163
29097000008,163
29119000002,159
29119000013,159
29119000004,159
29097000007,163
29109000019,157
29109000002,157
29119000009,159
29119000012,159
29119000015,159
2914516-032,160
29145000010,159
29209003889,138
29011000015,127
29119000003,159
29119000018,159
29119000008,159
29097000005,162
29097000004,162
2909716-004,162
29097000019,162
29097000047,162
29097000017,161
29097000043,162
29145000013,159
29097000040,163
29145000007,159
29097000045,162
29097000044,162
29097000018,161
2914516-021,160
29097000023,161
29097000024,161
29097000029,161
29097000022,161
2909716-026,161
2914516-027,160
2914516-028,160
29097000020,161
29011000008,127
29119000006,158
29009000014,158
29009000019,158
29009000009,158
29009000018,158
29009000008,158
29153000005,155
29067000024,155
29067000025,155
29043000027,138
29043000031,139
29009000002,158
29119000019,159
29009000022,158
29009000023,158
29213000023,155
29213000010,155
29213000016,155
29077000028,132
29077000024,132
29209003900,138
29077000039,130
29077000056,133
29119000014,158
29209003935,155
29077000032,132
29077000026,132
29009000020,158
29109000008,157
29043000028,138
29043000015,138
29209003730,138
29209003701,138
29209003698,138
29209003903,138
29043000024,139
29043000023,139
29043000025,139
29077000037,130
29077000058,130
29009000005,158
29077000027,132
29153000002,155
29043000009,138
29153000007,155
29077000091,133
29077000092,133
29057003263,127
29209003898,138
29209003794,138
29209003800,138
29209003782,138
29209003723,138
29213000024,156
29043000026,138
29043000029,138
29213000011,155
29213000020,155
29213000009,155
29145000015,159
29043000008,139
29213000018,156
29225000011,129
29043000016,138
29043000030,138
29043000005,138
29043000019,138
29209003908,138
29213000015,155
29209003842,138
29213000021,156
29009000013,158
29009000010,158
29077000040,131
29077000043,131
29213000005,156
29109000014,157
29213000004,156
29213000014,155
29213000012,156
29009000016,158
29009000007,158
29059000003,142
29225000003,129
29167000014,128
29213000017,156
29009000021,158
29209003938,155
29043000011,139
29213000022,156
29209003877,138
29213000006,156
29043000021,140
29077000113,134
29077000014,131
29077000018,131
29043000007,140
29067000021,155
29077000077,134
29229000003,141
29167000010,128
29067000016,155
29067000015,155
29167000004,128
29167000023,128
29167000015,128
29077000017,131
29077000006,133
29167000017,128
29077000099,131
29077000087,136
29077000090,133
29077000075,136
29077000076,136
29077000050,136
29077000059,130
29109000020,157
29109000018,157
29109000006,157
29109000010,157
29109000004,157
29077000105,131
29109000009,157
29109000003,157
29109000013,157
29077000106,131
29043000020,139
29009000011,158
29145000012,159
29109000017,157
29009000015,158
29057003300,127
29057003294,127
29057003244,127
29009000004,158
29057003289,127
29209003699,138
29009000017,158
29109000016,157
29057003330,127
29109000007,157
29109000005,157
29109000012,157
29097000041,127
29097000011,163
29145000016,160
29097000010,163
29109000011,157
29167000005,128
29167000016,128
29145000006,159
29145000004,159
2901116-018,127
2901116-021,127
29209003751,138
29109000015,157
29043000012,139
29077000104,130
29077000011,131
29077000109,131
29167000007,128
29167000011,128
29077000025,132
29077000020,132
29077000019,132
29225000010,129
29225000006,129
2922512-020,129
29077000023,132
29077000021,135
29229000006,141
29229000007,141
29229000004,141
29077000108,137
29077000041,137
29225000013,129
29067000017,155
29067000014,155
29043000010,138
29077000110,137
29067000008,155
2910516-024,141
29105000020,141
2922512-019,129
29225000012,129
2922516-018,129
29225000002,129
29077000044,135
29225000005,129
29077000048,135
2922516-016,129
29077000003,135
29077000046,135
29077000047,135
29077000061,135
29225000008,129
29077000103,137
29077000067,137
29077000033,135
29077000034,135
29077000009,135
29077000015,137
29067000019,155
29067000006,141
29067000012,155
2910516-025,141
29059000005,142
29077000088,133
29077000080,136
29077000073,136
29077000094,132
29077000095,132
29043000022,140
29043000014,140
29043000006,140
29043000033,140
29043000013,140
29077000101,137
29043000004,140
29077000049,136
29077000084,136
29043000018,139
29077000083,136
29077000051,136
29077000062,135
29077000054,133
29077000079,134
29077000063,136
29077000064,136
29077000082,136
29077000081,136
29077000065,137
29077000053,136
29077000008,135
29077000010,135
29077000086,132
29077000052,136
29077000060,135
29059000010,142
2922516-015,129
29105000016,141
29105000006,142
29013002849,125
29013002814,125
29013002892,125
29013002904,125
29013002825,125
29013002767,62
29061000016,2
29063000009,9
29061000012,2
29171000003,3
29129000010,3
29121000005,6
29121000008,6
29175000015,48
29063000005,9
29075000013,1
29115000016,7
29121000007,6
29175000006,48
29175000013,48
29075000012,1
29115000014,7
29117000014,7
29079000017,2
29117000008,7
29079000009,2
29117000006,7
29053000011,48
29115000010,7
29115000017,7
29041000386,48
29041000352,48
29115000006,7
29115000005,7
29115000024,7
29115000007,7
29041000418,48
29041000424,48
29115000015,7
29041000381,48
29041000346,48
29079000004,2
29117000007,7
29079000005,2
29197000007,4
29061000009,2
29079000008,2
29075000007,1
29075000003,1
29081000008,2
29081000009,2
2906116-017,2
29227000007,2
29227000002,2
29121000010,6
29121000004,6
29171000008,3
29171000007,3
29115000002,7
29037000035,55
29037000028,55
29021000033,13
29037000012,55
29115000022,7
29115000013,7
29115000012,7
29211000015,3
29037000013,55
29037000009,62
29037000026,62
29217000002,125
29037000006,62
29037000005,62
29061000008,2
29117000012,7
29117000010,7
29117000011,7
29033000014,7
29117000005,7
2903316-016,7
29117000009,7
29025000281,2
29025000280,2
29061000002,2
29025000389,2
29025000356,2
29025000284,2
29177000004,53
29177000013,53
29025000277,2
29063000010,9
29037000029,55
29095000516,34
29095000517,34
29095000514,34
29095PR1610,34
29063000008,9
29049000002,9
29095000499,35
29095000503,35
29095000567,34
29095000512,35
29025000353,2
29095000520,34
29095PR1602,34
29095000529,34
29047000055,8
29095000538,34
29095000534,34
29095000391,37
29047000078,8
29047000056,39
29047000058,39
29047000007,39
29047000006,39
29095000030,32
29095000138,20
29095000140,32
29095000037,20
29095000036,20
29095000035,20
29095FO1601,20
29095000022,20
29095000034,20
29095000067,20
29095000076,20
29095000071,21
29095000637,32
29095000582,20
29095000536,30
29095000099,29
29095000096,29
29095000103,29
29095000095,29
29095000097,29
29095000524,30
2909516-100,33
29095000525,30
29095000532,34
29095000539,34
29095000561,30
29095VB1607,33
29095VB1609,33
29095000642,33
29095VB1613,33
29095000531,34
29095000540,30
29095000558,34
29095000566,34
29095000550,33
29095000552,33
29115000004,7
29063000011,9
29095000362,35
29095KC2414,35
29095000527,30
29095000518,30
29075000002,1
29075000004,1
29075000008,1
