GEOID20,District
29189CLA022,4
291890AP002,14
291890AP001,14
29189FLO015,13
29189FLO200,13
291890AP004,14
29189HAD035,14
29001000010,18
29001000011,18
29001000002,18
29001000003,18
29001000004,18
29001000005,18
29001000006,18
29001000007,18
29001000008,18
29001000009,18
29003000010,12
29003000011,12
29003000012,12
29003000013,12
29003000014,12
29003000015,12
29003000016,12
29003000017,12
29003000018,12
29003000019,12
29003000002,12
29003000020,12
29003000021,12
29003000003,12
29003000004,12
29003000005,12
29003000006,12
29003000007,12
29003000008,12
29003000009,12
29005000002,12
29005000004,12
29005000005,12
29005000006,12
29005000007,12
29007000502,18
29007000506,18
29007000508,18
29007000510,18
29007000512,18
29007000513,18
29007000545,18
29007000616,18
29007000623,18
29007000632,18
29007000633,18
29007000641,18
29007000642,18
29007000657,18
29007000658,18
29007000667,18
29009000010,29
29009000011,29
29009000018,29
29009000012,29
29009000013,29
29009000014,29
29009000015,29
29009000016,29
29009000017,29
29009000019,29
29009000020,29
29009000002,29
29009000021,29
29009000022,29
29009000023,29
29009000003,29
29009000004,29
29009000005,29
29009000006,29
29009000007,29
29009000008,29
29009000009,29
29011000010,20
29011000011,20
2901116-018,20
2901116-021,20
29011000004,20
29011000015,20
29011000016,20
29011000008,20
29013002701,31
29013002703,31
29013002705,31
29013002722,31
29013002767,31
29013002801,31
29013002814,31
29013002825,31
29013002847,31
29013002849,31
29013002850,31
29013002868,31
29013002892,31
29013002904,31
29013002930,31
29015000002,28
29015000005,28
29015000009,28
290150012-6,28
29015000007,28
29015000001,28
29015000008,28
29015000004,28
29085000009,28
29017000010,27
29017000011,27
29017000009,27
29017000012,27
29017000015,27
29017000003,27
29017000007,27
29017000006,27
29017000005,27
29019000007,19
29019000019,19
29019000020,19
29019000008,19
29019000039,19
29019000009,19
29019000010,19
29019000012,19
29019000011,19
29019000015,19
29019000016,19
29019000017,19
2901900003B,19
29019000018,19
2901900001A,19
2901916-01M,19
2901900001B,19
2901900001C,19
2901900001D,19
2901900002G,19
2901900001I,19
2901900001F,19
2901900001G,19
2901900002J,19
2901900003D,19
2901900001E,19
29019000021,19
2901900004B,19
2901900002K,19
29019000022,19
2901900002I,19
29019000023,19
2901900003F,19
29019000033,19
29019000024,19
29019000025,19
2901900006D,19
29019000026,19
29019000029,19
2901900005D,19
2901900005J,19
29019000027,19
2901900005K,19
29019000028,19
2901916-06M,19
2901916-043,19
29019000030,19
2901900002A,19
2901900002B,19
2901900002C,19
2901900002D,19
2901916-02L,19
2901916-01J,19
2901900002F,19
2901900002H,19
29019000040,19
2901916-045,19
2901916-01L,19
2901916-01K,19
29019000031,19
29019000042,19
29019000035,19
29019000032,19
2901900003E,19
29019000034,19
2901916-03M,19
2901916-06J,19
29019000036,19
2901916-044,19
2901916-05N,19
2901916-05P,19
2901900005E,19
2901916-04M,19
29019000037,19
29019000038,19
2901900003A,19
2901916-03L,19
2901916-03G,19
2901900003C,19
2901916-03I,19
29019000041,19
2901916-03H,19
2901916-03J,19
2901916-03N,19
2901900004A,19
2901900004G,19
2901900004C,19
2901900004D,19
2901900004E,19
2901900004F,19
2901900004H,19
2901900004I,19
2901900004J,19
2901900004K,19
2901900004L,19
2901900005A,19
2901900005C,19
2901900005F,19
2901900005G,19
2901900005H,19
2901900005I,19
2901900005B,19
2901900005L,19
2901900005M,19
2901900006A,19
2901900006B,19
2901916-06L,19
2901900006C,19
2901916-06K,19
2901900006E,19
2901900006F,19
2901900006G,19
2901900006H,19
2901900006I,19
29021000001,34
29021000020,34
29021000010,34
29021000011,34
29021000012,34
29021000014,34
29021000008,34
29021000023,34
29021000016,34
29021000018,34
29021000033,34
29021000028,34
29021000002,34
29021000004,34
29021000021,34
29021000022,34
29021000024,34
29021000027,12
29021000032,12
29021000031,12
29021000006,34
29023000010,25
29023000018,25
29023000011,25
29023000012,25
29023000004,25
29023000013,25
29023000014,25
29023000015,25
29023000016,25
29023000017,25
29023000019,25
29023000002,25
29023000020,25
29023000021,25
29023000022,25
29023000023,25
29023000024,25
29023000025,25
29023000026,25
29023000003,25
29023000005,25
29023000006,25
29023000007,25
29023000008,25
29023000009,25
29025000277,12
29025000280,12
29025000281,12
29025000284,12
29025000353,12
29025000356,12
29025000357,12
29025000358,12
29025000389,12
29025000390,12
29027001069,10
29027001081,10
29027001083,10
29027001189,10
29027001190,10
29027001271,10
29027001272,10
29027001292,10
29027001297,10
29027001306,10
29027001350,10
29027001351,10
29027001438,10
29027001543,10
29027001584,10
29027001595,10
29027001763,10
29027001843,10
29027001989,10
29027001991,10
29027000826,10
29027000828,10
29027000839,10
29027000842,10
29027000998,10
29029000010,6
29029000011,6
29029000012,6
29029000013,6
29029000003,6
29029000014,6
29029000015,6
29029000016,6
29029000017,6
29029000018,6
29029000019,6
29029000002,6
29029000020,6
29029000021,6
29029000022,6
29029000023,6
29029000024,6
29029000025,6
29029000004,6
29029000005,6
29029000006,6
29029000007,6
29029000008,6
29029000009,6
29031000010,27
29031000011,27
29031000012,27
29031000013,27
29031000014,27
29031000015,27
29031000016,27
29031000017,27
29031000018,27
29031000019,27
29031000002,27
29031000020,27
29031000021,27
29031000022,27
29031000023,27
29031000024,27
29031000025,27
29031000026,27
29031000027,27
29031000028,27
29031000029,27
29031000003,27
29031000030,27
29031000031,27
29031000032,27
29031000033,27
29031000034,27
29031000035,27
29031000036,27
29031000037,27
29031000039,27
29031000004,27
29031000005,27
29031000006,27
29031000007,27
29031000008,27
29031000009,27
29033000010,12
2903316-017,12
2903316-016,12
29033000012,12
29033000013,12
29033000014,12
2903316-019,12
2903316-001,12
2903316-004,12
2903316-003,12
29033000006,12
29033000007,12
29033000009,12
29035003611,25
29035003628,25
29035003668,25
29035003694,25
29035003731,25
29035003756,25
29035003789,25
29037000017,31
29037000003,31
29037000018,31
29037000019,31
29037000002,31
29037000022,31
29037000020,31
29037000021,31
29037000023,31
29045000005,18
29037000024,31
29037000012,31
29037000025,31
29037000026,31
29037000001,31
29037000027,31
29037000028,31
29037000029,31
29037000030,31
29037000034,31
29037000047,31
29037000031,31
29037000032,31
29037000033,31
29037000010,31
29037000013,31
29037000014,31
29037000035,31
29037000036,31
29037000043,31
29037000037,31
29037000046,31
29037000038,31
29037000045,31
29037000039,31
29037000004,31
29037000040,31
29037000041,31
29037000042,31
29037000044,31
29037000011,31
29037000005,31
29037000006,31
29037000007,31
29037000008,31
29037000009,31
29037000015,31
29037000016,31
29039003052,28
29039003054,28
29039003057,28
29039003092,28
29039003129,28
29039003139,28
29039003178,28
29039003191,28
29039003192,28
29041000344,12
29041000346,12
29041000352,12
29041000354,12
29041000381,12
29041000386,12
29041000392,12
29041000418,12
29041000424,12
29041000431,12
29041000465,12
29041000503,12
29043000010,29
29043000027,29
29043000011,29
29043000012,29
29043000025,29
29043000020,29
29043000013,29
29043000014,29
29043000015,29
29043000016,29
29043000029,29
29043000017,29
29043000018,29
29043000032,29
29043000019,29
29043000002,29
29043000033,29
29043000021,29
29043000022,29
29043000023,29
29043000024,29
29043000026,29
29043000028,29
29043000009,29
29043000003,29
29043000030,29
29043000031,29
29043000034,29
29043000008,29
29043000004,29
29043000005,29
29043000006,29
29043000007,29
29045000010,18
29045000002,18
29045000003,18
29045000004,18
29045000006,18
29045000007,18
29045000008,18
29045000009,18
29047000010,17
29047000011,17
29047000012,17
29047000013,17
29047000014,17
29047000030,17
29047000015,17
29047000022,17
29047000016,17
29047000017,17
29047000020,17
29047000040,17
29047000002,17
29047000021,17
29047000023,17
29047000024,17
2904716-215,17
29047000025,17
2904716-214,17
29047000027,17
29047000026,17
29047000037,17
29047000029,17
29047000003,21
29047000031,17
29047162127,17
29047000032,17
29047000033,17
29047000034,17
29047000035,17
29047000036,17
29047000038,17
29047000039,17
29047000004,21
29047000041,17
29047000042,17
29047000043,17
29047000044,17
29047000045,17
29047000046,17
29047000047,17
29047000048,17
29047000049,17
29047000005,21
29047000050,17
29047000051,17
29047000052,17
29047000053,17
29047000054,17
29047000055,21
29047000056,21
29047000057,21
29047000058,21
29047000078,21
29047000007,21
29047000006,21
29047000071,21
29047000070,21
29047000062,21
29047000063,21
29047000065,21
29047000067,21
29047000076,21
29047000073,21
29047000075,21
29047000077,21
29047000009,17
29049000002,12
29049000003,12
29049000005,12
29049000006,12
29049000007,12
29049000008,12
29051000009,6
29051000010,6
29051000011,6
29051000016,6
2905116-2-5,6
2905116-2-6,6
2905116-3-7,6
2905116-3-8,6
29051000040,6
2905116-3-9,6
29051000002,6
2905116-411,6
29051000052,6
2905116-410,6
2905116-514,6
2905116-512,6
29051000032,6
2905116-513,6
29051000004,6
29051000003,6
29051000046,6
2905116-002,6
29151000004,26
2905116-001,6
29051000034,6
29051000035,6
29051000036,6
29051000037,6
29051000038,6
29051000039,6
29051000041,6
29051000051,6
29051000042,6
29051000043,6
29051000044,6
29051000045,6
29051000049,6
29051000005,6
29051000050,6
29051000006,6
29051000007,6
29051000008,6
29053000010,21
29053000011,21
29053000006,21
29053000012,21
29053000013,21
29053000002,21
29053000004,21
29053000005,21
29053000007,21
29053000008,21
29053000009,21
29055000010,3
29055000016,3
29055000011,3
29055000015,3
29055000012,3
29055000013,3
29055000014,3
29055000017,3
29055000018,3
29055000019,3
29055000002,3
29055000003,3
29055000004,3
29055000005,3
29055000006,3
29055000007,3
29055000008,3
29055000009,3
29057003243,20
29057003244,20
29057003246,20
29057003263,20
29057003289,20
29057003294,20
29057003300,20
29057003330,20
29059000010,28
29059000011,28
29059000012,28
29059000002,28
29059000003,28
29059000004,28
29059000005,28
29059000006,28
29059000007,28
29059000008,28
29059000009,28
29061000009,12
29061000008,12
29061000012,12
2906116-017,12
29061000002,12
29061000016,12
29063000010,12
29063000011,12
29063000012,12
29063000002,12
29071000026,26
29071000025,26
29071000002,26
29063000003,12
29063000004,12
29063000005,12
29063000006,12
29063000007,12
29063000008,12
29063000009,12
29065000002,16
29065000003,16
29065000004,16
29065000005,16
29065000006,16
29065000007,16
29065000008,16
29067000010,33
29067000011,33
29067000012,33
29067000013,33
29067000014,33
29067000015,33
29067000016,33
29067000017,33
29067000018,33
29067000019,33
29067000002,33
29067000003,33
29067000020,33
29067000021,33
29067000022,33
29067000023,33
29067000024,33
29067000025,33
29067000004,33
29067000005,33
29067000006,33
29067000007,33
29067000008,33
29067000009,33
29069000010,25
29069000011,25
29069000016,25
29069000012,25
29069000013,25
29069000014,25
29069000015,25
29069000017,25
29069000018,25
29069000022,25
29069000019,25
29069000002,25
29069000020,25
29069000021,25
29069000003,25
29069000004,25
29069000005,25
29069000006,25
29069000007,25
29069000008,25
29069000009,25
29071000010,26
29071000014,26
29071000011,26
29071000046,26
29071000047,26
29071000012,26
29071000013,26
29071000062,26
29071000031,26
29071000015,26
29071000017,26
29071000016,26
29071000057,26
29071000018,26
29071000019,26
29071000033,26
29071000003,26
29071000009,26
29071000022,26
29071000020,26
29071000021,26
29071000023,26
29071000052,26
29071000024,26
29071000041,26
29071000027,26
29071000028,26
29071000029,26
29071000004,26
29071000030,26
29071000049,26
29071000032,26
29071000034,26
29071000036,26
29071000007,26
29071000035,26
29071000037,26
29071000038,26
29071000039,26
29071000056,26
29071000044,26
29071000005,26
29071000040,26
29071000059,26
29071000042,26
29071000043,26
29071000045,26
2907116-064,26
29071000048,26
29071000050,26
29071000051,26
29071000055,26
29071000053,26
29071000054,26
29071000058,26
29071000006,26
29071000060,26
29071000061,26
29071000063,26
29071000008,26
29073000010,26
29073000011,26
29073000012,26
29073000013,26
29073000014,26
29073000016,26
29073000015,26
29073000017,26
29073000002,26
29073000003,26
29073000004,26
29073000005,26
29073000006,26
29073000007,26
29073000008,26
29073000009,26
29075000010,12
29075000011,12
29075000012,12
29075000013,12
29075000014,12
29075000002,12
29075000003,12
29075000004,12
29075000005,12
29075000006,12
29075000007,12
29075000008,12
29075000009,12
29077000010,30
29077000065,30
29077000066,30
29077000104,20
29077000105,20
29077000106,20
29077000107,20
29077000108,20
29077000109,20
29077000011,20
29077000035,20
29077000110,20
29077000111,20
29077000002,30
29077000059,30
29077000014,20
29077000015,20
29077000044,30
29077000017,20
29077000018,20
29077000019,30
29077000020,30
29077000021,30
29077000022,30
29077000023,30
29077000024,30
29077000025,30
29077000026,30
29077000027,30
29077000028,30
29077000003,30
29077000031,30
29077000032,30
29077000033,30
29077000034,30
29077000058,30
29077000004,30
29077000040,20
29077000041,20
29077000043,20
29077000045,30
29077000046,30
29077000047,30
29077000048,30
29077000049,30
29077000005,30
29077000050,30
29077000051,30
29077000052,30
29077000053,30
29077000054,30
29077000055,30
29077000056,30
29077000057,30
29077000093,30
29077000006,30
29077000060,30
29077000061,30
29077000062,30
29077000063,30
29077000064,30
29077000067,30
29077000068,30
29077000069,30
29077000007,30
29077000070,20
29077000073,30
29077000074,30
29077000075,30
29077000076,30
29077000079,30
29077000008,30
29077000080,30
29077000081,30
29077000082,30
29077000083,30
29077000084,30
29077000085,30
29077000086,30
29077000087,30
29077000088,30
29077000089,30
29077000009,30
29077000090,30
29077000091,30
29077000092,30
29077000094,30
29077000095,30
29077000096,20
29077000099,20
29079000010,12
29079000011,12
29079000012,12
29079000013,12
29079000014,12
29079000015,12
29079000016,12
29079000017,12
29079000002,12
29079000003,12
29079000004,12
29079000005,12
29079000006,12
29079000007,12
29079000008,12
29079000009,12
29081000010,12
29081000009,12
29081000003,12
29081000008,12
29081000004,12
2908116-012,12
29083000010,28
29083000011,28
29083000003,28
29083000013,28
29083000004,28
29083000015,28
29083000002,28
2908316-020,28
29083000009,28
29185000015,28
29085000010,28
29085000011,28
29085000002,28
29085000003,28
29085000004,28
29085000005,28
29085000006,28
29085000007,28
29085000008,28
29087000002,12
29087000003,12
29087000004,12
29087000005,12
29087000006,12
29087000007,12
29089000002,21
29089000003,21
29089000004,21
29089000005,21
29089000006,21
29089000007,21
29089000008,21
29089000009,21
29091000010,33
29091000003,33
29091000011,33
29091000012,33
29091000013,33
29091000008,33
29091000014,33
29091000015,33
29091000016,33
29091000017,33
29091000019,33
29091000018,33
29091000020,33
29091000002,33
29091000004,33
29091000021,33
29091000005,33
29091000006,33
29091000007,33
29091012-22,33
29091000009,33
29093000010,27
29093000002,27
29093000003,27
29093000004,27
29093000005,27
29093000006,27
29093000007,27
29093000008,27
29093000009,27
29095000010,11
29095000003,11
29095000100,11
29095000582,11
29095000067,11
29095000097,11
29095000096,11
29095000103,11
29095000134,9
29095000132,9
29095000104,11
29095000569,11
29095000107,11
29095000130,9
29095000109,9
29095000120,9
29095160102,11
29095160103,11
29095BR1608,9
29095000131,9
29095000136,9
29095BR1610,9
29095BR1620,9
29095BRNO06,9
29095BR1612,9
29095BR1611,9
29095BR1613,9
29095000123,9
29095000128,9
29095000125,9
29095000116,9
29095000129,9
29095BR1619,9
29095160104,11
29095000138,11
29095000029,11
29095FO1601,11
29095000606,11
29095000142,11
29095000147,11
29095000044,11
29095000140,11
29095000143,11
29095FO1609,11
29095000144,11
29095000145,11
29095000146,11
29095000148,7
29095000149,7
29095000015,11
29095000007,11
29095000150,7
29095000175,7
29095000151,7
29095000152,7
29095000153,7
29095000154,7
29095K16419,7
29095000155,7
29095000156,7
29095000159,7
29095000016,11
29095000160,7
29095000161,7
29095000162,7
29095000163,7
29095000164,7
29095000165,7
29095000324,7
29095KC1904,9
29095000168,9
29095000169,9
29095000017,11
29095000174,7
29095KC1010,7
29095000177,7
29095KC1113,7
29095000176,7
29095000178,7
29095000179,7
29095000024,11
29095000180,7
29095KC1111,7
29095000181,7
29095KC1107,7
29095000182,7
29095000183,7
29095000184,7
29095KC1110,7
29095000185,7
29095KC1209,7
29095000187,7
29095000188,7
29095000189,7
29095000019,11
29095000190,11
29095000191,11
29095000192,11
29095000193,7
29095KC1212,11
29095000194,7
29095000195,11
29095000196,11
29095000197,11
29095000198,11
29095000200,11
29095000002,11
29095000020,11
29095KC1311,11
29095KC1310,7
29095000201,7
29095KC1313,11
29095000202,11
29095KC1314,11
29095000203,11
29095000204,7
29095KC1504,11
29095000241,9
29095KC1523,11
29095000207,9
29095000208,9
29095000209,9
29095000210,9
29095000211,9
29095000212,9
29095000213,9
29095000214,9
29095000215,9
29095000216,9
29095000217,9
29095000218,9
29095000219,9
29095000022,11
29095000036,11
29095000220,9
29095000221,9
29095000222,9
29095000223,9
29095000224,9
29095KC1507,9
29095000225,9
29095000339,9
29095000227,9
29095000226,9
29095KC1516,9
29095000229,9
29095000337,9
29095000233,9
29095000228,9
29095000023,11
29095000230,9
29095000231,9
29095000232,9
29095K16718,9
29095000234,9
29095KC1515,9
29095000235,9
29095000236,9
29095000238,9
29095000239,9
29095000242,9
29095000243,9
29095000247,9
29095000244,9
29095000245,9
29095000246,9
29095000248,9
29095000249,9
29095000250,9
29095000251,9
29095000253,9
29095000254,9
29095000255,9
29095000256,9
29095000258,9
29095000257,9
29095KC1607,9
29095000259,9
29095000026,11
29095000045,11
29095000260,9
29095000261,9
29095000350,9
29095000263,9
29095000265,9
29095000266,9
29095000267,9
29095000268,9
29095000269,9
29095000025,11
29095000043,11
29095000270,9
29095000271,9
29095000272,9
29095000273,9
29095000275,9
29095000276,9
29095000277,9
29095000278,9
29095000279,9
29095000281,9
29095000282,9
29095000283,9
29095000284,9
29095000285,9
29095000286,9
29095000287,9
29095KC1907,9
29095000293,9
29095KC1905,9
29095000288,9
29095000289,9
29095000290,9
29095000291,9
