GEOID20,District
37113000003,120
3703900MARB,120
3703900ANSW,120
3703900ANNW,120
3707500WEST,120
3707500TAPO,120
3704300BRAS,120
3704300WARN,120
3704300SWEE,120
3703900PCHT,120
3707500STEC,120
37173ALMOND,119
37113000012,120
3704300HAYC,120
3704300HAY1,120
3704300HAY2,120
3704300HIAW,120
3703900BRAS,120
3703900MURS,120
3703900HIWA,120
3703900UNKA,120
3703900MURN,120
3703900RGER,120
3703900GCRK,120
3703900BELL,120
3703900CSON,120
3703900HANG,120
3703900HOTH,120
3705500AVON,79
3705500CHCA,79
37147000901,8
37147000701,8
37065000901,23
37065000801,23
3705500MATO,79
37055000WAN,79
3705500NGHD,79
3705500FRCO,79
37055000BUX,79
370530000CB,1
3705500DUCK,1
370550000MH,79
37123000CAN,67
37125000BEN,78
37123000BIS,67
37123000STA,67
371510000SO,78
37125000WEM,78
371510000UG,78
371510000GR,78
37023000053,86
37123000ROC,67
37123000CHE,67
37153000013,52
37153000012,52
3700700BURN,55
37167000026,67
37007000ANS,55
37167000028,67
37153000011,52
37153000010,52
37153000003,52
37153000001,52
37153000002,52
37153000008,52
37153000016,52
37153000009,52
370070000MM,55
3700700LILE,55
371570000DR,65
371570000LI,65
371570000RC,65
3703300STON,50
3703300LOCU,50
3703300PELH,50
371570000SE,65
371570000MS,65
371570000MC,65
371510000DR,78
371570000IR,65
3708100NMAD,59
371510000RN,70
371510000AN,70
371510000PR,78
37081000PG2,59
370810SCLAY,59
371510000AR,70
3708100JAM5,60
37081000PG1,59
3708100FEN2,59
37081NCLAY1,59
37081NCLAY2,59
3708100FEN1,58
3708100JEF3,59
3708100JEF4,59
37081000G51,61
37081000G47,58
371230000T1,67
371230000T2,67
37123000OPH,67
37123000LIT,67
371510000SW,78
371350000EF,50
371350000CG,50
3708100SMAD,59
3708100JEF2,59
37081000G06,59
3708100JEF1,59
37081000G07,57
37081000G08,57
37081000G10,57
3708100MON1,59
370810MON2B,59
370810MON2A,59
37067000081,91
3708100MON3,59
371570000NB,65
37001000001,64
3700100008S,64
3700100008N,64
371510000RM,78
371510000ST,54
