GEOID20,District
37113000003,11
3703900MARB,11
3703900ANSW,11
3703900ANNW,11
3707500WEST,11
3707500TAPO,11
3704300BRAS,11
3704300WARN,11
3704300SWEE,11
3703900PCHT,11
3707500STEC,11
37173ALMOND,11
37113000012,11
3704300HAYC,11
3704300HAY1,11
3704300HAY2,11
3704300HIAW,11
3703900BRAS,11
3703900MURS,11
3703900HIWA,11
3703900UNKA,11
3703900MURN,11
3703900RGER,11
3703900GCRK,11
3703900BELL,11
3703900CSON,11
3703900HANG,11
3703900HOTH,11
3705500AVON,3
3705500CHCA,3
37147000901,3
37147000701,3
37065000901,1
37065000801,1
3705500MATO,3
37055000WAN,3
3705500NGHD,3
3705500FRCO,3
37055000BUX,3
370530000CB,1
3705500DUCK,3
370550000MH,3
37123000CAN,8
37125000BEN,9
37123000BIS,8
37123000STA,8
371510000SO,9
37125000WEM,9
371510000UG,9
371510000GR,9
37023000053,14
37123000ROC,8
37123000CHE,8
37153000013,8
37153000012,8
3700700BURN,8
37167000026,8
37007000ANS,8
37167000028,8
37153000011,8
37153000010,8
37153000003,8
37153000001,8
37153000002,8
37153000008,8
37153000016,8
37153000009,8
370070000MM,8
3700700LILE,8
371570000DR,5
371570000LI,5
371570000RC,5
3703300STON,13
3703300LOCU,13
3703300PELH,13
371570000SE,5
371570000MS,5
371570000MC,5
371510000DR,9
371570000IR,5
3708100NMAD,9
371510000RN,9
371510000AN,9
371510000PR,9
37081000PG2,9
370810SCLAY,9
371510000AR,9
3708100JAM5,9
37081000PG1,9
3708100FEN2,9
37081NCLAY1,9
37081NCLAY2,9
3708100FEN1,5
3708100JEF3,5
3708100JEF4,9
37081000G51,5
37081000G47,5
371230000T1,8
371230000T2,8
37123000OPH,8
37123000LIT,8
371510000SW,9
371350000EF,4
371350000CG,4
3708100SMAD,9
37081000G06,5
3708100JEF1,9
37081000G07,5
37081000G08,5
37081000G10,5
3708100MON1,5
370810MON2B,5
370810MON2A,5
37067000081,10
3708100MON3,9
371570000NB,5
37001000001,9
3700100008S,9
3700100008N,9
371510000RM,9
371510000ST,9
371570000WS,5
371570000MA,5
371510000SE,9
3714700800A,3
37125000RBN,9
37125000DHR,9
37125000CAR,9
37125000WND,9
37093000014,9
37093000005,9
37125000PBF,9
37165006-89,8
371570000EC,5
37165001-16,8
37165000007,8
37165005-10,8
37155000001,8
37155000029,8
37059000006,6
37057000050,6
37059000010,6
37159000031,6
37057000010,6
37159000015,6
37057000058,6
3716100003A,14
37161000011,14
3716100010A,14
3716100004A,14
37111GLENWD,11
37111DYSART,11
37111HIGGIN,11
37023000052,14
37035000003,10
37035000002,10
37035000024,10
370870000BC,11
370870000WO,11
3708700FC-1,11
3708700FC-2,11
37035000023,10
37057000006,6
37035000034,10
37115SPRING,11
37071000036,14
370210063.1,11
371150SANDY,11
37115WALNUT,11
37161000028,14
37023000012,14
3710900NB35,10
3710900DV08,10
371150SOUTH,11
370210053.1,11
370210052.1,11
370230029-B,14
370230029-A,14
37159000024,6
37179000022,8
37179000021,8
370970000BA,10
37097000CC3,10
37097000CC4,10
37097000CC1,10
370210041.1,11
370210069.1,11
37097000CC2,10
371150NORTH,11
370210071.1,11
37159000018,6
37159000028,6
370210070.1,11
37159000045,6
371110MAR-4,11
370970DV1-A,10
37159000004,6
37159000044,6
37159000009,6
3715900005A,6
37159000008,6
37159000030,6
37159000033,6
37159000034,6
37159000003,6
37111WEST-M,11
37119000229,14
37057000028,6
37057000030,6
37159000038,6
37057000018,6
37057000052,6
37159000040,6
37159000036,6
37159000010,6
37115EBBS-C,11
37115LAUREL,11
37159000035,6
370210059.1,11
3719700FBSH,10
37067000075,10
370210067.1,11
370210058.1,11
370210027.2,11
370970000FT,10
37119000134,14
37111M.COVE,11
37161000018,14
3716100016A,14
3716100005A,14
37161000029,14
37161000014,14
37035000020,10
37035000032,10
37161000019,14
3716100009A,14
3710900BS26,10
3714900GC09,14
37111CCREEK,11
37111FORT-2,11
37111FORT-1,11
37035000022,10
37035000001,10
370210051.2,11
370210061.1,11
37179000012,8
37035000009,10
37071000039,14
3715900014A,6
370210036.1,11
370210037.1,11
37035000031,10
37035000005,10
3710900DW28,10
37035000041,10
370210033.2,11
370210033.3,11
3717300WHCH,11
37099000SDC,11
370210034.1,11
370210035.1,11
370210032.1,11
37035000021,10
37119000243,14
370210065.1,11
370210039.2,11
370210039.3,11
370210064.1,11
370210066.1,11
370450RIPPY,14
37045GROVER,14
37023000064,14
370450MULLS,14
370450CASAR,14
371510000AE,9
371510000AS,9
37159000001,6
37159000025,6
37159000026,6
37159000023,6
37167000019,8
371510000LC,9
371510000BC,9
371510000AW,9
370970DV1-B,10
371150BEECH,11
3719902-CAN,11
370210050.1,11
3719910-PEN,11
3719909-SOU,11
37111PLEASA,11
37023000065,14
37045POLKVL,14
37045LAWNDL,14
3704500S-4A,14
37159000022,6
37159000021,6
37159000042,6
37159000041,6
37159000012,6
37159000032,6
37159000011,6
3719908-CRA,11
37159000029,6
37059000002,6
37059000001,6
37111T.COVE,11
37159000007,6
371510000TT,9
371510000TB,9
3709700CH-A,10
37159000027,6
37171000026,5
3709700CH-B,10
37097000ST1,10
370970000BE,10
370970000OL,10
370450000BR,14
3709700SH-A,10
3709700SH-B,10
37097000ST3,10
37097000ST5,10
37045MRB-YO,14
37189000002,5
37189000008,5
370870000ID,11
370870000CR,11
370870000CE,11
3708700WS-2,11
37189000010,5
37189000017,5
37189000019,5
370890000PR,11
370890000CC,11
370890000HC,11
370210062.1,11
37035000027,10
37011000002,11
37035000006,10
37011000004,11
3702700PR07,5
37011000011,11
3708700CL-S,11
3708700CL-N,11
