GEOID20,District
39001001ABG,2
39071036AAT,2
39015008AAH,2
39015008AAG,2
39071036AAS,2
39015008ABI,2
39015008ACQ,2
39015008ACO,2
39015008ACJ,2
39015008ACD,2
39015008ACK,2
39015008ACV,2
39061031BKI,8
39061031BOH,8
39015008ACW,2
39015008AAF,2
39015008ACM,2
39015008AAJ,2
39015008ACH,2
39015008ACR,2
39071036ABP,2
39015008AAW,2
39071036AAU,2
39071036ABB,2
39015008ACL,2
39027014ABA,2
39145073ADF,2
39145073ACK,2
39145073ACH,2
39015008ACI,2
39015008ACP,2
39027014AAU,2
39027014ACC,2
39071036ABL,2
39071036ABM,2
39071036ABG,2
39141071ACD,2
39027014ABU,2
39027014ABT,2
39027014ACF,2
39027014ACD,2
39027014ABR,2
39027014AAE,2
39027014ABY,2
39027014ACE,2
39027014AAN,2
39027014ABQ,2
39027014ABC,2
39027014AAA,2
39027014AAB,2
39027014AAS,2
39057029AGX,10
39047024AAU,15
39057029AGW,10
39057029AIP,10
39057029AHR,10
39057029AIO,10
39057029AIM,10
39057029AIN,10
39057029AHW,10
39057029AHX,10
39057029AHU,10
39057029AGY,10
39057029AHQ,10
39057029AHG,10
39057029AHF,10
39057029AHK,10
39057029AHJ,10
39057029AHH,10
39023012AEQ,10
39023012ADV,10
39119060ACA,12
39023012AER,10
39023012AFX,10
39023012ACV,10
39023012ACT,10
39023012ACU,10
39023012AFO,10
39023012AFW,10
39023012ACR,10
39023012AGD,10
39023012ACO,10
39023012ADM,15
39023012ADP,15
39023012AFB,15
39023012AGE,10
39023012ADQ,15
39023012ADS,15
39021011ACA,4
39023012ABK,10
39021011ABK,4
39021011ABT,4
39021011ABS,4
39021011ABY,4
39021011ABA,4
39021011ABQ,4
39091046ABE,4
39091046ABU,4
39091046ABJ,4
39091046ABW,4
39091046AAT,4
39159080ABP,4
39091046ABD,4
39091046AAL,4
39091046ABV,4
39091046ABL,4
39091046ABT,4
39091046ABS,4
39091046ABR,4
39065033AAN,4
39065033AAJ,4
39011006ABP,4
39003002ADT,4
39065033ABE,4
39065033ABK,4
39065033AAX,4
39065033ABM,4
39003002AEQ,4
39003002AEN,4
39063032ACI,5
39065033ABB,4
39065033AAZ,4
39003002AFF,4
39003002AFK,4
39033017ACD,5
39033017ACK,5
39003002AFG,4
39003002AFI,4
39063032ACN,5
39137069ABK,5
39137069AAB,5
39063032ABT,5
39063032ACC,5
39137069ABT,5
39063032ACJ,5
39063032ABQ,5
39063032ABP,5
39173087ABZ,5
39069035AAJ,5
39173087ACR,5
39069035ABD,5
39173087ABW,5
39173087ACL,5
39069035AAK,5
39173087ADV,5
39173087ABV,5
39173087ABU,5
39095048ASI,9
39095048ASJ,9
39095048ASH,9
39051026ABK,9
39095048ATK,9
39095048ATL,9
39095048ARX,9
39051026AAX,9
39051026ABD,9
39051026ABC,9
39095048ATJ,9
39095048ARQ,9
39015008AAK,2
39015008AAM,2
39015008ACU,2
39051026AAA,9
39051026AAM,9
39051026AAC,9
39051026AAW,9
39051026AAY,9
39051026ABF,9
39051026ABJ,9
39051026ABI,9
39051026AAZ,9
39069035ABF,5
39039020ABR,9
39171086ABI,9
39069035AAY,5
39069035AAQ,5
39069035AAL,5
39137069ABA,5
39069035ABC,5
39137069AAK,5
39069035AAW,5
39137069ABW,5
39003002AFJ,4
39161081AAU,5
39161081ABF,5
39003002AEA,4
39003002ADZ,4
39003002AEX,4
39003002AEO,4
39003002ADU,4
39003002ADW,4
39011006AAX,4
39011006AAP,4
39011006AAO,4
39011006ABL,4
39091046ABX,4
39091046AAQ,4
39091046ABP,4
39091046ABG,4
39011006AAY,4
39021011AAT,4
39021011ABF,4
39021011ABD,4
39109055ACB,15
39109055ABV,15
39109055ACP,15
39023012UAF,15
39023012ADJ,15
39023012ADK,15
39023012AFH,15
39023012AEP,10
39023012ADI,15
39015008ACE,2
39015008ACN,2
39015008ACG,2
39025013AAL,2
39025013AHR,2
39025013AAP,2
39015008ACS,2
39025013AGU,2
39025013AGV,2
39015008AAY,2
39165083ADN,1
39027014ABE,2
39017009AJR,8
39017009AJM,8
39017009AJN,8
39027014ABZ,2
39027014AAQ,2
39027014ACB,2
39057029AIA,10
39113057AYI,10
39113057AYN,10
39113057AXW,10
39113057AYO,10
39113057AXK,10
39057029AIK,10
39057029AFD,10
39057029AIQ,10
39057029AFG,10
39057029AFF,10
39057029AFL,10
39057029AFA,10
39057029AFM,10
39057029AFN,10
39057029AFQ,10
39057029AFO,10
39057029AFP,10
39057029AFS,10
39057029AIL,10
39057029AIR,10
39057029AIZ,10
39057029AJC,10
39057029AGR,10
39057029AGS,10
39057029AGL,10
39057029AHI,10
39135068AAZ,8
39135068AAY,8
39037019AAS,8
39135068ABG,8
39135068AAS,8
39037019AAO,8
39107054AAY,5
39107054ABU,5
39135068ABH,8
39037019ABA,8
39037019AAZ,8
39135068ABA,8
39037019ABF,8
39037019ABU,8
39135068ABB,8
39135068AAT,8
39135068AAU,8
39037019ABS,8
39037019AAV,8
39037019AAN,8
39135068AAQ,8
39057029AGK,10
39023012AEG,10
39135068AAR,8
39113057ATH,10
39057029ADK,10
39057029AIX,10
39057029ADH,10
39057029ADI,10
39057029ADJ,10
39057029AED,10
39057029ADG,10
39037019ABH,8
39113057ATJ,10
39113057ATF,10
39113057ARI,10
39113057AWT,10
39113057AWU,10
39113057AWW,10
39113057AIQ,10
39113057AIS,10
39113057AWY,10
39113057AIO,10
39113057AIV,10
39113057AIP,10
39113057AIN,10
39113057AIR,10
39057029AGJ,10
39057029ADF,10
39057029AIC,10
39057029ADM,10
39057029ADL,10
39135068AAG,8
39135068AAD,8
39135068ABS,8
39135068ABT,8
39113057AKK,10
39057029AEC,10
39057029AGM,10
39113057ACC,10
39113057AKF,10
39113057AKM,10
39113057ACF,10
39057029AAE,10
39057029AAF,10
39113057AJU,10
39113057AKB,10
39113057AJW,10
39113057APL,10
39113057ACD,10
39113057APZ,10
39113057ACE,10
39113057APK,10
39113057AKD,10
39113057AJC,10
39109055ADA,15
39113057AXD,10
39113057AXA,10
39113057AXE,10
39113057AXF,10
39113057ASU,10
39113057ASX,10
39113057ARK,10
39109055ACD,15
39109055ACG,15
39109055ACC,15
39109055ACE,15
39113057ATB,10
39113057ASZ,10
39113057ATA,10
39113057ARR,10
39113057ARV,10
39113057ASA,10
39113057ASV,10
39113057ARX,10
39113057ARO,10
39113057ARQ,10
39113057AJD,10
39113057ACA,10
39113057AJA,10
39113057ART,10
39113057AJB,10
39113057AUB,10
39165083ADS,1
39165083ADU,1
39113057APN,10
39113057AUE,10
39113057ABU,10
39113057ASW,10
39113057ABV,10
39113057AUM,10
39113057AOP,10
39113057AFH,10
39113057AMY,10
39113057AMX,10
39113057ABC,10
39113057AUK,10
39113057AUD,10
39113057ABX,10
39113057AUJ,10
39113057AHX,10
39113057AGG,10
39113057AGI,10
39113057AUG,10
39113057AGH,10
39113057AHY,10
39113057AQS,10
39113057AQT,10
39113057AUF,10
39113057ARD,10
39113057AQU,10
39113057AQR,10
39113057AWZ,10
39113057AWH,10
39165083ACM,1
39165083ABQ,1
39113057AWI,10
39113057AQJ,10
39113057AQL,10
39113057AQK,10
39113057AQY,10
39113057AQX,10
39113057AGA,10
39113057AQI,10
39113057AWR,10
39113057ATG,10
39113057AVG,10
39113057ATK,10
39113057ATM,10
39113057AWQ,10
39149075ABK,4
39113057AJY,10
39113057AJN,10
39113057AJO,10
39113057AJV,10
39113057AJP,10
39113057AJQ,10
39109055ABT,15
39109055ACA,15
39113057AKJ,10
39023012ADF,15
39109055ABR,15
39023012AEK,15
39023012ADG,15
39023012ADB,15
39023012ADD,15
39021011ABB,4
39023012AEM,15
39023012AEI,10
39135068ABD,8
39135068ABQ,8
39135068AAP,8
39135068AAN,8
39135068AAM,8
39135068ABP,8
39113057ATL,10
39061031AZC,1
39061031AZI,1
39061031AZM,1
39061031AZA,1
39061031AZQ,1
39135068AAX,8
39135068AAI,8
39025013AGS,2
39025013AGR,2
39025013AAV,2
39025013AAT,2
39025013AAS,2
39025013AHO,2
39025013AEN,2
39025013AER,2
39025013AHA,2
39025013AGZ,2
39025013AHD,2
39165083ADO,1
39165083ADD,1
39165083ADG,1
39165083AGS,1
39165083ACF,1
39165083ACE,1
39061031BNU,1
39165083ACK,1
39165083ACG,1
39165083ACH,1
39165083AFT,1
39165083AGE,1
39165083AFH,1
39165083ACB,1
39061031BNP,1
39165083ABD,1
39061031ATS,1
39061031BNQ,1
39061031BNX,1
39061031BNT,1
39061031ASO,1
39165083ACD,1
39165083ACJ,1
39165083ACI,1
39061031BNV,1
39061031AWU,8
39017009AJX,8
39017009AJZ,8
39017009AJY,8
39017009AJS,8
39061031AAG,1
39061031AAF,1
39017009AJW,8
39061031AXE,1
39061031AXD,8
39061031ATQ,1
39061031BFO,1
39061031AXA,8
39165083AFJ,1
39165083ABX,1
39165083ABY,1
39165083ABU,1
39165083ABR,1
39165083ABT,1
39165083ABZ,1
39165083AGV,1
39165083AGH,1
39165083ADK,1
39165083ABS,1
39165083AHD,1
39025013AAA,2
39025013AAB,2
39025013ABU,2
39025013ABM,2
39165083ADI,1
39165083AFR,1
39165083ADE,1
39165083AGA,1
39165083AGX,1
39025013ABA,2
39165083ADF,1
39061031AVZ,1
39061031AVV,1
39061031AVW,1
39061031AYR,1
39061031AYQ,1
39061031AIV,1
39061031AYS,1
39061031AWH,1
39061031AWI,1
39061031BMZ,1
39061031AWA,1
39061031AWD,1
39061031AAM,1
39061031BFN,1
39061031BFP,1
39061031BOM,8
39061031BOL,8
39061031BFS,8
39061031BLY,8
39061031ARS,8
39061031ARK,8
39061031BKS,8
39061031BKN,8
39017009AAY,8
39017009AAU,8
39017009AAX,8
39017009AAW,8
39061031BFR,8
39061031AXT,8
39061031AXU,8
39017009AJK,8
39017009AJL,8
39017009AJV,8
39061031BBH,8
39017009ALF,8
39017009ABN,8
39017009ABD,8
39061031ARN,8
39017009AHM,8
39017009AHK,8
39061031BMS,1
39061031AAA,1
39061031AAN,1
39061031AAK,1
39061031AAH,1
39135068AAV,8
39017009AHJ,8
39017009AHL,8
39061031AQZ,1
39061031ARE,1
39061031ARG,1
39061031BMO,1
39061031BMX,1
39017009AHS,8
39017009AHT,8
39017009AHN,8
39017009AHX,8
39017009AHV,8
