GEOID20,District
39001001AAA,90
39001001AAB,90
39001001AAD,90
39001001AAE,90
39001001AAG,90
39001001AAI,90
39001001AAK,90
39001001AAW,90
39001001AAN,90
39001001AAP,90
39001001AAR,90
39001001AAS,90
39001001AAT,90
39001001AAU,90
39001001ABE,90
39001001ABA,90
39001001AAY,90
39001001AAZ,90
39001001ABC,90
39001001ABG,90
39001001ABH,90
39003002ADB,78
39003002ACD,78
39003002AAA,78
39003002AET,78
39003002AAC,78
39003002AAE,78
39003002AAG,78
39003002AAH,78
39003002ADY,78
39003002AAJ,78
39003002AAQ,78
39003002AAP,78
39003002AAK,78
39003002AAX,78
39003002AAO,78
39003002ACZ,78
39003002AAY,78
39003002AEC,78
39003002ABT,78
39003002AEG,78
39003002ABP,78
39003002ABX,78
39003002ABE,78
39003002ACG,78
39003002ABH,78
39003002ABI,78
39003002ABF,78
39003002ABR,78
39003002ABQ,78
39003002AFB,78
39003002AFC,78
39003002ABZ,78
39003002AFQ,78
39003002ABW,78
39003002AFP,78
39003002ADG,78
39003002ADC,78
39003002ACE,78
39003002AAW,78
39003002ACT,78
39003002ACU,78
39003002ADI,78
39003002ACW,78
39003002ADQ,78
39003002ACY,78
39003002ACX,78
39003002ADA,78
39003002ADE,78
39003002ADF,78
39003002ADD,78
39003002ADR,78
39003002ADT,78
39003002ADU,78
39003002ADW,78
39003002AED,78
39003002AEF,78
39003002AEE,78
39003002AEB,78
39003002AEA,78
39003002ADZ,78
39003002AEN,78
39003002AEO,78
39003002AEQ,78
39003002AES,78
39003002AEW,78
39003002AEX,78
39003002AEY,78
39003002AEZ,78
39003002AFE,78
39003002AFF,78
39003002AFJ,78
39003002AFG,78
39003002AFI,78
39003002AFK,78
39003002AFO,78
39003002AFR,78
39003002AFN,78
39003002AFT,78
39003002AFV,78
39003002AFU,78
39003002AFS,78
39003002AGB,78
39003002AGC,78
39003002AGD,78
39003002AGI,78
39003002AGK,78
39003002AGL,78
39003002AGN,78
39005003AAA,67
39005003AAB,67
39005003AAD,67
39005003AAJ,67
39005003AAF,67
39005003AAG,67
39005003AAH,67
39005003AAQ,67
39005003AAS,67
39005003AAU,67
39005003ACE,67
39005003AAV,67
39005003ACF,67
39005003AAZ,67
39005003ABC,67
39005003ABB,67
39005003ABG,67
39005003ABI,67
39005003ABJ,67
39005003ABN,67
39005003ABO,67
39005003ABS,67
39005003ABT,67
39005003ABV,67
39005003ABZ,67
39005003ACA,67
39005003ACB,67
39005003ACC,67
39005003ACH,67
39005003ACI,67
39005003ACJ,67
39005003ACM,67
39005003ACN,67
39005003ACO,67
39005003ACP,67
39005003ACQ,67
39005003ACS,67
39005003ACT,67
39005003ACV,67
39007004AAA,99
39007004AEM,99
39007004AAB,99
39007004AAC,99
39007004AAE,99
39007004AAH,99
39007004AAM,99
39007004AAI,99
39007004AAJ,99
39007004AAN,99
39007004AAR,99
39007004AAO,99
39007004AAP,99
39007004AAQ,99
39007004AAS,99
39007004AAT,99
39007004AAU,99
39007004AAW,99
39007004AAX,99
39007004AAY,99
39007004ABA,99
39007004ABB,99
39007004ABD,99
39007004ABC,99
39007004ABF,99
39007004ABG,99
39007004ABI,99
39007004ABJ,99
39007004ABK,99
39007004ABL,99
39007004ABM,99
39007004ABN,99
39007004ABQ,99
39007004ABO,99
39007004ABR,99
39007004ABS,99
39007004ABT,99
39007004ABV,99
39007004ABW,99
39007004ABX,99
39007004ABY,99
39007004ACX,99
39007004ADC,99
39007004ABZ,65
39007004ACB,65
39007004ACA,65
39007004ACD,99
39007004ACG,99
39007004ACH,99
39007004ACI,99
39007004ACJ,99
39007004AEC,99
39007004ACM,99
39007004ACO,65
39007004ACP,65
39007004ACQ,65
39007004ADU,65
39007004ACR,65
39007004ACS,65
