GEOID20,District
45047000020,3
45047000021,3
45047000024,3
45037000007,3
45037000012,3
45003000067,2
45003000068,2
45003000062,2
45003000029,2
45037000008,3
45003000073,2
45003000058,2
45003000045,2
45003000084,2
45037000001,3
45037000013,3
45037000006,3
45003000051,2
45003000050,2
45003000038,2
45003000016,2
45003000041,2
45051000139,7
45051000141,7
45043000120,7
45003000027,2
45003000026,2
45043000119,7
45073000026,3
45003000009,2
45003000025,2
45003000010,2
45043000118,7
45043000117,7
45051000192,7
45051000151,7
45043000122,7
45051000219,7
45043000124,7
45003000074,2
45003000044,2
45051000222,7
45003000081,2
45003000017,2
45003000008,2
45051000149,7
45051000188,7
45051000220,7
45003000005,2
45003000006,2
45003000052,2
45003000072,2
45003000013,2
45003000004,2
45003000057,2
45003000056,2
45003000022,2
45003000000,2
45011000016,2
45043000121,7
45043000106,7
45043000115,7
45051000185,7
45033000006,7
45033000011,7
45033000012,7
45043000110,7
45043000128,7
45089000035,6
45041000036,7
45067000001,7
45043000108,7
45043000129,7
45003000007,2
45003000071,2
45003000049,2
45003000063,2
45043000125,7
45089000012,6
45003000048,2
45003000078,2
45003000082,2
45043000104,7
45067000002,7
45067000003,7
45043000130,7
45003000015,2
45003000018,2
45089000024,6
45089000021,6
45089000013,6
45089000011,6
45041000062,7
45089000002,6
45089000027,6
45003000042,2
45003000043,2
45053000108,6
45089000004,6
45069000003,7
45089000005,6
45089000033,6
45089000017,6
45089000016,6
45089000029,6
45089000015,6
45089000014,6
45089000022,6
45089000018,6
45089000008,6
45041000003,7
45085000112,6
45041000047,7
45027000007,6
45027000019,6
45027000024,6
45043000105,7
45043000134,7
45027000004,6
45043000133,7
45043000116,7
45027000006,6
45027000010,6
45027000020,6
45027000022,6
45027000017,6
45027000014,6
45085000146,6
45027000021,6
45027000018,6
45027000005,6
45085000101,5
45017000008,6
45085000145,5
45075000154,6
45079000423,6
45079000434,6
45017000004,6
45017000007,6
45017000012,6
45017000002,6
45017000009,6
45017000005,6
45075000135,6
45075000125,6
45075000150,2
45017000003,6
45017000010,6
45075000136,2
45075000139,2
45079000415,6
45079000458,6
45079000427,6
45075000151,2
45075000137,2
45043000103,7
45019000100,1
45043000102,7
45089000009,6
45063000027,2
45063000082,2
45075000140,2
45003000031,2
45063000023,2
45075000147,2
45003000032,2
45003000039,2
45043000107,7
45043000131,7
45043000101,7
45089000006,6
45063000020,2
45063000008,2
45003000036,2
45003000024,2
45081000003,3
45081000014,3
45081000007,3
45003000033,2
45003000040,2
45003000034,2
45003000030,2
45005000005,6
45003000047,2
45003000037,2
45037000004,3
45003000011,2
45003000003,2
45003000046,2
45003000002,2
45003000001,2
45011000013,2
45003000066,2
45003000020,2
45011000001,2
45011000002,2
45011000007,2
45011000005,2
45003000035,2
45021000011,5
45021000024,5
45011000010,2
45019000012,1
45019000337,1
45019000004,1
45089000032,6
45053000113,6
45015000001,1
45075000141,2
45009000004,6
45003000060,2
45003000069,2
45003000065,2
45003000077,2
45015000042,1
45015000037,1
45015000088,1
45015000016,1
45075000126,2
45075000142,2
45075000127,2
45075000116,6
45019000173,1
45019000181,1
45075000130,6
45075000133,6
45075000131,6
45075000148,6
45075000145,6
45075000152,2
45029000014,6
45035000033,6
45075000146,6
45075000129,6
45075000143,6
45075000122,6
45035000025,6
45075000132,6
45075000120,6
45013000225,1
45013000219,1
45013000217,1
45013000221,1
45075000117,6
45075000107,6
45075000138,6
45075000119,6
45075000112,6
45075000149,6
45075000111,6
45075000118,6
45075000110,6
45003000083,2
45015000027,1
45043000132,7
45015000041,1
45019000008,1
45015000002,1
45015000026,1
45019000339,1
45019000333,1
45035000069,1
45035000044,1
45015000003,1
45003000076,2
45003000053,2
45003000059,2
45003000023,2
45003000061,2
45005000002,6
45005000001,6
45005000003,6
45003000012,2
45003000055,2
45003000028,2
45003000080,2
45003000054,2
45003000019,2
45013000170,1
45013000163,1
45013000112,1
45013000111,1
45013000161,1
45013000179,1
45029000024,6
45029000008,1
45029000012,6
45013000115,1
45013000110,1
45013000116,1
45013000114,1
45053000111,6
45053000112,6
45013000182,1
45013000183,1
45013000186,1
45013000133,1
45013000160,1
45019000462,6
45019000460,6
45019000461,6
45029000035,1
45013000309,1
45013000208,1
45013000120,1
45013000113,1
45013000184,1
45013000181,1
45013000207,1
45013000209,1
45013000211,1
45013000212,1
45013000204,1
45013000214,1
45013000216,1
45013000210,1
45035000088,1
45035000070,1
45029000007,6
45035000029,6
45029000005,6
45029000010,6
45029000034,6
45029000036,6
45029000026,6
45013000201,1
45013000203,1
45013000213,1
45053000109,6
45053000103,6
45013000222,1
45053000110,6
45049000006,6
45013000205,1
45049000010,6
45049000011,6
45075000123,6
45049000007,6
45005000004,6
45075000113,6
45013000185,1
45053000104,6
45053000114,6
45053000102,6
45053000105,6
45013000162,1
45029000040,6
45029000031,6
45029000015,6
45013000301,1
45013000315,1
45013000304,1
45029000009,6
45029000019,6
45029000020,6
45013000202,1
45013000363,1
45013000362,1
45013000320,1
45013000314,1
45075000121,6
45013000174,1
45013000101,1
45013000102,1
45013000303,1
45013000223,1
45013000224,1
45019000440,1
45019000441,1
45019000180,1
45075000114,6
45075000103,6
45053000107,6
45053000106,6
45075000144,6
45049000017,6
45029000013,6
45053000101,6
45029000025,6
45009000002,6
45013000134,1
45013000131,1
45049000013,6
45049000005,6
45075000124,6
45029000018,6
45049000018,6
45029000023,6
45005000006,6
45029000033,6
45029000011,6
45029000002,6
45053000116,6
45029000027,6
45013000132,1
45013000187,1
45013000130,1
45013000200,1
45013000321,1
45013000307,1
45013000312,1
45013000317,1
45013000306,1
45013000308,1
45013000310,1
