GEOID20,District
45047000020,13
45047000024,13
45037000007,83
45037000012,83
45003000067,83
45003000068,83
45003000062,83
45003000029,83
45037000008,83
45003000073,83
45003000058,83
45003000045,84
45003000084,84
45037000001,82
45037000013,82
45037000006,82
45003000051,84
45003000050,84
45051000139,106
45051000141,106
45043000120,108
45003000027,83
45003000026,83
45073000026,1
45003000009,83
45003000025,83
45043000118,108
45043000117,108
45051000151,58
45043000122,108
45051000219,106
45043000124,108
45003000074,83
45051000222,68
45003000081,84
45003000017,84
45003000008,84
45051000149,103
45051000188,103
45051000220,68
45003000006,81
45003000052,81
45003000013,81
45003000004,82
45003000056,86
45003000022,81
45003000000,86
45011000016,91
45043000121,103
45043000106,103
45043000115,103
45051000185,103
45033000006,55
45033000011,55
45033000012,55
45043000110,103
45089000035,57
45041000036,60
45067000001,57
45043000108,103
45043000129,103
45003000007,84
45003000071,84
45003000049,84
45003000063,84
45043000125,108
45089000012,57
45003000048,84
45003000078,86
45003000082,86
45043000104,108
45067000002,57
45067000003,57
45043000130,103
45003000015,84
45003000018,84
45089000024,57
45089000021,57
45089000011,57
45041000062,60
45089000027,57
45003000042,86
45003000043,86
45053000108,123
45069000003,54
45089000005,101
45089000033,101
45089000017,101
45089000016,101
45089000029,101
45089000015,101
45089000014,101
45089000022,101
45089000018,101
45089000008,101
45041000003,62
45085000112,50
45041000047,60
45027000007,64
45027000019,64
45027000024,64
45043000134,108
45027000004,64
45027000006,64
45027000010,64
45027000020,64
45027000022,64
45027000017,64
45027000014,64
45085000146,67
45027000021,64
45027000018,64
45027000005,64
45085000101,50
45017000008,93
45085000145,64
45075000154,95
45079000423,70
45079000434,70
45017000004,93
45017000007,93
45017000012,93
45017000002,93
45017000009,93
45017000005,93
45075000135,93
45075000125,93
45075000150,91
45017000003,93
45017000010,93
45075000136,91
45075000139,93
45079000415,73
45079000458,73
45075000151,91
45075000137,91
45043000103,103
45019000100,108
45043000102,103
45089000009,101
45063000027,96
45063000082,96
45075000140,93
45003000031,86
45063000023,86
45075000147,91
45003000032,86
45003000039,86
45043000107,103
45043000131,103
45043000101,103
45089000006,101
45063000020,86
45063000008,39
45003000036,86
45003000024,86
45081000003,39
45081000014,39
45081000007,39
45003000033,86
45003000040,86
45003000034,86
45003000030,86
45005000005,91
45003000047,81
45037000004,82
45003000011,82
45003000003,82
45003000046,82
45003000001,81
45011000013,91
45003000066,81
45003000020,81
45011000001,91
45011000002,91
45011000007,91
45011000005,91
45003000035,82
45021000011,30
45021000024,30
45011000010,91
45019000012,112
45019000337,112
45019000004,112
45089000032,101
45053000113,122
45015000001,101
45075000141,91
45009000004,90
45003000060,81
45003000069,81
45003000065,81
45003000077,81
45015000042,102
45015000037,102
45015000088,103
45015000016,102
45075000126,90
45075000142,90
45075000127,90
45075000116,90
45019000173,116
45019000181,115
45075000130,95
45075000133,95
45075000131,95
45075000148,95
45075000145,95
45075000152,90
45029000014,97
45035000033,95
45075000146,95
45075000129,95
45075000143,95
45075000122,95
45035000025,95
45075000132,93
45075000120,95
45013000225,123
45013000219,123
45013000217,123
45013000221,123
45075000117,90
45075000107,90
45075000138,93
45075000112,93
45075000149,93
45075000118,90
45075000110,90
45003000083,81
45015000041,103
45019000008,108
45015000026,103
45019000339,112
45019000333,80
45035000044,97
45003000076,81
45003000053,81
45003000023,86
45005000002,91
45005000001,91
45005000003,91
45003000012,84
45003000055,83
45003000028,83
45003000080,83
45003000054,83
45003000019,84
45013000163,121
45013000111,121
45013000161,121
45029000024,97
45029000008,121
45013000115,124
45053000111,122
45053000112,122
45013000182,124
45013000186,124
45013000133,124
45013000160,121
45019000462,116
45019000460,116
45019000461,116
45029000035,116
45013000309,120
45013000120,120
45013000113,124
45013000184,121
45013000181,121
45013000207,123
45013000209,123
45013000211,123
45013000212,123
45013000214,123
45013000216,123
45013000210,123
45035000088,94
45035000070,94
45029000007,97
45035000029,95
45029000005,97
45029000010,97
45029000034,97
45029000026,97
45013000201,123
45013000203,123
45013000213,123
45053000109,122
45053000103,122
