GEOID20,District
45047000020,10
45047000021,10
45047000024,10
45037000007,25
45037000012,25
45003000067,24
45003000068,24
45003000062,24
45003000029,24
45037000008,25
45003000073,24
45003000058,24
45003000045,25
45003000084,25
45037000001,25
45037000013,25
45037000006,25
45003000051,25
45003000050,25
45003000038,25
45003000016,25
45003000041,24
45051000139,34
45051000141,34
45043000120,34
45003000027,24
45003000026,24
45043000119,34
45073000026,1
45003000009,24
45003000025,24
45003000010,24
45043000118,34
45043000117,34
45051000192,33
45051000151,33
45043000122,34
45051000219,34
45043000124,34
45003000074,25
45003000044,25
45051000222,34
45003000081,24
45003000017,24
45003000008,24
45051000149,32
45051000188,32
45051000220,34
45003000005,24
45003000006,24
45003000052,24
45003000072,24
45003000013,24
45003000004,24
45003000057,24
45003000056,24
45003000022,24
45003000000,24
45011000016,40
45043000121,32
45043000106,32
45043000115,32
45051000185,32
45033000006,30
45033000011,30
45033000012,30
45043000110,32
45043000128,32
45089000035,32
45041000036,31
45067000001,30
45043000108,32
45043000129,32
45003000007,25
45003000071,25
45003000049,25
45003000063,25
45043000125,34
45089000012,32
45003000048,24
45003000078,24
45003000082,40
45043000104,32
45067000002,30
45067000003,30
45043000130,32
45003000015,24
45003000018,25
45089000024,32
45089000021,32
45089000013,32
45089000011,32
45041000062,31
45089000002,32
45089000027,32
45003000042,40
45003000043,40
45053000108,45
45089000004,32
45069000003,29
45089000005,32
45089000033,32
45089000017,32
45089000016,32
45089000029,32
45089000015,32
45089000014,32
45089000022,32
45089000018,32
45089000008,32
45041000003,31
45085000112,29
45041000047,31
45027000007,36
45027000019,36
45027000024,36
45043000105,32
45043000134,32
45027000004,36
45043000133,32
45043000116,32
45027000006,36
45027000010,36
45027000020,36
45027000022,36
45027000017,36
45027000014,36
45085000146,36
45027000021,36
45027000018,36
45027000005,36
45085000101,35
45017000008,36
45085000145,35
45075000154,36
45079000423,21
45079000434,21
45017000004,36
45017000007,36
45017000012,36
45017000002,36
45017000009,36
45017000005,26
45075000135,40
45075000125,39
45075000150,40
45017000003,26
45017000010,26
45075000136,40
45075000139,40
45079000415,19
45079000458,19
45079000427,19
45075000151,40
45075000137,40
45043000103,32
45019000100,32
45043000102,32
45089000009,32
45063000027,23
45063000082,26
45075000140,40
45003000031,40
45063000023,23
45075000147,40
45003000032,40
45003000039,40
45043000107,32
45043000131,32
45043000101,32
45089000006,32
45063000020,23
45063000008,23
45003000036,40
45003000024,40
45081000003,25
45081000014,10
45081000007,10
45003000033,24
45003000040,40
45003000034,24
45003000030,40
45005000005,40
45003000047,24
45003000037,24
45037000004,25
45003000011,25
45003000003,24
45003000046,24
45003000002,24
45003000001,24
45011000013,40
45003000066,24
45003000020,24
45011000001,40
45011000002,40
