GEOID20,District
48001000018,8
48001000023,8
48001000016,8
48001000022,8
48001000010,8
48001000011,8
48001000017,8
48001000013,8
48001000008,8
48001000020,8
48001000007,8
48001000021,8
48001000019,8
48001000009,8
48001000006,8
48001000001,8
48001000003,8
48001000015,8
48001000002,8
48001000004,8
48001000005,8
48001000024,8
48003000003,88
48003000002,88
48003000004,88
48003000001,88
48005000008,9
48005000024,9
48005000007,9
48005000015,9
48005000025,9
48005000023,9
48005000022,9
48005000029,9
48005000006,9
48005000021,9
48005000011,9
48005000003,9
48005000012,9
48005000037,9
48005000035,9
48005000034,9
48005000001,9
48005000004,9
48005000002,9
48005000039,9
48005000020,9
48005000005,9
48005000036,9
48005000018,9
48005000028,9
48005000038,9
48005000010,9
48005000013,9
48005000040,9
48005000014,9
48005000019,9
48005000009,9
48005000016,9
48005000031,9
48005000026,9
48005000027,9
48005000032,9
4800500011B,9
48005000033,9
48005000017,9
4800500017B,9
48005000030,9
4800700004A,32
48007000004,32
48007000003,32
48007000001,32
48007000002,32
4800700001A,32
48009000010,69
48009000002,69
48009000011,69
48009000008,69
48009000001,69
48009000003,69
48009000006,69
48009000009,69
48009000007,69
48009000004,69
48009000005,69
48011000202,86
48011000101,86
48011000402,86
48011000401,86
48011000301,86
48011000404,86
48011000201,86
48011000303,86
48013000022,80
48013000007,80
48013000015,80
48013000003,80
48013000009,80
48013000001,80
48013000021,80
48013000004,80
48013000011,80
48013000012,80
48013000024,80
48013000002,80
48013000010,80
48013000023,80
48013000005,80
48013000008,80
48013000016,80
48013000017,80
48013000020,80
48013000018,80
48013000013,80
48013000006,80
48013000019,80
48013000014,80
48015000416,85
48015000415,85
48015000104,85
48015000314,85
48015000101,85
48015000313,85
48015000417,85
48015000418,85
48015000312,85
48015000211,85
48015000207,85
48015000210,85
48015000209,85
48015000208,85
48015000102,85
48015000103,85
48015000206,85
48015000205,85
48017000004,88
48017000001,88
48017000003,88
48017000002,88
48019000407,53
48019000101,53
48019000305,53
48019000102,53
48019000409,53
48019000408,53
48019000306,53
48019000410,53
48019000203,53
48019000204,53
48021004019,17
48021004020,17
48021004021,17
48021004018,17
48021004017,17
48021001022,17
48021001003,17
48021003012,17
48021001001,17
48021003016,17
48021003015,17
48021001002,17
48021002011,17
48021001004,17
48021002009,17
48021002010,17
48021002008,17
48021002006,17
48021002007,17
48021002005,17
48021003013,17
48021003014,17
48023000002,69
48023000003,69
48023000001,69
48023000004,69
48025000005,43
48025000012,43
48025000008,43
48025000011,43
48025000002,43
48025000003,43
48025000001,43
48025000013,43
48025000006,43
48025000018,43
48025000017,43
48025000009,43
48025000016,43
48025000019,43
48025000010,43
48025000004,43
48025000014,43
48027000301,54
48027000309,54
48027000310,54
48027000304,54
48027000104,54
