GEOID20,District
55001000018,24
55001000010,24
55001000030,24
55001000019,14
55001000023,14
55001000022,14
55001000021,14
55001000017,14
55001000016,14
55001000024,14
55001000040,14
55001000011,14
55001000044,14
55057002564,17
55001000039,14
55001000041,14
55057002552,17
55001000012,14
55001000037,14
55057002566,17
55001000036,14
55001000013,14
55001000014,14
55001000029,14
55001000027,14
55001000028,14
55001000005,14
55001000015,14
55001000007,14
55001000038,24
55001000006,14
55001000042,24
55001000001,14
55001000004,14
55001000003,14
55001000002,14
55001000025,24
55001000026,24
55001000009,24
55001000043,24
55001000008,24
55001000020,24
55001000031,24
55001000032,24
55001000033,24
55001000034,24
55001000035,24
55003000045,25
55003000073,25
55003000060,25
55003000059,25
55003000058,25
55003000072,25
55003000064,25
55003000076,25
55003000063,25
55003000062,25
55003000069,25
55003000068,25
55003000070,25
55003000071,25
55003000057,25
55003000067,25
55003000066,25
55003000077,25
55003000078,25
55003000061,25
55003000052,25
55003000048,25
55003000049,25
55003000050,25
55003000053,25
55003000056,25
55005000085,25
55005000084,25
55005000083,25
55005000082,25
55005000081,25
55005000155,25
55005000080,25
55005000156,25
55005000079,25
55005000086,25
55005000150,25
55005000091,25
55005000090,25
55005000089,25
55005000136,25
55005000137,25
55005000145,25
55005000149,25
55005000135,25
55005000146,25
55005000143,25
55005000148,25
55005000147,25
55005000144,25
55005000139,25
55005000138,25
55005000088,25
55005000140,25
55005000141,25
55005000142,25
55005000087,25
55005000152,25
55005000151,25
55005000153,25
55005000112,25
55005000113,25
55005000114,25
55005000115,25
55005000109,25
55005000110,25
55005000124,25
55005000111,25
55005000121,25
55005000127,25
55005000125,25
55005000123,25
55005000122,25
55005000126,25
55005000128,25
55005000092,25
55005000095,25
55005000154,23
55005000096,25
55005000098,25
55005000097,25
55005000099,25
55005000101,25
55005000100,25
55005000102,25
55005000103,25
55005000104,25
55005000105,25
55005000106,25
55005000107,25
55005000108,25
55005000120,25
55005000117,25
55005000118,25
55005000119,25
55005000094,25
55005000093,25
55005000129,25
55005000130,25
55005000132,25
55005000133,25
55005000131,25
55005000134,25
55007000162,25
55007000191,25
55007000190,25
55007000193,25
55007000189,25
55007000192,25
55007000187,25
55007000171,25
55007000165,25
55007000164,25
55007000176,25
55007000179,25
55007000175,25
55007000173,25
55007000172,25
55007000182,25
55007000180,25
55007000159,25
55007000181,25
55007000169,25
55007000166,25
55007000183,25
55007000170,25
55007000163,25
55007000157,25
55007000161,25
55007000178,25
55009000272,2
55009000222,2
55009000321,2
55009000300,2
55009000356,2
55009000280,2
55009000291,2
55009000215,30
55009000283,30
55009000304,30
55009000303,30
55009000250,30
55009000251,30
55009000256,2
55009000271,2
55009000295,2
55009000196,2
55009000229,2
55009000286,2
55009000248,2
55009000241,2
55009000243,2
55009000246,30
55009000199,2
55009000268,2
55009000301,2
55009000317,2
55009000279,2
55009000373,2
55009000290,2
55009000370,2
55009000369,30
55009000202,2
55009000332,2
55009000270,2
55009000223,2
55009000376,2
55009000366,30
55009000288,30
55009000216,30
55009000367,30
55009000338,30
55009000368,30
55009000242,30
55009000252,30
55009000203,30
55009000277,2
55009000340,2
55009000207,2
55009000224,2
55009000314,2
55009000305,30
55009000307,2
55009000281,2
55009000394,2
55009000264,30
55009000293,30
55009000297,30
55009000320,30
55009000220,30
55009000198,30
55009000310,30
55009000302,30
55009000329,30
55009000237,30
55009000294,30
55009000231,30
55009000234,30
55009000227,30
55009000261,30
55009000245,30
55009000244,30
55009000233,30
55009000259,30
55009000249,30
55009000327,30
55009000265,30
55009000269,30
55009000298,30
55009000217,30
55009000313,30
55009000312,30
55009000254,30
55009000206,30
55009000364,2
55009000363,2
55009000311,2
55009000197,2
55009000200,2
55009000315,2
55009000211,2
55009000210,2
55009000284,2
55009000323,1
55009000253,1
55009000375,2
55009000273,1
55009000322,1
55009000351,1
55009000377,1
55009000374,2
55009000278,1
55009000228,1
55009000393,1
55009000208,1
55009000391,1
55009000389,1
55009000350,1
55009000308,1
55009000379,1
55009000359,1
55009000357,30
55009000225,30
55009000258,1
55009000262,1
55009000236,1
55009000347,1
55009000221,1
55009000219,1
55009000267,1
55009000349,1
55009000319,30
55009000260,2
55009000382,2
55009000232,2
55009000386,2
55009000209,2
55009000385,2
55009000383,2
55009000309,2
55009000387,2
55009000239,1
55009000275,1
55009000214,1
55009000195,1
55009000230,1
55009000266,1
55009000226,1
55009000263,1
55009000240,1
55009000218,30
55009000299,30
55009000257,30
55009000247,30
55009000276,30
55009000287,30
55009000388,30
55009000384,30
55009000204,30
55009000255,30
55009000201,30
55009000296,30
55009000392,30
55009000213,30
55009000212,30
55009000306,30
55009000352,30
55009000378,30
55009000337,1
55009000318,1
55009000292,1
55009000348,1
55009000341,1
55009000335,1
55009000324,1
55009000339,1
55009000285,1
55009000205,1
55009000282,1
55009000316,30
55009000355,30
55009000238,30
55009000289,30
55009000274,30
55009000354,30
55009000235,30
55009000345,30
55011000401,31
55011000415,31
55011000423,31
55011000403,31
55011000405,31
55011000397,31
55011000404,31
55011000417,31
55011000419,31
55011000418,31
55011000413,31
55011000410,31
55011000399,31
55011000412,31
55011000400,31
55011000411,31
55011000409,31
55011000408,31
55011000422,31
55011000421,31
55011000402,31
55011000406,31
55011000420,31
55011000414,31
55011000416,31
55011000407,31
55011000398,31
55013000453,25
55013000458,25
55013000442,25
55013000431,25
55013000424,25
55013000463,25
55013000455,25
55013000445,25
55013000430,25
55013000450,25
55013000454,25
55013000439,25
55013000435,25
55013000433,25
55013000443,25
55013000446,25
55013000429,25
55013000451,25
55013000426,25
55013000427,25
55013000425,25
55013000444,25
55013000447,25
55013000465,25
55013000461,25
55013000452,25
55013000437,25
55013000457,25
55013000434,25
55013000459,25
55013000460,25
55013000441,25
55013000436,25
55013000428,25
55013000449,25
55013000432,25
55013000448,25
55013000456,25
55013000462,25
55013000440,25
55013000438,25
55013000464,25
55015000470,20
55015000473,20
55015000495,20
55015000494,20
55015000492,20
55015000493,20
55015000491,20
55015000475,20
55015000476,20
55015000500,9
55015000477,20
55015003000,9
55015000474,9
55015000510,9
55015000509,9
55015000506,9
55015000508,9
55015000507,9
55015000471,20
55015000472,20
55015000517,1
55015000505,1
55015000466,1
55015000521,1
55015000499,1
55015000498,1
55015000496,1
55015000497,1
55015000484,1
55015000520,1
55015003031,1
55015000524,1
55015000537,1
55015000516,20
55015000467,20
55015000503,1
55015000501,1
55015000519,1
55015000504,1
55015000502,1
55015000534,1
55015000530,1
55015000479,1
55015000528,1
55015000529,1
55015000511,1
55015000522,1
55015000481,1
55015000480,1
55015000535,1
55015000478,1
55015000531,1
55015000532,1
55015000482,1
55015000486,1
55015000487,1
55015000488,1
55015000490,1
55015000489,1
55015000485,1
55015000513,1
55015000514,1
55015000533,1
55015000527,1
55015008001,1
55015008000,1
55015000536,1
55015000512,1
55017000538,23
55017000545,23
55017000542,23
55017000564,23
55017000558,23
55017000541,23
55017000548,23
55017000581,23
55017000571,23
55017000540,23
55017000551,23
55017000614,23
55017000622,23
55017000601,23
55017000607,23
55017000602,23
55017000549,23
55017000554,23
55017000568,23
