GEOID,DISTRICT
3710700000C,1
371070000K6,1
371070000K9,1
371070000K5,1
371070000K3,1
371070000K1,1
3710700000V,1
3707900HOOK,1
3707900MAUR,1
371471403A1,1
3714701512B,1
37147000101,1
37147000701,1
3714701504A,1
37147001506,1
3714701505B,1
3714700800B,1
3714701512A,1
3714701505A,1
3714701504B,1
37079000SH1,1
3714700200A,1
3707900SUGG,1
3707900ARBA,1
3715900019A,2
37159000017,2
37025004-11,2
37025004-09,2
37025003-00,2
37159000009,2
37159000016,2
37159000002,2
37025004-12,2
37025004-01,2
37025012-03,2
37025004-03,2
37025012-11,2
37025002-06,2
37025004-13,2
37159000004,2
37159000044,2
37129000H12,3
37129000H13,3
3714100LT18,3
3712900CF02,3
3712900CF01,3
37019000003,3
3714100MT19,3
3714100SC13,3
3714100UT14,3
3714100SP15,3
3714100RP20,3
3714100CF11,3
3714100SB02,3
3714100LC09,3
3713300HR17,3
3713300FS16,3
3713300SF18,3
370950000LL,4
3705500AVON,4
37055000HAT,4
3705500FRCO,4
37055000BUX,4
37095000OCK,4
370950000SQ,4
371370004HB,4
370130AUROR,4
371370001GB,4
371370003BY,4
3713704MSIC,4
371370002SW,4
3713704VM-A,4
3713701AL-A,4
370130SURBA,4
3703100DASW,4
3703100MASM,4
3703100HAIS,4
3703100ABCH,4
3703100PKNL,4
3703100IBSP,4
3703100MHD4,4
3703100BCRK,4
3703100WILD,4
3703100NPT1,4
3703100BFT1,4
3703100MHD2,4
3703100CISL,4
3703100ATSL,4
370310OTBEG,4
3703100BFT2,4
3703100MHD1,4
3703100MHD3,4
3703100WIHA,4
3703100MCRK,4
37049000019,4
37049000002,4
371370002OT,4
3703100MERR,4
3703100NRIV,4
37183013-01,5
37183013-05,5
37183013-07,5
37183013-08,5
37183001-46,5
37183001-38,5
37183001-18,5
37183001-36,5
37183001-11,5
37183001-04,5
37183001-10,5
37183001-09,5
37183001-12,5
37183001-14,5
37183001-13,5
37183001-34,5
37183001-20,5
37183001-26,5
37183001-25,5
37183001-15,5
37183001-17,5
37183001-44,5
3717900017A,6
37179000005,6
3717900038A,6
3717900038B,6
37179000031,6
37179000007,6
37179000042,6
37179000001,6
37179000030,6
37179000039,6
37179000013,6
37179000006,6
37179000034,6
37179000008,6
37179000004,6
37179000003,6
37179000011,6
37179000043,6
37179000010,6
37179000002,6
37179000023,6
37119000061,7
37119000005,7
37119000045,7
37119000033,7
37119000034,7
37119000006,7
37119000062,7
37119000064,7
37119000063,7
37119000130,7
37119000117,7
37119000106,7
37119000066,7
37119000035,7
37119000007,7
37119000125,7
37119000094,7
37119000102,7
37119000029,7
37119000043,7
37119000003,7
37119000060,7
3708100NMAD,8
371570000IR,8
371570000NB,8
371570000HO,8
371570000RC,8
371570000DR,8
3715700LK-2,8
3715700ED-1,8
371570000MA,8
371570000WS,8
37169000002,8
371570000EC,8
371570000SE,8
371570000MC,8
371570000MS,8
37063000038,9
37063000027,9
371350000RF,9
371350000ES,9
371350000CF,9
37135000WDS,9
371350000CH,9
371350000WD,9
371350000RE,9
371350000CO,9
371350000EH,9
37135000UNC,9
37135000EA1,9
371350000NS,9
371350000WW,9
371350000OW,9
371350000DM,9
371350000TH,9
371350000NC,9
371350000CB,9
371350000LC,9
370890000EV,10
370890000ES,10
370890000HS,10
370890000LP,10
370890000SM,10
370890000AT,10
370890000LJ,10
370890000NW,10
370890000GM,10
370890000NE,10
3708900HV-2,10
370890000AR,10
370890000SE,10
370890000EF,10
370890000SB,10
370890000MG,10
370890000NB,10
370890000CC,10
370890000RR,10
370890000GR,10
370890000CB,10
370890000SW,10
370890000FR,10
370890000PV,10
3708900HV-1,10
3708900HV-3,10
370810G40A1,11
3708100G40B,11
37081000G32,11
37081000G39,11
37081000G34,11
37081000G33,11
37081000G31,11
37081000G20,11
37081000G21,11
37081000G26,11
3708100CG3A,11
37081000CG2,11
370810NCGR1,11
37081000G27,11
37081000G22,11
37081000G18,11
37081000G19,11
37081000G11,11
37081000G44,11
37081000G12,11
37081000G45,11
37081000G23,11
37081000G24,11
37081000G16,11
37081000G15,11
37081000G13,11
37081000G17,11
37081000G14,11
37081000CG1,11
37081000G29,11
37081000G28,11
37081000G25,11
37081000G30,11
3708100MON1,12
370810MON2A,12
3708100CG3B,12
3708100MON3,12
370810MON2B,12
37081000G10,12
37081000G09,12
37081000G05,12
37081000G04,12
37081000G68,12
37081000G70,12
37081000G74,12
37081000G71,12
37081000G67,12
37081000G69,12
37081000G46,12
37081000G01,12
37081000G73,12
37081000G03,12
37081000G02,12
37081000G07,12
37081000G72,12
37081000G06,12
37081000G08,12
371010PR23A,13
371010PR31B,13
37183015-01,13
37183015-03,13
371010PR23B,13
37183012-04,13
37183012-07,13
37183012-01,13
37183012-05,13
37183015-02,13
37183015-04,13
37183016-07,13
37063055-11,14
37063000042,14
37063000041,14
370630034-2,14
37063000033,14
37183020-15,14
370630035.3,14
370630053-1,14
37063000016,14
37063000048,14
37063000054,14
37063000051,14
370630034-1,14
37183005-08,15
37183005-07,15
37183005-01,15
37183005-06,15
37183020-17,15
37183020-16,15
37183020-14,15
37183020-10,15
37183004-13,15
37183020-04,15
37155000015,16
37155000003,16
37047000P15,16
37155000020,16
37155000036,16
37155000016,16
37155000002,16
37155000023,16
37155000025,16
37155000004,16
37155000035,16
37155000022,16
3715500005A,16
37155000037,16
37155000040,16
37155000038,16
37155000007,16
37155000039,16
37155000001,16
37155000019,16
37155000029,16
37155000017,16
37047000P07,16
37047000P24,16
3704700P22A,16
37047000P08,16
