GEOID,DISTRICT
04013000006,1
04013000423,1
04013000216,1
04013000728,2
04013000007,2
04013000271,3
04013000082,3
04013000086,3
04013000060,3
04013000709,2
04013000369,2
04013000524,2
04013000558,4
04013000191,3
04013000032,5
04013000464,2
04013000143,2
04013000489,3
04013000056,1
04013000072,1
04013000643,1
04013000002,1
04013000661,1
04013000703,1
04013000510,1
04013000025,6
04013000364,4
04013000061,4
04013000107,1
04013000251,1
04013000513,1
04013000431,5
04013000475,5
04013000166,6
04013000539,5
04013000047,7
04013000290,7
04013000268,7
04013000601,7
04013000649,7
04013000315,7
04013000516,4
04013000118,6
04013000402,7
04013000677,3
04013000049,3
04013000410,5
04013000350,7
04013000574,7
04013000393,1
04013000099,5
04013000653,5
04013000447,3
04013000503,4
04013000642,4
04013000518,4
04013000233,4
04013000298,4
04013000106,1
04013000175,5
04013000724,4
04013000275,4
04013000122,6
04013000669,4
04013000331,6
04013000541,4
04013000149,1
04013000487,1
04013000748,1
04013000220,6
04013000253,6
04013000228,7
04013000176,2
04013000092,7
04013000459,7
04013000614,7
04013000360,7
04005000040,3
04005000079,3
04005000098,3
04005000099,3
04005000066,3
04005000024,3
04005000026,3
04005000080,3
04005000062,3
04005000058,3
04005000075,3
04005000048,3
04005000092,3
04005000063,3
04005000042,3
04005000059,3
04005000097,3
04005000043,3
04013000633,4
04013000108,5
04013000211,4
04013000517,4
04013000050,1
04013000623,5
04013000273,1
04013000034,1
04013000445,1
04013000212,1
04013000400,1
04013000078,4
04013000305,5
04013000027,5
04013000448,5
04013000582,7
04013000542,7
04013000227,6
04013000686,6
04013000207,6
04013000190,6
04013000386,2
04013000404,2
04013000483,2
04013000218,6
04013000085,6
04013000681,6
04013000246,6
04013000172,6
04013000011,6
04013000711,6
04013000451,6
04005000047,3
04005000056,3
04005000055,3
04005000084,3
04005000005,3
04005000069,3
04021000082,8
04021000036,8
04021000034,8
04021000025,8
04021000024,8
04021000023,8
04021000020,8
04021000001,8
04021000013,8
04021000105,8
04021000027,8
04021000017,8
04021000037,8
04021000062,6
04021000038,8
04021000029,8
04021000055,8
04021000097,8
04021000026,8
04021000070,8
04021000100,6
04021000030,6
04021000102,6
04021000090,6
04021000031,8
04021000077,6
04021000092,8
04021000008,8
04021000046,4
04021000005,9
04021000018,8
04021000041,8
04021000091,8
04021000053,8
04021000010,8
04013000561,2
04013000288,2
04013000671,2
04013000588,1
04013000500,1
04013000161,1
04013000576,4
04013000005,4
04021000009,8
04013000279,4
04013000379,4
04013000262,4
04013000485,5
04013000136,7
04013000575,7
04013000635,7
04013000302,4
04013000112,4
04013000356,6
04013000526,1
04013000093,7
04013000195,5
04013000171,5
04013000311,5
04013000038,4
04013000074,4
04013000265,4
04013000306,5
04013000287,4
04013000457,4
04013000610,1
04013000578,1
04013000015,1
04013000559,4
04013000314,4
04013000592,5
04013000131,5
04013000361,5
04013000114,5
04013000276,5
04013000540,3
04013000700,3
04013000506,3
04013000286,1
04013000214,5
04013000168,3
04013000250,3
04013000196,3
04013000738,5
04013000476,6
04013000427,6
04013000117,6
04013000245,6
04005000011,3
04005000022,3
04005000041,3
04005000053,3
04013000232,4
04013000163,4
04013000103,7
04013000068,7
04013000192,7
04013000073,5
04013000666,3
04013000133,1
04013000416,4
04013000377,3
04013000035,4
04013000494,4
04013000260,5
04013000733,5
04013000282,7
04013000465,7
04013000016,7
04013000627,5
04013000602,5
04013000215,5
04013000010,6
04013000587,5
04013000132,5
04013000679,4
04013000088,6
04013000182,2
04013000676,2
04013000439,1
04013000269,2
04013000701,1
04005000073,3
04001000085,3
04001000125,3
04001000170,3
04001000025,3
04001000080,3
04001000060,3
04001000065,3
04021000048,4
04021000059,4
04021000040,4
04021000007,8
04021000093,8
04021000015,8
04021000049,8
04021000051,8
04021000050,8
04013000291,2
04013000727,2
04013000205,2
04013000675,1
04013000374,5
04013000581,6
04013000732,1
04013000690,1
04013000521,1
04013000183,1
04013000580,5
04013000519,5
04013000628,1
04013000406,5
04013000248,5
04013000549,5
04013000066,6
04013000705,6
04013000178,4
04013000210,4
04013000467,4
04013000488,4
04013000330,1
04013000444,3
04013000662,3
04013000113,3
04013000244,1
04013000384,1
04013000284,2
04013000704,2
04013000646,2
04013000316,2
04013000378,7
04013000495,7
04013000729,4
04013000294,4
04013000511,4
04013000514,1
04013000162,1
04013000125,1
04013000645,1
04013000544,1
04013000706,1
04025000017,2
04013000270,2
04013000659,2
04013000551,1
04013000352,1
04013000009,7
04013000209,1
04013000146,7
04013000137,7
04013000045,5
04013000504,5
04013000667,5
04013000359,4
04013000398,1
04013000531,5
04013000647,5
04013000154,6
04013000664,2
04013000723,2
04013000234,2
04013000363,7
04013000141,1
04021000019,8
04021000075,8
04021000012,8
04021000068,8
04021000095,8
04021000096,8
04021000022,8
04013000206,1
04005000074,3
04005000072,3
04013000158,7
04013000548,7
04013000300,7
04013000620,7
04013000719,7
04013000179,3
04013000583,2
04013000256,2
04019000002,8
04013000029,2
