GEOID,DISTRICT
0901111-054,1
0901111-014,1
0901111-051,1
0901111-007,1
0901111-055,1
0901111-056,1
0901111-012,1
0901111-017,1
0901111-038,1
0901111-037,1
0901111-010,1
0901111-011,1
0901111-044,1
0901111-053,1
0901111-009,1
0900909-014,4
0900909-013,4
0900909-015,4
0900909-012,4
0900909-142,3
0900909-143,3
0900909-156,3
0900909-157,3
0900909-019,3
0900909-168,3
0900909-085,3
0900909-191,3
0900909-192,3
0900101-184,2
0900101-178,2
0900101-185,2
0900101-199,2
0900101-076,2
0900909-158,3
0901111-021,1
0901111-016,1
0901111-019,1
0901111-020,1
0901111-057,1
0901111-032,1
0901111-027,1
0901111-030,1
0901111-047,1
0901111-013,1
0901111-006,1
0901111-041,1
0901111-046,1
0901111-039,1
0901111-008,1
0901111-034,1
0901111-033,1
0901111-003,1
0901111-005,1
0901111-045,1
0900909-040,4
0900909-046,4
0900909-131,4
0900909-075,4
0900909-077,4
0900909-076,4
0900909-024,4
0900909-025,4
0900909-193,3
0900909-159,3
0900909-179,3
0900909-178,3
0900909-161,3
0900909-163,3
0900909-083,3
0900909-081,3
0900909-003,4
0900909-002,4
0900909-080,3
0900909-079,3
0900909-065,3
0900909-064,3
0900909-054,3
0900909-056,3
0900909-032,4
0900909-028,4
0900909-027,4
0900909-194,4
0900909-195,4
0900909-138,4
0900909-152,3
0900909-151,3
0900909-034,4
0900909-036,1
0900909-035,4
0900909-084,3
0900909-008,3
0900909-144,4
0900909-146,4
0900909-110,4
0900909-098,4
0900909-109,4
0900909-185,4
0900909-197,4
0900909-196,4
0900909-184,4
0900909-186,4
0900909-136,3
0900909-135,4
0900909-007,4
0900909-073,4
0900909-072,4
0900909-137,3
0900909-132,4
0900909-052,1
0900101-003,2
0900909-074,4
0900909-071,4
0900909-123,4
0900909-124,4
0900909-009,3
0900101-138,2
0900101-136,2
0900101-134,2
0900101-148,2
0900101-137,2
0900101-023,4
0900101-026,2
0900909-038,4
0900909-107,4
0900909-104,4
0900909-106,4
0900909-111,4
0900909-133,4
0900909-043,4
0900909-004,4
0900909-037,4
0900909-167,3
0900909-069,4
0900101-173,4
0900101-172,4
0900101-016,4
0900909-093,4
0900909-092,4
0900909-090,4
0900909-094,4
0900909-170,3
0900909-169,3
0900909-165,3
0900909-113,4
0900101-110,2
0900101-109,2
0900101-108,2
0900101-106,2
0900101-107,2
0900101-116,2
0900101-177,2
0900101-176,2
0900101-119,2
0900909-190,4
0900909-199,4
0900909-018,3
0900909-108,4
0900909-070,4
0900909-016,4
0900909-011,4
0900909-010,4
0900909-021,3
0900101-186,2
0900101-187,2
0900101-188,2
0900101-152,2
0900101-147,2
0900101-150,2
0900101-070,2
0900101-067,2
0900101-069,2
0900101-068,2
0900101-160,4
0900101-159,4
0900101-194,4
0900101-175,4
0900101-049,2
0900101-050,2
0900909-198,4
0900909-181,4
0900909-182,4
0900909-099,4
0900909-097,4
0900909-096,4
0900909-119,4
0900909-100,4
0900909-162,3
0900909-166,3
0901515-002,1
0901515-008,1
0901515-009,1
0901515-017,1
0901515-015,1
0901515-018,1
0901515-027,1
0901515-024,1
0901515-014,1
0901515-033,1
0901515-012,1
0901515-006,1
0901515-004,1
0901515-013,1
0901515-010,1
0901515-032,1
0901515-030,1
0901515-029,1
0901515-023,1
0900101-094,2
0900101-089,2
0900101-012,4
0900101-014,4
0900101-013,4
0900101-011,4
0900101-020,4
0900101-021,4
0900101-010,4
0900909-141,3
0900909-134,4
0900909-005,4
0900909-180,3
0900909-042,4
0900909-039,3
0900909-050,4
0900909-051,4
0900909-001,4
0900101-055,2
0900101-060,2
0900101-093,4
0900101-083,2
0900101-082,2
0900101-085,2
0900101-075,2
0900101-117,2
0900909-147,3
0900909-148,3
0900909-139,4
0900909-140,4
0901515-031,1
0901515-028,1
0901515-007,1
0901515-019,1
0900101-124,4
0900101-125,4
0900101-126,4
0900101-062,2
0900101-071,2
0900101-174,2
0900101-171,4
0900101-032,2
0900101-031,4
0900707-010,1
0900707-025,5
0900707-031,1
0900707-032,1
0900707-020,5
0900707-021,5
0900707-035,1
0901111-050,1
0900707-015,1
0900707-009,1
0900909-121,4
0900909-122,4
0900909-053,1
0900909-091,4
0900909-095,4
0900909-049,3
0900909-048,3
0900909-047,4
0901111-049,1
0901111-048,1
0901515-025,1
0901515-026,1
0901515-003,1
0901515-020,1
0901515-021,1
0900707-017,5
0900707-030,5
0900707-019,5
0900707-018,5
0900707-033,1
0900707-034,1
0900707-012,1
0900707-013,1
0900707-002,1
0900707-016,5
0900707-003,5
0900707-026,1
0900707-027,5
0900707-028,5
0900303-019,3
0900303-020,3
0900303-021,3
0900303-161,5
0900303-045,5
0900303-046,5
0900303-116,5
0900303-094,5
0900303-087,5
0900303-093,5
0900303-130,5
0900303-133,5
0900303-132,5
0900303-136,5
0900303-137,1
0900303-160,5
0900303-164,5
0900505-049,3
0900505-046,3
0900303-090,1
0900303-088,1
0900303-150,5
0900303-029,5
0900303-067,5
0900303-068,5
0900303-091,1
0900303-095,1
0900303-016,3
0900505-047,3
0900505-048,3
0900505-022,2
0900505-021,2
0900505-028,3
0900303-158,5
0900303-152,5
0900303-157,5
0900303-038,5
0900303-041,5
0900303-050,5
0900303-056,5
0900303-018,3
0900303-014,3
0900303-017,3
0900303-023,3
0900303-034,5
0900303-033,5
0900303-120,5
0900303-119,5
0900303-011,5
0900303-013,5
0900303-012,5
0900303-121,5
0900303-010,5
0900303-129,5
0900303-100,3
0900303-110,5
0900303-113,5
0900303-111,5
0900303-035,5
0900101-036,2
0900101-040,2
0900101-039,2
0900101-041,2
0900303-108,5
0900303-107,5
0900303-106,5
0900303-123,3
0900303-117,5
0900303-096,1
0900303-128,5
0900303-105,5
0900505-051,3
0900505-052,3
0900303-155,5
0900303-031,5
0900303-037,5
0900303-131,5
0900303-138,5
0900303-134,5
0900303-099,5
0900303-098,5
0900303-114,3
0900303-097,5
0900303-101,5
0900303-078,5
0900303-077,5
0900303-154,5
0900303-073,5
0900303-075,5
0900303-074,5
0900505-030,3
0900505-032,3
0900505-054,3
0900505-037,3
0900505-009,3
0900505-010,3
0900505-026,3
0900101-128,2
0900101-162,4
0900101-165,4
0900101-181,2
0900101-200,2
0900101-056,2
0900101-120,2
0900101-051,2
0900101-122,2
0900505-027,3
0900505-034,3
0900505-033,3
0900505-035,3
0900505-039,3
0900505-036,3
0901313-006,1
0901313-007,1
0901313-008,1
0901313-003,1
0901313-012,1
0901313-010,1
0901313-001,1
0901313-013,1
0901313-020,1
0900505-003,2
0901313-023,1
0901313-019,1
0901313-017,1
0901313-014,1
0901313-015,1
0901313-018,1
0900505-023,3
0900505-002,3
0900101-149,2
0900303-076,5
0901313-024,1
0901313-002,1
0900505-018,3
0900505-017,3
0900101-111,2
0900101-112,2
0900101-066,2
0900101-065,2
0900303-027,5
0900303-028,5
0900303-168,5
0900303-170,5
0900303-167,5
0900303-085,5
0900303-064,5
0900303-069,5
0900303-072,5
0900303-071,5
0900101-033,4
0900101-096,2
0900101-095,2
0900101-063,2
0900101-101,4
0900303-084,5
0900303-083,5
0900303-070,5
0900303-065,5
0900303-066,5
0900303-156,5
0900303-025,5
0900101-074,2
0900101-001,2
0900101-034,2
0900101-113,2
0900101-017,4
0900101-018,4
0900101-097,2
0900101-052,2
0900101-054,2
0900101-038,2
0900101-044,2
0900101-043,2
0900101-047,2
0900101-146,2
0900101-144,2
0900101-141,2
0900101-140,2
0900101-064,2
0900101-183,2
0900101-182,2
0900101-180,2
0900101-191,2
0900101-192,2
0901313-009,1
0900101-029,2
0900101-030,2
0900101-028,4
0900101-102,2
0900101-104,2
0900101-090,2
0900101-193,2
0900101-129,2
0900101-115,2
0900101-114,2
0900101-086,2
0900101-133,2
0900101-135,2
0900101-130,2
0900101-132,2
0900101-131,2
0900101-142,2
0900101-123,4
0900101-127,4
0900101-179,2
0900101-105,2
0900101-053,2
0900101-098,2
0900707-011,1
0900707-029,5
0900707-024,5
0900101-151,2
0900101-158,2
0900101-019,2
0901515-005,1
0901111-035,1
0901111-015,1
0901111-031,1
0901111-028,1
0901111-002,1
0901111-004,1
0901111-026,1
0901111-043,1
0901111-036,1
0900909-149,3
0900909-102,4
0900909-116,4
0900909-118,4
0900909-127,4
0900909-117,4
0900909-105,4
0900909-155,3
0900909-154,3
0900707-001,1
0900101-022,2
0900101-015,4
0900101-088,2
0900101-087,2
0900505-050,3
0900505-042,3
0900303-003,3
0900303-002,5
0900303-001,5
0900303-040,5
0900303-039,5
0900303-082,5
0900303-125,3
0900303-126,3
0900303-124,3
0900303-146,3
0900303-143,3
0900303-147,3
0900303-115,5
0900303-109,5
0900303-112,5
0900303-043,5
0900303-044,5
0900303-049,3
0900303-104,5
0900303-103,5
0900303-139,3
0900303-140,3
0900909-022,3
0900303-159,5
0900303-165,5
0900303-057,5
0900303-058,5
0900303-060,5
0900303-032,5
0900505-025,2
0900505-031,3
0900505-005,3
0900303-048,3
0900303-008,3
0900303-145,3
0900303-141,3
0900303-144,3
0900303-153,5
0900303-026,5
0900303-062,5
0900303-063,5
0900303-061,5
0900101-167,4
0900101-166,4
0900101-091,2
0900101-042,2
0901313-021,1
0901313-022,1
0901313-004,1
0900101-008,4
0900101-007,4
0900101-045,2
0901313-025,1
0900101-168,4
0900101-002,2
0900101-005,2
0900101-006,2
0900505-006,3
0900303-022,3
0900303-169,5
0900505-011,3
0900505-045,3
0900303-171,5
0900303-173,5
0901111-052,1
0901111-040,1
0901111-018,1
0901111-001,1
0900909-087,3
0900909-086,3
0900909-023,3
0900909-017,3
0900909-177,3
0901111-042,1
0901111-023,1
0901111-022,1
0900909-045,4
0900909-029,4
0900909-030,4
0900909-033,4
0900909-031,4
0900909-174,3
0900909-173,3
0900909-171,3
0900909-164,3
0900909-130,4
0900909-088,4
0900909-062,3
0900909-063,3
0900909-061,3
0900909-150,3
0900909-059,3
0900909-060,3
0900909-058,3
0900909-041,4
0900909-044,4
0900909-101,4
0900909-112,4
0900909-120,4
0900909-067,3
0900909-068,3
0900909-026,4
0900909-115,4
0900909-125,4
0900909-057,3
0900101-004,2
0900101-155,2
0901515-001,1
0900101-084,2
0900101-118,2
0900101-046,2
0900101-059,2
0900101-057,2
0900101-048,2
0900101-143,2
0900101-058,2
0901515-016,1
0900707-022,5
0900909-160,3
0900909-055,3
0900707-006,3
0900707-008,3
0900707-005,5
0900707-007,3
0900707-004,1
0900303-006,5
0900303-127,5
0900303-004,5
0900303-005,5
0900303-089,1
0900303-135,5
0900303-051,1
0900303-053,1
0900303-175,1
0900303-080,5
0900303-009,5
0900303-054,1
0900303-162,5
0900303-015,3
0900303-172,5
0900505-044,3
0900505-007,3
0900505-008,3
0900303-092,1
0900303-036,5
0900303-118,5
0900303-142,3
0900505-038,3
0900505-043,3
0900505-029,3
0900505-020,2
0900505-019,3
0900101-061,2
0900101-079,2
0900101-078,2
0900101-161,4
0900101-189,4
0900505-012,3
