GEOID,DISTRICT
19029029010,1
19029029007,1
19029029009,1
19137137008,1
19137137001,1
19135135001,2
19099099014,2
19099099011,2
19099099015,2
19099099017,3
19069069015,3
19087087010,4
19087087009,4
19099099018,3
19069069008,3
19069069004,3
19015015012,1
19015015014,1
19169169015,2
19169169109,2
19169169110,2
19169169120,2
19169169107,2
19169169102,2
19169169112,2
19169169113,2
19169169002,2
19169169019,2
19169169018,2
19169169017,2
19177177020,4
19121121011,1
19027027004,1
19027027002,1
19027027019,1
19015015015,1
19015015006,1
19169169108,2
19169169105,2
19169169013,2
19169169009,2
19169169115,2
19099099006,3
19099099019,3
19069069019,3
19069069007,3
19069069017,3
19069069010,3
19003003012,1
19003003008,1
19121121013,1
19121121010,1
19177177011,4
19177177006,4
19177177007,4
19177177015,4
19185185002,2
19185185010,2
19185185012,2
19185185003,2
19187187036,1
19187187035,1
19003003007,1
19003003009,1
19003003010,1
19075075016,3
19075075014,3
19015015013,1
19121121009,1
19027027010,1
19027027011,1
19169169023,2
19169169011,2
19169169103,2
19099099007,3
19099099005,3
19099099010,2
19069069022,3
19069069001,3
19187187038,1
19187187008,1
19187187001,1
19003003011,1
19087087014,4
19111111001,4
19087087005,4
19099099020,3
19187187013,1
19187187014,1
19099099003,3
19187187037,1
19121121004,1
19121121003,1
19121121001,1
19087087001,4
19121121005,2
19121121016,2
19027027012,1
19169169101,2
19169169111,2
19169169104,2
19169169010,2
19169169114,2
19169169006,2
19117117007,2
19115115005,4
19115115004,4
19115115003,4
19115115010,4
19107107020,3
19107107019,3
19107107013,3
19107107022,3
19107107018,4
19107107011,3
19079079017,2
19079079020,1
19153153355,2
19153153351,2
19153153356,2
19153153353,2
19153153352,2
19153153354,2
19153153023,2
19153153030,2
19153153334,2
19153153003,2
19153153361,2
19153153239,2
19153153241,2
19153153367,2
19153153008,2
19153153007,2
19153153025,2
19029029008,1
19175175011,1
19081081014,1
19081081007,1
19081081015,1
19027027013,1
19027027022,1
19027027001,1
19059059011,1
19059059009,1
19059059004,1
19059059012,1
19187187002,1
19187187018,1
19087087003,4
19087087007,4
19087087012,4
19079079015,1
19153153051,2
19153153339,2
19153153341,2
19153153052,2
19153153336,2
19153153310,2
19153153309,2
19081081001,1
19081081016,1
19081081009,1
19003003014,1
19117117008,2
19117117005,2
19003003013,1
19029029018,1
19029029013,1
19029029004,1
19029029005,1
19177177012,4
19177177013,4
19177177001,4
19177177004,4
19177177017,4
19185185001,2
19185185017,2
19185185016,2
19075075008,3
19075075010,3
19121121018,1
19121121019,1
19027027008,1
19015015008,1
19015015004,1
19169169014,2
19169169008,2
19169169016,2
19003003006,1
19117117006,2
19003003002,1
19003003003,1
19185185008,2
19169169106,2
19169169117,2
19169169119,2
19075075017,3
19075075009,3
19037037001,3
19037037016,3
19037037007,3
19037037006,3
19037037013,3
19029029015,1
19029029016,1
19181181003,2
19181181013,2
19197197005,1
19121121017,2
19177177016,4
19177177009,4
19153153211,2
19153153333,2
19153153247,2
19153153368,2
19153153369,2
19153153365,2
19153153256,2
19153153037,2
19107107015,3
19197197015,1
19197197002,1
19079079014,1
19079079013,1
19079079010,1
19079079006,2
19079079023,1
19079079022,1
19147147002,1
19147147018,1
19147147005,1
19147147003,1
19197197009,1
19197197010,1
19195195016,3
19195195015,3
19115115011,4
19115115013,4
19079079005,1
19079079001,1
19079079009,1
19107107005,3
19181181018,2
19049049023,2
19049049025,2
19049049024,2
19049049037,2
19153153370,2
19153153371,2
19109109007,1
19109109006,1
19153153260,2
19153153268,2
19153153248,2
19147147006,1
19147147019,1
19009009014,1
19009009007,1
19147147015,1
19143143007,1
19143143006,1
19029029001,1
19153153022,2
19153153026,2
19153153038,2
19153153233,2
19147147014,1
19147147010,1
19147147008,1
19147147017,1
19059059003,1
19059059010,1
19059059015,1
19059059013,1
19059059014,1
19059059002,1
19059059001,1
19059059016,1
19059059021,1
19109109018,1
19109109011,1
19153153242,2
19153153206,2
19153153261,2
19079079004,1
19079079007,1
19181181017,2
19181181023,2
19181181024,2
19181181004,2
19181181005,2
19181181015,2
19181181012,2
19153153302,2
19153153317,2
19153153306,2
19153153207,2
19153153307,2
19153153034,2
19153153201,2
19153153373,2
19153153372,2
19153153374,2
19153153318,2
19153153319,2
19153153304,2
19153153305,2
19153153246,2
19153153340,2
19153153362,2
19153153363,2
19153153331,2
19153153332,2
19153153276,2
19153153375,2
19153153009,2
19141141007,1
19153153032,2
19153153234,2
19079079011,1
19107107014,3
19107107012,3
19153153024,1
19153153226,2
19153153230,2
19153153220,2
19153153249,2
19153153046,2
19153153316,2
19153153315,2
19153153213,2
19153153338,2
19153153337,2
19153153004,2
19153153224,2
19153153203,2
19153153301,2
19153153223,2
19153153204,2
19153153210,2
19147147004,1
19153153275,2
19153153269,2
19153153366,2
19153153255,2
19153153335,2
19153153267,2
19153153254,2
19153153045,2
19153153050,2
19153153049,2
19153153041,2
19153153229,2
19153153257,2
19153153281,2
19153153278,2
19153153217,2
19153153208,2
19153153266,2
19153153216,2
19153153243,2
19153153005,2
19109109026,1
19109109030,1
19059059005,1
19009009001,1
19009009009,1
19195195006,3
19109109010,1
19109109025,1
19109109024,1
19109109028,1
19109109027,1
19195195004,3
19195195007,3
19195195014,3
19009009012,1
19009009013,1
19009009010,1
19109109033,1
19109109008,1
19049049040,2
19049049030,2
19049049022,1
19049049027,1
19049049017,1
19049049026,1
19049049021,1
19049049014,1
19109109015,1
19109109017,1
19109109034,1
19109109021,1
19109109023,1
19007007018,2
19007007007,2
19007007010,2
19007007001,2
19197197001,1
19049049006,1
19049049007,1
19007007005,2
19007007013,2
19007007019,2
19007007014,2
19197197021,1
19103103025,4
19103103029,4
19103103030,4
19103103021,4
19049049019,2
19049049018,1
19049049020,2
19049049033,1
19049049002,1
19137137009,1
19135135007,2
19179179018,3
19179179019,3
19153153227,2
19007007021,2
19007007009,2
19049049015,1
19049049028,1
19137137005,1
19179179008,3
19071071005,1
19071071013,1
19071071014,1
19071071001,1
19071071004,1
19071071007,1
19071071002,1
19071071006,1
19071071011,1
19071071012,1
19037037002,3
19037037015,3
19037037009,3
19037037012,3
19015015023,1
19049049013,1
19049049009,1
19015015005,1
19015015003,1
19015015007,1
19151151012,1
19151151003,1
19173173011,1
19173173008,1
19173173002,1
19173173015,1
19173173004,1
19173173022,1
19173173003,1
19173173012,1
19127127014,3
19127127027,3
19127127025,3
19191191002,3
19191191012,3
19191191014,3
19191191023,3
19191191008,3
19191191013,3
19151151007,1
19151151019,1
19145145010,1
19145145009,1
19145145018,1
19145145011,1
19145145016,1
19151151016,1
19071071009,1
19127127028,3
19127127012,3
19127127026,3
19127127020,3
19127127013,3
19127127005,3
19127127015,3
19127127019,3
19151151001,1
19151151013,1
19151151005,1
19151151010,1
19191191020,3
19019019015,3
19019019014,3
19143143004,1
19037037004,3
19127127002,3
19127127024,3
19127127023,3
19127127021,3
19127127011,3
19141141009,1
19141141012,1
19141141011,1
19141141001,1
19141141019,1
19145145002,1
19071071010,1
19071071008,1
19151151002,1
19145145020,1
19145145001,1
19145145003,1
19145145007,1
19145145015,1
19143143003,1
19143143011,1
19131131012,3
19189189011,1
19131131019,3
19131131016,3
19131131017,3
19065065023,3
19085085016,1
19127127003,3
19127127018,3
19127127022,3
19127127006,3
19151151014,1
19065065020,3
19065065001,3
19089089005,3
19011011006,3
19011011013,3
19011011018,3
19011011015,3
19011011016,3
19011011012,3
19113113010,3
19005005018,3
19005005002,3
19021021011,1
19021021012,1
19021021019,1
19021021006,1
19021021013,1
19011011004,3
19061061002,4
19061061041,4
19061061040,4
19061061039,4
19061061022,4
19061061014,4
19061061011,4
19061061013,4
19065065019,3
19089089012,3
19089089010,3
19025025003,1
19021021016,1
19021021008,1
19155155023,1
19155155043,1
19155155049,1
19155155025,1
19155155031,1
19065065011,3
19065065017,3
19155155011,1
19155155010,1
19155155038,1
19155155013,1
19167167029,1
19167167013,1
19009009005,1
19133133015,1
19133133005,1
19061061031,4
19061061038,4
19061061037,4
19061061036,4
19061061025,4
19061061024,4
19043043006,3
19065065015,3
19065065004,3
19017017016,3
19193193029,1
19193193055,1
19193193046,1
19193193049,1
19193193030,1
19033033035,3
19033033007,3
19033033034,3
19033033025,3
19033033032,3
19033033033,3
19033033028,3
19033033020,3
19033033019,3
19167167004,1
19065065016,3
19045045016,4
19045045026,4
19045045027,4
19045045007,4
19113113133,3
19057057020,4
19057057018,4
19057057017,4
19057057015,4
19057057016,4
19025025008,1
19021021001,1
19167167019,1
19167167020,1
19065065024,3
19061061019,4
19061061045,4
19061061026,4
19061061043,4
19061061008,4
19061061029,4
19061061017,4
19061061009,4
19061061027,4
19061061044,4
19061061035,4
19051051016,4
19043043011,3
19043043015,4
19043043024,4
19057057023,4
19057057019,4
19057057013,4
19057057014,4
19057057010,4
19057057007,4
19087087011,4
