GEOID,DISTRICT
2101700B101,6
2101700G101,6
2101700G102,6
2101700C101,5
2101700F103,6
2107100D108,5
2103300B102,4
2103300B101,4
2101700F101,6
2116900B103,3
2116900A103,3
2107100A105,5
2107100A116,5
2107100A103,5
2107100C107,5
2107100C108,5
2107100A106,5
2113100C102,5
2113100A101,5
2113100B102,5
2112700B103,5
2112700A101,5
2112700A102,5
2112700D104,5
2112700D105,5
2112700C104,5
2112700A104,5
2112700B101,5
2112700C101,5
2112700B102,5
2103500B103,4
2107100A110,5
2107100D105,5
2102500A102,5
2103300D104,4
2103300A103,4
2102500C101,5
2102500B105,5
2102500D103,5
2111700C103,6
2111700C105,6
2107100B102,5
2103300B103,4
2103300D101,4
2106700A131,1
2106700A163,1
2106700C130,1
2106700C124,1
2107700D102,6
2107700D101,6
2111900C101,5
2107700B102,6
2107700B101,6
2110300B102,6
2110300D101,6
2110300B103,6
2110300C102,6
2113900B103,4
2107100A104,5
2113100B101,5
2113100C103,5
2113100A102,5
2113100D104,5
2113100B104,5
2113900C102,4
2112700D101,5
2107100A111,5
2103300A102,4
2103300C102,4
2105900A111,4
2105900H101,4
2105900A138,4
2105900A110,4
2105900B103,4
2105900F102,4
2105900E102,4
2105900G102,4
2105900H105,4
2105900G103,4
2111700A137,6
2111700C139,6
2111700A122,6
2116900A104,3
2102500B103,5
2102500C102,5
2111700B123,6
2111700B119,6
2106700A188,1
2106700C183,1
2106700C137,1
2106700A170,1
2106700B143,1
2106700B165,1
2106700B127,1
2106700A174,1
2106700A187,6
2106700C129,1
2106700C143,1
2106700C170,1
2106700C148,1
2106700A200,6
2106700C167,1
2106700C171,1
2106700C151,1
2106700B139,1
2106700A181,1
2106700B211,1
2116900B101,3
2113100A104,5
2101500C126,6
2101500C123,6
2106700A156,1
2106700A136,1
2106700B202,1
2101500C133,6
2101500B128,6
2101500B127,6
2117700B105,4
2117700A107,4
2117700A102,4
2117700E103,4
2117700E105,4
2117700D101,4
2117700D103,4
2117700A101,4
2117700C106,4
2117700C103,4
2117700D102,4
2117700D104,4
2117700B102,4
2117700B104,4
2117700B103,4
2106700B117,1
2106700B163,1
2106700C215,1
2106700A172,1
2101500A110,6
2101500A104,6
2101500A103,6
2101500B117,6
2101500B115,6
2104100A101,6
2104100C104,6
2114300B102,4
2114300X001,4
2114300B101,4
2114300C101,4
2114300A102,4
2106700C185,6
2106700C125,1
2106700C223,1
2106700C118,1
2106700A158,1
2106700A138,1
2106700C160,1
2106700C225,1
2115500H102,3
2115500E103,3
2102100C101,1
2102100B103,1
2113700D105,1
2102100B102,1
2105900H107,4
2105900H103,4
2105900A106,4
2105900A105,4
2105900C101,4
2105900D102,4
2105900D103,4
2117700E104,4
2117700E102,4
2117700E101,4
2101500A119,6
2101500C131,6
2101500C102,6
2101500C110,6
2121700E103,3
2121700D101,3
2121700C101,3
2121700D102,3
2121700C105,3
2105900A112,4
2105900A102,4
2121700A102,3
2121700E101,3
2121700D104,3
2121700E102,3
2115500A104,3
2115500D102,3
2115500D104,3
2115500E102,3
2115500A103,1
2115500C102,3
2115500A101,1
2122300B103,6
2102100D103,1
2102100C104,1
2102100D101,1
2111700C112,6
2111700C135,6
2111700C102,6
2111700A114,6
2111700A130,6
2111700A118,6
2111700A128,6
2111700A125,6
2103500B108,4
2104100B101,6
2104100C102,6
2123500B104,5
2123500D105,5
2123500A104,5
2103300A101,4
2111700C125,6
2111700C122,6
2111700A131,6
2105900F103,4
2105900F101,4
2117700A104,4
2117700A106,4
2120700C103,1
2120700C102,1
2120700C101,1
2120700E101,1
2120700E103,1
2120700B103,3
2120700E102,1
2120700B101,1
2120700B102,3
2103500B107,4
2103500A104,4
2117700B101,4
2112500F101,5
2112500F102,5
2107300B106,6
2107300B101,6
2107300D106,6
2120700D102,1
2117700C104,4
2103500D106,4
2103500D105,4
2103500D108,4
2117900A103,3
2117900B102,3
2120700A103,1
2120700A101,1
2120700A102,1
2107900E103,1
2107900A103,1
2107900A104,1
2107900D104,1
2115500H104,3
2115500H101,3
2115500C105,3
2114300C102,4
2103500A103,4
2103500C103,4
2102300E101,6
2102300C101,6
2102300B101,6
2121900C102,4
2121900E102,4
2111700C106,6
2111700C104,6
2111700C108,6
2111700A104,6
2111700A126,6
2111700A105,6
2111700C143,6
2111700A107,6
2111700A108,6
2111700A106,6
2115900A102,5
2115900A101,5
2115900B103,5
2115900D102,5
2121500B102,2
2121500B101,2
2121500D103,2
2117900C101,3
2117900C102,3
2121500D104,2
2121500A101,2
2121500D106,2
2121500D105,2
2104900B105,5
2117900C105,3
2117900A102,3
2117900E101,3
2117900D104,3
2101500A121,6
2101500A109,6
2101500A111,6
2101500A108,6
2101500A116,6
2112300D103,3
2112300D101,3
2110900B102,5
2111500A106,5
2111500B110,5
2111500A105,5
2107300F103,6
2107300A101,6
2107300E109,6
2107300E102,6
2107300B108,6
2107300E101,6
2107300F106,6
2121900E101,4
2115900C101,5
2123500C110,5
2110900A103,5
2110900A101,5
2121900C101,4
2121900A103,4
2110900B101,5
2121900D102,4
2121900D101,4
2121700F101,3
2117700C101,4
2112300B102,3
2104900F104,1
2104900C102,5
2104900B104,5
2101300E104,5
2101300E103,5
2108100B101,6
2115900D103,5
2112700D102,5
2103500C108,4
2103500A102,4
2103500A106,4
2103500B101,4
2103500B104,4
2113900D101,4
2113900D102,4
2101700H101,6
2101700H102,6
2112300D102,3
2115500E101,3
