GEOID,DISTRICT
30039000009,1
30039000002,1
30039000010,1
30039000001,1
30069000001,2
30085000002,2
30085000010,2
30085000012,2
30105000033,2
30105000031,2
30105000034,2
30053000011,1
30053000003,1
30053000010,1
30053000012,1
30053000005,1
30053000006,1
30053000002,1
30053000014,1
30053000013,1
30053000009,1
30035000008,1
30035000019,1
30035000010,1
30035000009,1
30035000015,1
30059000005,2
30017000003,2
30017000004,2
30017000008,2
30017000001,2
30017000002,2
30053000008,1
30053000001,1
30053000004,1
30049000033,1
30099000007,1
30057000020,2
300570001-1,1
30057000021,2
300570001-2,1
30055000008,2
30055000027,2
30055000004,2
30085000018,2
30079000004,2
30035000005,1
30035000011,1
30035000006,1
30035000002,1
30035000001,1
30035000007,1
30073000035,1
30085000027,2
30085000024,2
30017000006,2
30017000009,2
30017000011,2
30017000010,2
30017000005,2
30017000013,2
30017000012,2
30049000001,1
30049000006,1
30049000028,1
3004700POL3,1
300470000NA,1
3004700POL5,1
30049000005,1
30049000017,1
30049000015,1
30049000022,1
30077000007,1
30077000004,1
30077000003,1
30085000026,2
30085000022,2
30033000014,2
30033000019,2
30033000007,2
30033000001,2
30025000001,2
30035000012,1
30035000013,1
3003500021C,1
30035000003,1
30035000004,1
30057000007,1
300570015-1,1
30091000002,2
30091000005,2
30091000006,2
30091000001,2
30091000003,2
30091000004,2
30077000002,1
30077000012,1
30077000014,1
30077000010,1
30077000011,1
30077000001,1
30051000001,1
30051000003,2
30051000004,2
30051000002,2
30065000005,2
30065000001,2
30065000003,2
3006300098N,1
300630098TR,1
3006300098S,1
300630095He,1
30061000025,1
30061000030,1
30061000024,1
30061000026,1
30057000005,1
3006300092C,1
3006300089C,1
300630089LC,1
300630089CS,1
3006300089L,1
3006300092B,1
3006300089B,1
3006300097L,1
300570015-2,2
30061000022,1
30053000007,1
30073000024,1
30073000029,1
30073000019,1
30073000027,1
30041000014,2
30041000015,2
30041000018,2
30041000016,2
30041000008,2
30041000028,2
30041000007,2
30041000020,2
30041000021,2
300710011-N,2
300710011-S,2
30005000001,2
30073000020,1
30073000023,1
30073000034,1
30021000001,2
30021000007,2
30021000003,2
30021000004,2
30021000006,2
30021000002,2
30021000005,2
300630099CS,1
3006300096E,1
3006300095L,1
3006300091L,1
3006300094H,1
3006300094L,1
300630095Ha,1
30063091RsW,1
30041000001,2
30041000003,2
30041000009,2
3002305-77N,1
30023004-77,1
3002305-77S,1
3002304-78W,1
3002301-77W,1
30023001-78,1
3002302-77W,1
30023003-78,1
3002303-77E,1
30023002-78,1
3002303-77W,1
3002302-77E,1
3004700RON1,1
3004700CHA1,1
3004700STI1,1
3004700RON2,1
3004700STI2,1
30049000025,1
3004700PAB2,1
30049000030,1
30081000001,1
30081000003,1
30081000023,1
30081000024,1
30081000022,1
30081000008,1
30081000009,1
30081000005,1
30081000002,1
30081000004,1
30081000007,1
30081000011,1
30081000006,1
30081000016,1
30081000012,1
30081000018,1
3002304-78E,1
30063091RsE,1
3006300092P,1
3006300094E,1
30063098CSP,1
300630092Se,1
30005000010,2
30005000013,2
30005000003,2
30005000011,2
30041000025,2
30099000017,1
30037000001,2
30037000002,2
30107000003,2
30087000003,2
30087000006,2
30087000020,2
30005000015,2
30005000009,2
30015000004,2
30015000002,2
30015000007,2
30015000006,2
30099000006,1
30015000003,2
30015000001,2
30045000002,2
30077000005,1
30077000006,1
30077000016,1
30087000026,2
30087000010,2
30087000021,2
30081000019,1
30015000008,2
30015000009,2
30081000017,1
30081000015,1
30065000007,2
30065000006,2
30065000008,2
300630095SC,1
30049000002,1
30049000021,1
30049000010,1
30049000029,1
3004700DAY1,1
3004700BEA2,1
30081000010,1
30081000020,1
3002301-77E,1
30079000002,2
30079000003,2
30079000001,2
30017000014,2
3004700ARL1,1
300630097TR,1
300630097PC,1
3006300096F,1
3006300096W,1
300630090CC,1
3006300090E,1
3006300090W,1
30041000022,2
300630091SC,1
30063100SJW,1
30001000020,1
30001000023,1
30001000021,1
30001000017,1
30001000019,1
30001000008,1
30001000003,1
30001000005,1
30001000002,1
30001000001,1
30001000004,1
30049000031,1
30049000032,1
30043009-75,1
30043008-75,1
30043003-75,1
30043006-75,1
30043004-75,1
30043005-75,1
30043007-75,1
3004700PAB1,1
3004700POL4,1
30049000011,1
30049000020,1
30061000027,1
30089000005,1
3010100Sh-1,1
3010100Sh-6,1
3010100Ke-1,1
30089000003,1
30089000004,1
30045000001,2
30045000004,2
30045000003,2
30027000004,2
30027000014,2
3004700POL7,1
3004700POL8,1
30027000008,2
30027000002,2
30027000006,2
30027000007,2
30027000011,2
30027000013,2
30027000017,2
30027000010,2
30027000003,2
30027000009,2
30027000016,2
30027000005,2
30027000018,2
30027000012,2
3010100Su-1,1
30081000013,1
30049000013,1
30043002-75,1
30043001-71,1
3003100069A,2
3003100069C,2
3003100069D,2
3003100069B,2
30007000013,2
300630099RN,1
30001000012,1
30001000006,1
30001000014,1
3006300089P,1
30063100SJE,1
30001000007,1
3006300097H,1
30011000003,2
30011000014,2
30011000001,2
3003100064C,2
3003100064B,2
3003100061D,2
3003100064D,2
3003100068A,2
3003100066B,2
3003100063C,2
3003100066A,2
3003100059A,2
3003100061A,2
3003100067A,2
30075000011,2
30075000012,2
30075000003,2
30075000005,2
30075000009,2
30075000004,2
30075000008,2
30083000019,2
30083000005,2
30083000007,2
30083000009,2
30083000017,2
30083000023,2
