GEOID,DISTRICT
370210001.1,31
370210053.1,65
370210068.1,65
370210022.2,31
370210027.2,31
370210058.1,31
370210059.1,66
37191000004,113
37191000026,38
37191002530,38
3706100CALY,38
37191000028,38
37191000002,96
370210066.1,66
37143BETHEL,42
370210044.1,13
370210024.1,13
370210048.1,65
370210038.3,30
370210036.1,66
37111FORT-1,66
37111FORT-2,66
370210060.2,13
37035000019,24
37035000006,11
37035000002,92
370230029-B,86
370230029-A,86
3710900NB35,92
37035000030,40
37035000014,24
37035000032,24
37035000001,104
370210002.1,31
37035000017,24
37035000026,24
37035000024,24
37023000012,74
37023000013,74
37023000015,24
371350000SM,99
371350000CP,27
37063000044,99
371350000HE,27
37135000ENO,28
37063000045,10
37063000050,10
37153000004,115
370210011.1,31
370210045.1,65
370210039.2,30
370210039.3,66
370210037.1,30
370210003.1,31
370210054.2,13
370210018.2,13
370890000FL,30
370210052.1,65
37035000016,24
37035000029,40
37035000012,24
37035000023,24
371050000D1,121
371050000D2,32
371050000C1,32
371050000C2,32
371350000WD,3
37135000WDS,3
37153000009,115
371050000E1,32
371050000E2,32
3708500PR23,51
3708500PR26,51
3708500PR24,41
3710100PR14,41
3708500PR25,41
3708500PR29,41
370210047.1,65
37143PARKVI,42
37143NEW-HO,42
3706100WOLF,38
370210025.1,13
370210008.3,13
370210060.4,13
370210008.2,13
370210034.1,66
3706100MAGN,59
3716300ROWA,59
3716300INGO,59
3706100BEUL,59
37107000PH2,76
3706100KENA,59
37135000CS1,27
37153000008,111
37165006-89,111
37153000005,115
37165001-16,111
37155000019,111
3703100NPT2,33
3703100NPT1,33
3703100IBSP,33
3703100MHD2,33
3703100ABCH,33
3703100MHD1,33
3708500PR07,51
3706100WALL,59
3706100ROSE,59
3706100WARS,59
3716300TURK,59
3706100FAIS,59
3716300GIDD,59
3706100GLIS,59
37165000004,111
37165000003,111
37017000P80,98
37017000P45,98
3701700P202,98
37017000P55,98
3713300BC21,29
3713300ML23,29
37103000P07,29
3713300NR02,55
37143NICANO,42
37035000013,24
371350000NS,3
371350000WW,3
37019000016,43
370190004B2,87
3701900004A,87
37129000W03,87
37129000W26,87
37019000021,87
37019000007,43
37019000017,43
37019000019,43
37019000008,43
37019000020,43
37019000015,43
37153000002,115
37153000001,115
37153000013,115
37165002-25,111
371350000KM,3
37035000031,104
37035000008,24
371350000LC,3
37191000013,38
37191000007,76
37191000001,113
37191001920,38
37191000029,38
37191000012,38
37057000062,93
37057000066,93
37123000LIT,88
37055000KDH,68
370550000EL,68
3705500AVON,68
3705500KTHK,68
3705500SOSH,68
370210023.3,31
370210021.1,31
370210023.2,31
370210014.3,31
370210042.1,31
370210067.1,31
370210012.1,13
370210033.3,66
37119000202,94
37119000206,107
37119000201,89
37119000097,73
37119000114,80
37119000134,94
37119000087,80
371190223.1,105
37119000011,102
37119000019,97
37119000227,18
37119000208,104
370970DV1-B,104
370970DV2-B,107
371190139.1,18
37119000236,89
371350000GB,27
371350000OG,27
3700100009S,27
371350000WH,27
3713500000H,27
371350000EF,27
37153000010,111
371350000CW,99
37063000025,99
37063000026,99
3707700BERE,99
37069000013,114
37035000041,104
37035000020,92
37035000037,24
37035000003,24
37035000040,24
37035000035,24
37035000025,24
3710100PR09,64
371010PR29B,64
3710100PR13,41
3710100PR34,64
3710100PR08,64
3710100PR36,113
37083000HPR,110
3710100PR20,114
37183009-02,114
3710100PR35,41
3716300PLVW,41
3708500PR31,51
37119000237,16
371190204.1,16
37119000041,102
37119000081,102
37119000133,94
37119000054,100
37119000148,80
37119000062,34
3707700BTNR,99
3707700CORI,106
3707700SOOX,106
37173ALMOND,8
3707500EAST,8
37113000015,8
3707500STEC,8
37173000BC1,8
37173000BC2,8
37099000SDC,53
37099000QUA,53
370870000IH,53
37113000003,8
37113000007,8
371050000A1,32
371050000A2,32
3708500PR01,51
37051SL78-3,52
3708500PR08,7
3712700P02A,114
3712700P23A,44
3712700P17A,112
3712700P16A,112
3712700P04A,44
3712700P11A,112
3712700P14A,112
3712700P10A,112
3712700P03A,114
37153000006,115
37057000056,109
3708300ENF1,112
3712700P13A,112
371170000GN,110
370150000RX,110
370150000WD,110
370830BUTWD,112
37185000009,112
370830LIT-2,112
37185000001,112
37131LAKE-G,112
3708300RR-3,112
37083000RRC,112
37049000011,54
37049000007,54
37049000002,33
3703100STEL,33
37049000003,54
3704900VE14,77
37147000601,77
3712700P08A,44
3707700CRDL,106
3713300JA01,29
3713300BM08,55
371330NE22A,29
3713300VR15,55
3713300HU20,29
371330NE22B,29
3713300EN03,55
37035000034,24
3717300WHCH,53
3708500PR20,51
3705100LI65,51
3708500PR28,51
37183012-02,35
3708500PR32,51
37119000203,89
37119000216,61
37119000232,18
3710900IS23,92
37161000011,72
3716100006A,30
3714900CG05,30
37191000009,38
37191000015,76
37191000010,38
37191000024,38
3710100PR04,41
37057000058,109
37057000008,93
37057000020,93
37057000052,109
37057000016,91
37067000042,91
370210064.1,66
370210009.1,13
370210057.1,13
370210031.1,13
370210055.1,13
37119000224,105
37119000050,97
37119000069,80
37119000023,102
37119000063,61
37119000104,34
37119000229,73
37119000243,14
3712700P21A,44
3712700P19A,44
37037000018,121
37125000CAR,121
37037000020,32
371050000B1,32
37183006-10,35
37037MCH110,27
37037NWM117,3
371350000WC,27
37037000085,121
371510000SE,121
37037000030,121
37119000132,20
3716100005A,72
3710900LS12,92
3710900DW28,104
37161000028,72
37161000030,72
37161000013,72
3710900TA37,104
37057000054,93
371510000TB,93
37057000074,93
37057000048,108
37057000070,93
37123000CHE,115
3712700P20A,44
3712700P24A,44
3714900WO06,72
37161000018,72
3714900CL07,72
3714900SA04,30
370890000RR,30
37057000032,108
37057000004,91
37057000076,93
371510000TR,95
370830RR-10,112
37083WEL1-2,112
370830LIT-1,112
3704900DFB9,76
3704900CFB8,76
37147001001,77
3710700000C,96
37049000017,54
370490000N2,54
37037000015,121
37037000078,90
37037ESC114,121
37037000042,35
37037000006,121
37037000045,121
37099000GCK,53
37099000CUL,53
370210013.1,13
3714700800B,96
3714701512A,96
37119000022,102
37119000207,94
37119000242,104
37119000043,34
37119000136,2
37119000211,83
37119000241,83
37017000P65,98
37017000P10,98
37119000031,102
37119000088,80
37119000230,73
37119000205,16
37025001-04,89
37119000209,105
3710100PR22,64
37119000145,20
37119000239,20
37025002-09,20
37119000094,61
37119000141,16
37119000105,20
3714900CL08,72
37035000005,11
3714701513A,22
37119000213,83
37119000093,80
371750000CM,26
371750000BD,26
371750000WC,26
371750000PF,26
37147001501,22
371750000B4,26
371750000RE,26
37119000013,100
37119000026,100
37123000UWH,115
37123000PEE,115
37123000STA,88
37125000WEM,88
371230000T1,115
37123000CAN,115
37113000002,8
37113000014,8
37113000010,8
370210030.3,26
370210030.2,13
370890000NM,26
370210071.1,31
37147000301,96
37119000220,61
37119000058,97
37119000099,2
37119000233,2
37119000009,97
37119000140,80
37119000109,100
37155000002,101
3715500032A,101
37155000023,101
37155000022,101
37155000016,101
37017000P60,101
3701700P201,98
37047000P15,98
37119000231,80
37017000P25,98
37047000P18,98
37017000P40,98
3700300LRSL,40
3700300T2T3,40
37019000006,43
37019000022,43
37019000023,43
37099000SAV,53
37113000012,8
3704300SHCR,8
3703100BFT2,33
3703100EMIS,33
3713300SW19,29
3703100BFT1,33
3703100DASW,33
3703100BOGU,33
3704700P22A,98
3704700P20A,98
3704700P01A,98
37047000P24,98
3704700P26B,98
3704700P16B,98
37047000P09,98
37047000P08,98
37023000051,86
37009000009,12
37093000063,111
37093000061,111
37155000039,101
37185000010,5
371070000K6,76
3710700000W,76
37103000P06,76
