GEOID,DISTRICT
370210001.1,22
370210053.1,22
370210068.1,22
370210022.2,22
370210027.2,22
370210058.1,22
370210059.1,22
37191000004,14
37191000026,51
37191002530,51
3706100CALY,51
37191000028,51
37191000002,14
370210066.1,4
37143BETHEL,2
370210044.1,22
370210024.1,22
370210048.1,22
370210038.3,4
370210036.1,29
37111FORT-1,29
37111FORT-2,29
370210060.2,4
37035000019,37
37035000006,37
37035000002,39
370230029-B,7
370230029-A,7
3710900NB35,39
37035000030,37
37035000014,37
37035000032,37
37035000001,37
370210002.1,22
37035000017,37
37035000026,37
37035000024,37
37023000012,7
37023000013,37
37023000015,37
371350000SM,42
371350000CP,42
37063000044,46
371350000HE,42
37135000ENO,42
37063000045,46
37063000050,13
37153000004,44
370210011.1,22
370210045.1,22
370210039.2,29
370210039.3,4
370210037.1,29
370210003.1,22
370210054.2,4
370210018.2,4
370890000FL,4
370210052.1,22
37035000016,37
37035000029,37
37035000012,37
37035000023,37
371050000D1,27
371050000D2,27
371050000C1,27
371050000C2,27
371350000WD,42
37135000WDS,42
37153000009,44
371050000E1,27
371050000E2,27
3708500PR23,50
3708500PR26,50
3708500PR24,50
3710100PR14,51
3708500PR25,50
3708500PR29,50
370210047.1,4
37143PARKVI,2
37143NEW-HO,2
3706100WOLF,51
370210025.1,22
370210008.3,4
370210060.4,4
370210008.2,4
370210034.1,29
3706100MAGN,51
3716300ROWA,51
3716300INGO,51
3706100BEUL,20
37107000PH2,51
3706100KENA,51
37135000CS1,42
37153000008,44
37165006-89,44
37153000005,44
37165001-16,44
37155000019,23
3703100NPT2,24
3703100NPT1,24
3703100IBSP,24
3703100MHD2,24
3703100ABCH,24
3703100MHD1,24
3708500PR07,27
3706100WALL,51
3706100ROSE,51
3706100WARS,51
3716300TURK,51
3706100FAIS,51
3716300GIDD,51
3706100GLIS,51
37165000004,44
37165000003,44
37017000P80,23
37017000P45,23
3701700P202,23
37017000P55,26
3713300BC21,24
3713300ML23,24
37103000P07,24
3713300NR02,20
37143NICANO,2
37035000013,37
371350000NS,42
371350000WW,42
37019000016,26
370190004B2,26
3701900004A,26
37129000W03,26
37129000W26,26
37019000021,26
37019000007,26
37019000017,26
37019000019,26
37019000008,26
37019000020,26
37019000015,26
37153000002,44
37153000001,44
37153000013,44
37165002-25,23
371350000KM,42
37035000031,40
37035000008,37
371350000LC,42
37191000013,14
37191000007,14
37191000001,14
37191001920,51
37191000029,14
37191000012,14
37057000062,10
37057000066,10
37123000LIT,44
37055000KDH,2
370550000EL,2
3705500AVON,2
3705500KTHK,2
3705500SOSH,2
370210023.3,22
370210021.1,22
370210023.2,22
370210014.3,22
370210042.1,22
370210067.1,22
370210012.1,22
370210033.3,29
37119000202,34
37119000206,34
37119000201,11
37119000097,8
37119000114,28
37119000134,34
37119000087,28
371190223.1,38
37119000011,38
37119000019,8
37119000227,28
37119000208,40
370970DV1-B,40
370970DV2-B,40
371190139.1,28
37119000236,11
371350000GB,42
371350000OG,42
3700100009S,42
371350000WH,42
3713500000H,42
371350000EF,42
37153000010,44
371350000CW,46
37063000025,46
37063000026,46
3707700BERE,46
37069000013,47
37035000041,40
37035000020,39
37035000037,37
37035000003,39
37035000040,37
37035000035,37
37035000025,37
3710100PR09,47
371010PR29B,47
3710100PR13,48
3710100PR34,47
3710100PR08,51
3710100PR36,51
37083000HPR,21
3710100PR20,47
37183009-02,47
3710100PR35,51
3716300PLVW,50
3708500PR31,50
37119000237,11
371190204.1,11
37119000041,38
37119000081,38
37119000133,34
37119000054,38
37119000148,28
37119000062,35
3707700BTNR,46
3707700CORI,45
3707700SOOX,45
37173ALMOND,9
3707500EAST,9
37113000015,9
3707500STEC,9
37173000BC1,9
37173000BC2,9
37099000SDC,9
37099000QUA,9
370870000IH,9
37113000003,9
37113000007,9
371050000A1,27
371050000A2,27
3708500PR01,27
37051SL78-3,27
3708500PR08,50
3712700P02A,47
3712700P23A,21
3712700P17A,21
3712700P16A,21
3712700P04A,47
3712700P11A,21
3712700P14A,21
3712700P10A,45
3712700P03A,47
37153000006,44
37057000056,43
3708300ENF1,21
3712700P13A,21
371170000GN,21
370150000RX,21
370150000WD,21
370830BUTWD,21
37185000009,45
370830LIT-2,21
37185000001,45
37131LAKE-G,21
3708300RR-3,21
37083000RRC,21
37049000011,24
37049000007,24
37049000002,24
3703100STEL,24
37049000003,24
3704900VE14,30
37147000601,30
