GEOID,DISTRICT
370210001.1,2
370210053.1,2
370210068.1,2
370210022.2,2
370210027.2,2
370210058.1,2
370210059.1,2
37191000004,3
37191000026,4
37191002530,4
3706100CALY,4
37191000028,4
37191000002,3
370210066.1,5
37143BETHEL,6
370210044.1,2
370210024.1,2
370210048.1,2
370210038.3,5
370210036.1,7
37111FORT-1,7
37111FORT-2,7
370210060.2,5
37035000019,8
37035000006,9
37035000002,8
370230029-B,8
370230029-A,8
3710900NB35,9
37035000030,9
37035000014,8
37035000032,9
37035000001,9
370210002.1,2
37035000017,8
37035000026,8
37035000024,8
37023000012,8
37023000013,8
37023000015,8
371350000SM,10
371350000CP,11
37063000044,10
371350000HE,11
37135000ENO,11
37063000045,10
37063000050,10
37153000004,12
370210011.1,2
370210045.1,2
370210039.2,5
370210039.3,5
370210037.1,7
370210003.1,2
370210054.2,5
370210018.2,5
370890000FL,5
370210052.1,2
37035000016,8
37035000029,9
37035000012,8
37035000023,9
371050000D1,13
371050000D2,13
371050000C1,13
371050000C2,13
371350000WD,11
37135000WDS,11
37153000009,12
371050000E1,13
371050000E2,13
3708500PR23,13
3708500PR26,14
3708500PR24,15
3710100PR14,15
3708500PR25,14
3708500PR29,14
370210047.1,2
37143PARKVI,6
37143NEW-HO,6
3706100WOLF,4
370210025.1,2
370210008.3,5
370210060.4,5
370210008.2,5
370210034.1,7
3706100MAGN,4
3716300ROWA,4
3716300INGO,4
3706100BEUL,4
37107000PH2,4
3706100KENA,4
37135000CS1,11
37153000008,12
37165006-89,12
37153000005,12
37165001-16,16
37155000019,16
3703100NPT2,17
3703100NPT1,17
3703100IBSP,17
3703100MHD2,17
3703100ABCH,17
3703100MHD1,17
3708500PR07,13
3706100WALL,4
3706100ROSE,4
3706100WARS,4
3716300TURK,4
3706100FAIS,4
3716300GIDD,4
3706100GLIS,4
37165000004,16
37165000003,16
37017000P80,16
37017000P45,14
3701700P202,16
37017000P55,18
3713300BC21,19
3713300ML23,19
37103000P07,17
3713300NR02,19
37143NICANO,6
37035000013,8
371350000NS,11
371350000WW,11
37019000016,18
370190004B2,18
3701900004A,18
37129000W03,20
37129000W26,20
37019000021,18
37019000007,18
37019000017,18
37019000019,18
37019000008,18
37019000020,18
37019000015,18
37153000002,12
37153000001,12
37153000013,12
37165002-25,16
371350000KM,11
37035000031,21
37035000008,9
371350000LC,11
37191000013,3
37191000007,3
37191000001,3
37191001920,3
37191000029,3
37191000012,3
37057000062,22
37057000066,22
37123000LIT,12
37055000KDH,6
370550000EL,6
3705500AVON,6
3705500KTHK,6
3705500SOSH,6
370210023.3,2
370210021.1,2
370210023.2,2
370210014.3,2
370210042.1,2
370210067.1,2
370210012.1,2
370210033.3,7
37119000202,23
37119000206,23
37119000201,24
37119000097,25
37119000114,25
37119000134,23
37119000087,25
371190223.1,38
37119000011,26
37119000019,27
37119000227,25
37119000208,23
370970DV1-B,21
370970DV2-B,21
371190139.1,25
37119000236,24
371350000GB,11
371350000OG,11
3700100009S,11
371350000WH,11
3713500000H,11
371350000EF,11
37153000010,12
371350000CW,10
37063000025,10
37063000026,10
3707700BERE,10
37069000013,28
37035000041,21
37035000020,9
37035000037,8
37035000003,9
37035000040,9
37035000035,9
37035000025,9
3710100PR09,15
371010PR29B,15
3710100PR13,15
3710100PR34,15
3710100PR08,3
3710100PR36,3
37083000HPR,29
3710100PR20,15
37183009-02,30
3710100PR35,15
3716300PLVW,14
3708500PR31,13
37119000237,24
371190204.1,24
37119000041,26
37119000081,26
37119000133,23
37119000054,26
37119000148,25
37119000062,27
3707700BTNR,10
3707700CORI,28
3707700SOOX,28
37173ALMOND,31
3707500EAST,31
37113000015,31
3707500STEC,31
37173000BC1,31
37173000BC2,31
37099000SDC,31
37099000QUA,31
370870000IH,31
37113000003,31
37113000007,31
371050000A1,13
371050000A2,13
3708500PR01,13
37051SL78-3,32
3708500PR08,33
3712700P02A,28
3712700P23A,29
3712700P17A,29
3712700P16A,29
3712700P04A,3
3712700P11A,29
3712700P14A,29
3712700P10A,29
3712700P03A,28
37153000006,12
37057000056,34
3708300ENF1,29
3712700P13A,29
371170000GN,29
370150000RX,29
370150000WD,29
370830BUTWD,29
37185000009,29
370830LIT-2,29
37185000001,29
37131LAKE-G,29
3708300RR-3,29
37083000RRC,29
37049000011,17
37049000007,17
37049000002,17
3703100STEL,17
37049000003,17
3704900VE14,17
37147000601,35
3712700P08A,29
3707700CRDL,28
3713300JA01,19
3713300BM08,19
371330NE22A,19
3713300VR15,19
3713300HU20,19
371330NE22B,19
3713300EN03,19
37035000034,9
3717300WHCH,31
3708500PR20,14
3705100LI65,14
3708500PR28,13
37183012-02,33
3708500PR32,13
37119000203,24
37119000216,27
37119000232,25
3710900IS23,9
37161000011,7
3716100006A,7
3714900CG05,7
37191000009,3
37191000015,4
37191000010,3
37191000024,4
3710100PR04,15
37057000058,37
37057000008,37
37057000020,22
37057000052,37
37057000016,22
37067000042,22
370210064.1,5
370210009.1,2
370210057.1,5
370210031.1,5
370210055.1,5
37119000224,38
37119000050,26
37119000069,25
37119000023,26
37119000063,27
37119000104,24
37119000229,38
37119000243,38
3712700P21A,29
3712700P19A,29
37037000018,13
37125000CAR,13
37037000020,13
371050000B1,13
37183006-10,33
37037MCH110,11
37037NWM117,11
371350000WC,11
37037000085,39
371510000SE,12
37037000030,13
37119000132,24
3716100005A,36
3710900LS12,9
3710900DW28,9
37161000028,7
37161000030,7
37161000013,7
3710900TA37,23
37057000054,22
371510000TB,39
37057000074,22
37057000048,37
37057000070,22
37123000CHE,12
3712700P20A,29
3712700P24A,29
3714900WO06,7
37161000018,7
3714900CL07,7
3714900SA04,5
370890000RR,5
37057000032,37
37057000004,37
37057000076,22
371510000TR,22
370830RR-10,29
37083WEL1-2,29
370830LIT-1,29
3704900DFB9,17
3704900CFB8,17
37147001001,35
3710700000C,35
37049000017,17
370490000N2,17
37037000015,11
37037000078,11
37037ESC114,13
37037000042,40
37037000006,12
37037000045,13
37099000GCK,31
37099000CUL,31
370210013.1,2
3714700800B,35
3714701512A,35
37119000022,26
37119000207,23
37119000242,23
37119000043,24
37119000136,27
37119000211,23
37119000241,23
37017000P65,18
37017000P10,16
37119000031,26
37119000088,25
37119000230,38
37119000205,24
37025001-04,24
37119000209,23
3710100PR22,3
37119000145,41
37119000239,23
37025002-09,41
37119000094,27
37119000141,24
37119000105,24
3714900CL08,7
37035000005,9
3714701513A,35
37119000213,26
37119000093,25
371750000CM,5
371750000BD,5
371750000WC,5
371750000PF,31
37147001501,35
371750000B4,5
371750000RE,31
37119000013,26
37119000026,26
37123000UWH,12
37123000PEE,12
37123000STA,12
37125000WEM,12
371230000T1,12
37123000CAN,12
37113000002,31
37113000014,31
37113000010,31
370210030.3,5
370210030.2,5
370890000NM,5
370210071.1,2
37147000301,35
37119000220,27
37119000058,26
37119000099,27
37119000233,27
37119000009,26
37119000140,25
37119000109,26
37155000002,16
3715500032A,16
37155000023,16
37155000022,16
37155000016,16
37017000P60,16
3701700P201,16
37047000P15,16
37119000231,25
37017000P25,16
37047000P18,16
37017000P40,16
3700300LRSL,42
3700300T2T3,42
37019000006,18
37019000022,18
37019000023,18
37099000SAV,31
37113000012,31
3704300SHCR,31
3703100BFT2,17
3703100EMIS,17
3713300SW19,19
3703100BFT1,17
3703100DASW,17
3703100BOGU,17
3704700P22A,16
3704700P20A,16
3704700P01A,18
37047000P24,16
3704700P26B,16
3704700P16B,18
37047000P09,16
37047000P08,16
37023000051,7
37009000009,42
37093000063,32
37093000061,32
37155000039,16
37185000010,28
371070000K6,4
3710700000W,4
37103000P06,4
37107000PH1,4
3703100CISL,17
3703100ATSL,17
370870000EF,31
3714500PNTH,10
3708700WS-2,31
37009000020,42
37009000014,42
37009000012,42
37009000011,42
37023000014,8
37023000036,8
37023000035,8
37023000065,8
370870000AC,31
37093000062,32
37119000016,26
37069000019,28
37069000009,28
37049000020,17
371370001RB,17
3704900TE13,17
37049000019,17
37049000021,17
370490000N4,17
37049000016,17
3719500PRWB,3
3719500PRWL,3
3719500PRTO,3
3719500PRWN,3
3719500PRWJ,3
3719500PRCR,3
3719500PRSP,3
3703100MCRK,17
3703100BCRK,17
3703100WILD,17
3703100CCCP,19
3703100MERR,17
37009000004,42
37009000015,42
3700500006A,42
37193000125,42
37017000P30,18
3704700P02B,18
37047000P14,18
3703100MASM,17
3700300S1S2,42
3719500PRWQ,3
3719500PRWI,3
3719500PRTA,3
3703100MHD4,17
3710900ST36,9
37035000009,9
3716100016A,7
37111M.COVE,7
3716100004A,7
3710900LI14,9
3710900SL24,9
37161000014,7
37161000029,7
37023000052,7
37023000001,8
37009000007,42
3708700CL-S,31
3708700CL-N,31
3714500ALVI,10
3714500CUCL,10
3714500WDSD,10
370870000BC,31
37093000012,32
37171000031,43
37171000019,43
37171000023,43
3719500PRBL,3
37023000031,8
37023000021,8
37023000024,8
3701700P501,16
3702700PR33,8
3702700PR25,8
37171000029,42
37017000P15,16
3713300RL09,4
37093000013,32
37155000010,16
37155000021,16
370510G9B-1,32
37155000008,16
37155000009,16
37037PIT113,13
37037000009,13
3714701508A,35
3714701508B,35
37119000137,25
37069000015,28
37069000003,28
37069000008,28
37069000005,28
37069000016,28
37069000001,28
3700300000E,8
371510000AW,39
371510000SO,12
371510000DR,39
371510000GR,39
371510000PR,39
371510000AE,39
371570000DR,44
37161000027,7
3702700PR32,42
3702700PR21,8
37023000066,8
3702700PR22,8
37111DYSART,7
3700300000W,9
37093000064,32
3702700PR34,8
3702700PR35,8
3702700PR14,8
3701300RVRD,17
371570000MS,44
3716100009A,7
3714900GC09,7
37037000075,40
37037000024,13
37009000006,42
37023000040,8
37023000022,8
37069000018,28
37069000011,28
3710100PR37,15
3710100PR07,3
37191000003,3
3710100PR25,15
3710100PR26,15
37165005-10,12
370130AUROR,17
370130WASH4,35
371170000R2,35
371170000BG,35
3701300TCRK,35
3701300OLDF,35
370130EDWAR,17
370130BELHV,6
371170000CR,35
37147000401,35
3714701504A,35
3714701504B,35
3714701505B,35
37171000030,42
37171000005,43
3713300FS16,19
3713300HR17,19
3713300MT24,19
3714100SC13,19
3714100UH08,4
3714100SP15,19
3719500PROL,3
3712700P01A,3
3719500PRWE,3
3719500PRWM,3
3719500PRGA,3
371010PR31A,15
371010PR10A,15
371010PR10B,15
371010PR11B,15
371010PR29A,15
371010PR27A,15
371010PR27B,15
3710100PR30,15
3703300LEAS,10
37119000146,24
37119000225,25
37119000151,23
37119000065,27
37099000SCC,31
37047000P07,16
37113000013,31
37093000002,16
3715500026A,16
371070000K2,4
371570000EC,44
371570000WS,46
371510000LC,39
371510000UG,12
371570000RC,44
37115MARS-H,2
37019000005,18
37019000001,18
370830000SN,29
37099000BCK,31
37119000135,23
37119000014,26
37119000098,26
37183016-06,47
37183017-13,30
37183017-12,30
37183017-04,30
37183004-11,40
3704900N3N5,17
37155000041,16
37155000014,16
37183001-11,48
37183004-20,40
37183010-04,15
37183020-15,51
37183020-17,40
37183020-14,40
37183020-16,40
37183001-20,47
37183019-13,30
37183019-14,30
37183019-15,28
37183019-05,28
370150000M2,29
371510000AR,39
3712700P15A,29
3712700P07A,29
37083000HAL,29
37071000014,36
37071000039,9
37057000028,37
37103000P05,19
37103000P01,4
3705500STPT,6
371390NORTH,6
37057000046,37
37057000082,37
3708100MON1,44
37081000G06,44
3713900EAST,6
37183001-45,48
37183001-40,47
37071000023,38
37023000011,8
370030000B1,8
3719700BNVL,43
3719700SKNB,42
3702700PR01,8
3702700PR18,8
37057000012,34
370510G9B-2,14
37051000G9A,14
370510G3A-1,14
370510G3A-2,14
37051000G8D,32
3705100CC12,14
3705100CC14,14
3705100CC07,14
3706100ALBE,4
37019000014,18
37019000013,18
3701900010A,18
3701900010B,18
37057000088,22
37081000H15,22
37057000018,34
37057000072,22
37057000060,22
37081000H22,22
37081NCLAY2,39
3708100JEF1,44
370810NWASH,45
37081000G35,49
37167000026,34
37081000G52,39
37001000127,45
3700100012N,45
37001000013,45
3700100006E,45
37001000063,45
3719903-EGY,7
37183010-03,30
37183004-05,40
37071000021,36
37003T1T4T5,9
37183017-11,30
37183001-50,47
37183010-02,30
37183008-02,48
37183020-08,40
37183001-15,48
37183001-49,47
3705100CC33,32
3705100CC01,14
37125000PBF,12
37125000LTR,13
37125000PHC,12
37125000EAB,12
37125000PDN,12
37093000004,12
37169000017,46
37169000015,46
37169000007,43
371510000BC,39
371510000AS,39
371510000LB,39
37001000001,39
370130000HB,17
37081000H04,22
3708100JAM5,39
37169000004,43
37169000020,46
37169001819,46
37169001618,46
37095000ENG,6
37169000009,43
371370003BY,17
370510G2C-2,14
37051000G2A,14
370510G2E-2,14
37051000G2B,14
370510G2C-1,14
3705100G11B,32
37051000G2D,14
3705100CC17,14
370510G2E-1,14
370510G5A-2,32
370510G5B-1,32
370510G5A-1,32
37051000G5C,32
370510G5B-2,32
37051000G8A,32
37051000G8B,32
37051000G8C,32
3705100AH49,32
37051000G6A,14
37051000G6C,14
37051000G6B,14
37017000P70,16
3716300CLEM,14
37071000017,36
371170000R1,35
371170000HM,35
3711700000J,6
370130PINET,17
370150000MH,6
371570000HO,44
37081000FR4,49
37081000H09,22
37081000H08,22
37081000G29,49
37169000008,43
37169000013,43
37169000012,43
37081000RC2,45
37125000WAB,12
37125000WND,12
37037000003,39
37019000002,18
37189000011,42
37189000014,42
37115LAUREL,2
37001000002,45
37001000005,45
3703300ANDE,45
3703300STON,45
37001000011,45
371350000CA,45
370330000PH,45
37001000007,45
3700100008S,11
37071000025,38
37071000028,38
37071000029,38
3713704VM-A,17
3713704MSIC,17
371510000NM,39
371510000RN,39
371510000RM,39
37193000106,42
37189000005,42
37081000G61,49
37081000G48,49
37081000G50,49
37081000H01,22
37081000PG2,39
37155000035,16
37185000012,29
370130BEADM,17
37193000124,42
37171000001,42
37193000107,42
37193000128,42
37193000103,42
37193000122,42
3719700SBCK,21
370810MON2B,44
370810MON2A,44
37081000FR1,49
371150BEECH,2
370210051.2,2
371510000ST,39
37051CL57-1,32
3705100CC27,32
3705100G10C,32
3705100G10A,32
3705100G10B,32
37125000VSS,13
3712500EKWD,12
3712500WKWD,12
37125000CAM,13
37051CL57-2,32
37051000G3B,14
37051000G3C,14
3705100LR63,32
3710900HC33,9
3710900OB21,9
3710900LN11,9
3706100ROCK,4
3716300HARR,4
3706100CYCK,4
3713300CL10,19
3713300NM13,19
3706100SMCA,4
3714500SWST,10
3708700WS-1,31
3714500ROX4,10
37065001001,29
3715500018A,16
3719901-BUR,7
3719908-CRA,7
37065001203,29
37065001204,29
37065000101,29
370870000CR,31
3708700FC-2,31
3713300HN14,19
370950000BM,6
370130PANTE,6
37183004-18,40
37183001-23,47
3712700P05A,3
37081000G75,39
37081000SF1,44
37081000OR1,46
37081000G47,49
37081000G74,44
37167000010,34
37167000013,34
37167000023,34
37081000G53,39
3708100SMAD,44
37081000G65,49
37081000G51,49
37167000008,34
37167000015,12
3708100JEF2,44
37081000G72,44
371150SOUTH,2
37115WALNUT,2
37019000011,18
3701300WDPD,17
371170000W2,35
370150000W1,6
370130WASHP,17
3708100SDRI,49
37081000G64,49
3708100SUM2,39
3708100H19A,22
37081000G15,49
37081000GIB,45
37167000017,34
37159000022,34
37081NCLAY1,39
3713300TL06,19
3713300GB12,19
371570000SE,45
371570000HU,46
371570000MC,44
370890000SW,5
3708100MON3,44
371570000IR,44
37081000G44,49
37081000G67,44
37081000G32,49
37081000H03,22
370810000GR,39
3714100PL10,4
3714100UU17,4
3708700000P,31
3708700BE-1,31
3708700BE-3,2
3714500MTTZ,10
37063000028,10
370890000RG,5
370890000SE,5
3708900HV-2,5
370890000SB,5
370890000GR,5
3714500RCTL,10
37057000024,37
37057000036,37
37057000050,37
3716300AUTR,14
37179000009,50
37179000006,50
3717900020B,25
37179000043,50
37179000039,50
37179000015,50
37179000040,50
37179000008,50
3717900029C,50
3701300NCRK,17
370130SURBA,17
37045000S-C,36
3704500KM-S,36
37045GROVER,36
370450MULLS,36
370450CASAR,8
3716100010A,7
37045SHANGI,36
3704500S-4A,36
3704500LATT,36
3714100UT14,20
37067000132,43
3712900CF02,20
37129000H12,20
37129000H13,20
3712900CF01,20
37019000003,18
3714100GR06,18
3716300MING,14
37129000H11,20
37129000H10,20
37129000W27,20
37129000H08,20
37129000H02,20
3716300LAKE,14
3716300ROSE,14
37081000H28,49
3708100H29B,49
3708100H29A,49
37009000013,42
3702700PR02,8
37123000ELD,12
37057000022,37
37057000038,37
37057000006,37
37067000606,46
37067000906,43
37067000021,46
3714100CL05,4
37155000003,16
371170000GR,35
37019000018,18
37001000035,45
37001000064,45
37001000128,45
3702700PR13,8
3702700PR07,8
37023000062,7
37011000004,8
37179000012,50
37009000018,42
3703300MILT,45
3700100006N,45
