GEOID,DISTRICT
32001000016,1
32001000009,1
32001000014,1
32019000005,1
32001000010,1
32001000017,1
32019000006,1
32019000001,1
32019000008,1
32019000014,1
32019000013,1
32510000109,1
32510000307,1
32001000019,1
32001015-09,1
32001000006,1
32019000023,1
32019000015,1
32019000040,1
32019000039,1
32510000409,1
32001000002,1
32015000009,1
32015000002,1
32015000005,1
32015000006,1
32015000004,1
32005000017,1
32005000014,1
32005000002,1
32005000012,1
32019000022,1
32015000003,1
32015000001,1
32031008238,1
32031008237,1
32031004045,1
32031004025,1
32031004016,1
32031004038,1
32031004033,1
32013000003,1
32013000010,1
32013000011,1
32031003038,1
32031008217,1
32005000007,1
32005000003,1
32005000005,1
32031007567,1
32031007514,1
32031007504,1
32031007312,1
32031007314,1
32031007313,1
32031008202,1
32031008254,1
32031002068,1
32031008297,1
32031008210,1
32031005041,1
32031005014,1
32031008236,1
32031006523,1
32031006516,1
32031006501,1
32031006427,1
32031001003,1
32031001002,1
32027000006,1
32027000007,1
32027000001,1
32031003009,1
32031002018,1
32031007304,1
32031007526,1
32031005047,1
32031005039,1
32031005053,1
32031005065,1
32031005046,1
32031005010,1
32031005066,1
32013000004,1
32013000005,1
320130007-2,1
32031009532,1
32031007577,1
32031006528,1
32031006530,1
32031007553,1
32031004041,1
32005000031,1
32005000013,1
32005000006,1
32005000021,1
32005000024,1
32005000010,1
32005000035,1
32005000023,1
32005000034,1
32031006513,1
32031003024,1
32031003018,1
32031003023,1
32031003005,1
32031007400,1
32029000012,1
32031009248,1
32029000003,1
32031006303,1
32031006500,1
32031006217,1
32031006519,1
32031007321,1
32031006311,1
32013000008,1
32013000012,1
32013000013,1
32031001050,1
32013000009,1
32013000001,1
32013000014,1
32013000002,1
32031001024,1
32031008256,1
32001000012,1
32001000013,1
32510000101,1
32001000018,1
32033000030,2
32033000045,2
32033000040,2
32003003755,2
32003001677,3
32003001676,3
32003002394,2
32003002725,4
32003002970,4
32003002731,4
32003003774,2
32003004616,3
32003004510,4
32003005384,4
32003005599,4
32003006654,2
32023000031,2
32023000035,1
32023000007,1
32023000005,1
32023000008,2
32023000001,2
32027000003,1
32033000050,2
32033000010,2
32033000015,2
32033000020,2
32033000035,2
32003002371,2
32003007532,4
32003007530,4
32027000005,1
32023000010,2
32033000025,2
32023000009,2
32023000006,2
32023000032,2
32023000013,2
32031007525,1
32031003010,1
32031002022,1
32031002021,1
32031006413,1
32031009311,1
32031006106,1
32031002029,1
32031008116,1
32031007418,1
32031007415,1
32031007408,1
32031007573,1
32031009102,1
32031007566,1
32031002080,1
32031008226,1
32031002062,1
32031001059,1
32031008500,1
32031001053,1
32031003007,1
32031006526,1
32031006306,1
32031006110,1
32031004000,1
32031003013,1
32031005056,1
32017000005,2
32003004307,2
32003004651,4
32003004652,4
32003002399,2
32003002446,2
32003002456,2
32003007366,4
32003003709,2
32003003708,2
32003006467,3
32003006492,3
32021000009,1
32003002417,4
32003002445,4
32003002904,4
32003002436,4
32003002489,4
32003002444,4
32003002906,4
32003002971,4
32003004532,4
32003004522,4
32003007661,3
32003007422,4
32003007552,4
32003003801,2
32003003795,2
32003006713,3
32003001702,3
32003001693,3
32003006531,3
32003003722,2
32003003855,2
32009000001,1
32009000002,1
32009000004,1
32003001384,3
32003001711,3
32003001960,3
32003001543,3
32003001926,3
32003001925,3
32003001920,3
32003001386,3
32003001379,3
32003001924,3
32003001376,3
32003001374,3
32003005565,4
32003005536,4
32003005564,3
32003007417,4
32007000037,1
32007000032,1
32007000033,1
32007000019,1
32007000010,1
32007000009,1
32007000012,1
32007000029,1
32023000002,1
32023000003,1
32023000011,2
32023000018,2
32003006719,3
32003006721,3
32003001633,3
32003006434,3
32003004903,4
32003004591,4
32003004028,4
32003007531,4
32021000007,1
32021000005,1
32021000001,1
32021000006,1
32003007675,4
32003007681,4
32003002044,2
32003003742,2
32003004635,2
32003004507,2
32003004634,2
32003004528,3
32003004526,2
32003003724,2
32003003733,2
32003003732,2
32003002476,4
32003007684,4
32023000029,2
32023000016,2
32023000030,2
32003005598,3
32003005597,4
32003002673,2
32003007663,3
32003002737,2
32003002730,4
32003002916,4
32003004597,4
32003004598,4
32003001353,3
32003001718,3
32003001717,3
32003002600,2
32003002671,2
32003002672,2
32003007611,4
32003007613,4
32003007612,4
32001000011,1
32017000233,2
32017000236,4
32017000003,2
32510000309,1
32510000411,1
32023000027,2
32021000004,1
32003003723,2
32003003416,2
32003003371,2
32003002613,2
32003007702,3
32003005515,4
32003005513,4
32003003465,2
32003003701,2
32003002705,2
32003001618,3
32003001619,3
32003005589,3
32003002729,4
32003002447,4
32003004567,4
32003007570,4
32003007572,4
32003006632,2
32021000011,1
32003005596,4
32003002732,4
32003001617,3
32003003768,2
32003005394,4
32003002393,2
32003007631,4
32003003365,2
32003007575,4
32003006686,3
32003006685,3
32003004559,4
32003002663,2
32003003740,2
32003003535,2
32003003746,2
32003003917,2
32003002483,2
32003002653,2
32003002652,2
32003002650,2
32003002651,2
32003002920,2
32023000019,2
32023000017,2
32023000020,2
32011000004,1
32011000003,1
32011000002,1
32011000001,1
32003001721,3
32003001722,3
32003007413,4
32003007724,4
32003004381,4
32003003842,2
32003003380,2
32003004527,2
32003003728,2
32003007555,4
32003003866,2
32003003864,2
32003003364,2
32003002711,2
32003006471,3
32003006475,3
32003001303,3
32003007713,4
32003007712,4
32007000036,2
32007000038,1
32007000015,1
32007000016,1
32003003763,2
32003003770,2
32003003762,2
32003002373,2
32003005631,4
32003007332,4
32003004384,4
32003006431,3
32003001631,3
32003002464,4
32003002717,4
32003007410,4
32029000005,1
32029000004,1
32029000007,1
32029000006,1
32003001679,3
32003003372,2
32003001072,4
32003001067,4
32003001671,4
32003006488,3
32003001732,3
32003001928,3
32003006500,3
32003002726,4
32003002723,4
32003002078,4
32003002978,4
32007000027,1
32003006530,3
32003006914,3
32003006548,3
32003007623,4
32003007653,3
32003001673,3
32003007704,3
32003003431,2
32023000021,2
32023000014,1
32023000015,1
32003006752,3
32003006750,3
32003006753,3
32003006486,3
32003006751,3
32003005571,4
32003005400,4
32003001391,3
32003007592,4
32003003908,2
32003003979,2
32003002382,2
32003007672,4
32003007671,4
32003001644,3
32003001645,3
32003005643,4
32003005653,4
32003005654,4
32003003790,2
32003003789,2
32003003788,2
32003007500,4
32003007726,4
32003003540,2
32003006498,2
32003002949,2
32003002501,2
32003002948,2
32003003605,2
32003003545,2
32003004461,2
32003001689,3
32003001688,3
32003001687,3
32003006694,3
32003006693,3
32003003385,2
32003002602,2
32003002608,2
32003002605,2
32003005535,3
32003004605,3
32003004611,4
32003004604,4
32003001655,3
32003001651,3
32003005582,3
32003005583,3
32003006644,2
32007000039,1
32007000003,1
32007000014,1
32007000006,1
32017000004,2
32003007352,4
32003002775,4
32003002776,4
32003002465,4
32003002930,4
32003002468,4
32003002477,4
32007000035,1
32003005612,4
32003005617,4
32003005613,4
32003006517,2
32003003707,2
32003003730,2
32003003588,2
32003003705,2
32003003706,2
32003003729,2
32003003602,2
32003003546,2
32003003564,2
32003003776,2
32003003547,2
32003003735,2
32003003587,2
32003003581,2
32003007528,4
32003007526,4
32003007527,4
32003006527,3
32003002979,4
32003002976,4
32003002931,4
32003002974,4
32003006497,3
32003001614,3
32003003383,2
32003003370,2
32003001332,3
32003003585,2
32003003586,2
32003003905,2
32003003583,2
32003001333,3
32003002473,4
32003002488,4
32003006681,3
32003001615,3
32003004601,4
32023000022,2
32007000028,1
32003005635,4
32003007514,4
32003005395,4
32003007651,3
32003001632,3
32003002400,2
32003005615,4
32003001389,3
32003003607,2
32003003906,2
32003003613,2
32003002601,2
32003002746,4
32003002743,4
32003007654,3
32003002463,2
32003002360,2
32003002607,2
32003004304,2
32017000001,2
32003005350,3
32003005562,3
32003006711,3
32003005545,3
32003003964,2
32003003990,2
32003003361,2
32007000002,1
32021000002,1
32007000007,1
32007000034,1
32007000020,2
32003001930,4
32003002907,4
32003004541,4
32003005332,4
32003005522,4
32003004523,4
32003002611,2
32003004501,2
32007000013,1
32007000031,1
32023000004,1
32003002714,2
32003002713,2
32003004512,2
32001000015,1
32001000005,1
32001000008,1
32019000007,1
32019000025,1
32510000301,1
32001000004,1
32001012-03,1
32001008-03,1
32001008-02,1
32001012-02,1
32019000003,1
32019000004,1
32019000012,1
32510000111,1
32510000113,1
32019000029,1
32019000030,1
32019000021,1
32031001006,1
32015000007,1
32003004584,2
32003002390,2
32003002735,4
32003005579,4
32003005577,4
32003005576,4
32003005578,4
32003005404,4
32003004593,4
32003004594,4
32003004585,4
32003004556,4
32003007079,3
32003001686,3
32003001684,3
32003001683,3
32003001685,3
32003007734,3
32003001331,3
32003005587,3
32003005581,3
32003007524,4
32003007525,4
32003004387,4
32019000026,1
32019000002,1
32031008233,1
32031006202,1
32031006206,1
32031002047,1
32031008260,1
32031008259,1
32031006111,1
32003007642,4
32003006604,2
32003006712,3
32003001691,3
32003001704,3
32003001692,3
32003001336,3
32003001340,3
32003002751,4
32003004514,4
32003004513,4
32003002430,4
32003006715,3
32031002058,1
32031002033,1
32031002041,1
32031002019,1
32031004032,1
32031004043,1
32031004021,1
32031007414,1
32031007430,1
32031004017,1
32005000037,1
32005000038,1
32031001035,1
32031008220,1
32031006425,1
32031006423,1
32031006403,1
32005000018,1
32005000008,1
32031008250,1
32031007306,1
32031007521,1
32031006212,1
32031008273,1
32031009254,1
32031009124,1
32031009253,1
32031005036,1
32031002081,1
32031008211,1
32031005054,1
32031003019,1
32031003020,1
32031003016,1
32031001022,1
32031008109,1
32031009554,1
32031002000,1
32031006107,1
32031006203,1
32031006115,1
32031007576,1
32031007578,1
32031009408,1
32005000015,1
32005000022,1
32005000029,1
32005000011,1
32031007581,1
32031002028,1
32031003028,1
32005000027,1
32510000303,1
32510000107,1
32510000401,1
32001000007,1
32001000001,1
32003002479,2
32003002654,2
32003001304,3
32003001609,3
32003006533,3
32003006657,3
32003003726,2
32003003719,2
32003003417,2
32003001063,3
32003002466,4
32003002643,2
32003007574,4
32003006487,3
32003006606,2
32003006622,3
32003001668,3
32003006600,3
32003006609,3
32003006613,3
32003006610,3
32003006520,2
32003006700,2
32003007584,4
32003007594,4
32009000003,1
32003003532,2
32003003988,2
32003003580,2
32003003915,2
32003003578,2
32003003992,2
32003003582,2
32003003993,2
32003003989,2
32003003994,2
32003003995,2
32003003566,2
32003003612,2
32003003579,2
32003003611,2
32003004641,2
32003004633,2
32003002484,2
32003003565,2
32003002660,2
32003002664,2
32003002481,2
32003002736,2
32023000026,2
32003004531,4
32003004525,4
32003005512,4
32003005580,4
32003005561,4
32003005590,4
32003006716,3
32003006490,3
32003002604,2
32003002606,2
32023000025,2
32003004540,4
32003004551,4
32003004552,4
32003006424,3
32003004566,4
32003007596,4
32003004602,4
32003004606,4
32003003834,2
32003002724,4
32003002722,4
32003002457,2
32003007569,4
32003001713,3
32003001712,3
32003001922,3
32003007355,4
32003007361,4
