GEOID,DISTRICT
36005000141,1
36005000126,1
36005000142,1
36005000643,2
36005000943,1
36005000962,1
36005000475,1
36005000476,1
36005000418,3
36005000422,3
36005000847,3
36005000850,3
36005000673,3
36005000672,3
36005000675,4
36005000295,1
36005000303,1
36005000296,1
36005000300,1
36005000507,5
36099000020,6
36099000006,6
36099000013,6
36099000015,6
36005000780,3
36005000453,5
36005000381,1
36005000430,3
36005000018,3
36005000019,3
36005000513,1
36005000557,1
36005000946,1
36005000959,1
36005000997,1
36005000949,1
36005000957,1
36005000948,1
36005000955,1
36005000958,1
36005000676,4
36005000749,1
36005000764,1
36005000765,1
36005000255,1
36005000121,1
36005000091,1
36005000144,1
36005000794,3
36005000231,3
36005000178,3
36005000179,3
36103000494,7
36103000506,7
36103000186,8
36103000446,8
36103000051,7
36005000807,1
36005000776,1
36005000649,2
36005000362,2
36005000567,1
36005000574,1
36005000282,1
36005000302,1
36005000187,3
36005000188,3
36005000183,3
36005000182,3
36005000614,1
36005000494,1
36005000631,2
36005000342,1
36005000119,1
36005000140,1
36005000732,5
36005000730,3
36005000708,3
36005000456,5
36005000448,5
36005000561,5
36005000009,3
36005000006,3
36005000165,3
36005000167,1
36005000360,2
36005000361,2
36005000442,2
36005000971,1
36005000937,1
36005000966,1
36005000594,1
36005000309,1
36005000900,1
36005000903,1
36005000581,1
36005000577,1
36005000281,1
36005000346,1
36005000347,1
36005000066,3
36005000069,3
36005000503,1
36005000566,1
36005000941,1
36005000657,3
36107000005,6
36107000008,9
36107000010,6
36107000015,6
36107000017,9
36107000009,9
36107000011,9
36069000071,6
36069000063,6
36069000068,6
36005000472,1
36005000468,5
36005000469,5
36103000097,7
36103000010,7
36103000123,7
36103000217,8
36103000273,8
36103000164,8
36103000459,8
36103001019,8
36053000011,10
36053000007,10
36053000032,10
36053000039,10
36053000028,10
36103000493,7
36103000633,7
36103000095,7
36103000418,8
36103000299,8
36103000996,8
36103000206,8
36103000812,7
36103000716,7
36103000651,7
36103000315,8
36103000343,8
36103000278,8
36103001014,8
36103000198,8
36103000385,8
36035000007,11
36053000047,10
36053000043,10
36053000012,10
36069000023,6
36069000074,6
36069000065,6
36007000107,9
36007000108,9
36007000104,9
36007000106,9
36007000113,9
36007000099,9
36007000100,9
36007000103,9
36007000102,9
36007000098,9
36007000105,9
36007000115,9
36007000097,9
36007000101,9
36007000125,9
36007000121,9
36007000120,9
36007000119,9
36007000127,9
36007000126,9
36007000035,9
36007000133,9
36007000124,9
36007000085,9
36007000084,9
36007000009,9
36107000007,9
36107000031,9
36107000029,9
36107000027,9
36107000030,9
36107000032,9
36087000158,12
36087000171,12
36087000201,12
36087000249,12
36087000241,12
36087000212,12
36087000164,12
36087000081,12
36087000024,12
36087000001,12
36087000075,12
36087000033,12
36021000042,13
36021000043,13
36021000009,13
36103001028,8
36103000497,7
36103000364,8
36103000447,8
36103000301,8
36103000241,8
36103000202,8
36103000184,8
36103000167,8
36103000456,8
36103000276,8
36103000432,8
36103000950,7
36103000715,7
36103000810,8
36045000026,10
36087000079,12
36087000118,12
36087000107,12
36087000004,12
36087000011,12
36087000162,12
36087000175,12
36087000242,12
36087000255,12
36107000039,9
36107000018,9
36087000090,12
36087000275,12
36087000100,12
36087000005,12
36087000041,12
36087000126,12
36087000109,12
36087000130,12
36087000009,12
36087000240,12
36087000174,12
36087000190,12
36087000260,12
36087000210,12
36087000206,12
36087000141,2
36107000038,6
36107000037,6
36103000132,7
36103000905,7
36103000919,7
36103000971,7
36103000904,7
36103000629,7
36103000306,8
36103000658,7
36013000031,14
36013000101,14
36013000013,14
36013000012,14
36013000011,14
36013000067,14
36013000066,14
36045000025,10
36045000067,10
36117000011,6
36053000010,9
36053000023,10
36053000002,10
36053000013,10
36103000724,7
36103000405,8
36103000363,8
36103000992,8
36103000704,7
36103000993,8
36103000881,8
36017000031,9
36017000026,9
36017000002,9
36017000030,9
36017000001,9
36017000006,9
36017000022,9
36061000586,4
36061000424,4
36061001135,15
36061001134,15
36061001057,15
36061001054,15
36061000874,15
36061000912,15
36061001168,15
36061000911,15
36061000909,15
36039000022,13
36039000018,13
36045000037,10
36045000039,10
36045000031,10
36045000035,10
36045000034,10
36045000033,10
36053000014,9
36099000005,6
36099000008,6
36053000035,10
36053000033,10
36053000037,10
36053000034,10
36053000036,10
36053000025,10
36053000026,10
36005000510,5
36005000473,5
36001000256,13
36001000218,13
36001000206,13
36001000252,13
36001000202,13
36001000319,13
36001000318,13
36001000137,13
36001000136,13
36001000135,13
36001000134,13
36001000131,13
36001000130,13
36001000129,13
36001000264,13
36001000265,13
36001000262,13
36001000155,13
36001000157,13
36001000154,13
36001000150,13
36001000153,13
36001000147,13
36001000156,13
36001000144,13
36001000152,13
36039000021,13
36039000034,13
36039000030,13
36079000001,12
36021000047,13
36021000046,13
36039000023,13
36021000050,13
36021000011,13
36103000767,8
36103000803,8
36103000867,8
36103000863,8
36103000769,8
36103000603,7
36103000485,7
36103001043,8
36103000947,7
36103000958,7
36103000082,7
36103000412,8
36103000441,8
36103000199,8
36103000280,8
36103000308,8
36103000331,8
36103000281,8
36103000221,8
36103000467,8
36103000899,8
36103001024,8
36105000004,16
36105000061,16
36105000014,16
36105000051,16
36105000049,16
36091000122,11
36103000657,7
36103000662,7
36103000130,7
36103000698,7
36103000813,7
36103000263,8
36103000216,8
36103000779,8
36103000794,8
36103000029,7
36103000480,7
36103000693,7
36103000207,8
36103000181,8
36103000997,8
36103000999,8
36103000896,8
36103001048,8
36079000051,12
36035000036,11
36035000038,11
36035000006,11
36035000002,11
36103000027,7
36103000101,7
36103000665,7
36103000838,7
36103000664,7
36103000375,8
36103000825,7
36103000738,7
36017000027,9
36017000024,9
36017000005,9
36017000010,9
36079000074,12
36081001128,17
36081001130,17
36081001156,17
36081000124,18
36081000121,18
36081000184,18
36081000123,18
36081000122,18
36081000731,18
36081000762,18
36081000728,18
36081000831,18
36081000832,18
36081000830,18
36081000850,18
36081000936,19
36081000917,19
36081000916,19
36081000232,5
36081000233,5
36081000234,5
36081000393,5
36081000651,17
36081000659,17
36081000648,17
36081000650,17
36081000652,17
36081000643,17
36081000481,5
36081000480,5
36081000509,17
36081000510,17
