GEOID,DISTRICT
44009442005,1
44009442004,1
44009443209,1
44009443205,1
44009443208,1
44009443603,1
44009443607,1
44009443601,1
44009443602,1
44009442305,1
44009442306,1
44009442301,1
44009442902,1
44009442303,1
44009442304,1
44009442901,1
44009441103,1
44009441101,1
44009441102,1
44009442003,1
44009442308,1
44009443604,1
44009440503,1
44009443210,1
44009440504,1
44009443202,1
44009443204,1
44009442001,1
44009443606,1
44009442002,1
44009440502,1
44003440905,1
44003443514,1
44003443809,1
44003443520,1
44003443522,1
44003440904,1
44003443519,1
44003443518,1
44009442302,1
44003443701,1
44003443703,1
44003443704,1
44003443530,1
44003443532,1
44003443529,1
44003443503,1
44003443511,1
44003443509,1
44003443501,1
44003443502,1
44003440616,1
44003440613,1
44003440614,1
44003440604,1
44007442826,2
44007442827,1
44007442824,2
44007443001,1
44007443002,1
44007440811,2
44007440810,2
44007440305,2
44007440306,2
44007442501,2
44007442502,2
44007440702,2
44007440701,2
44007440705,2
44007442812,2
44007442819,2
44007440303,2
44007440304,2
44007440301,2
44007440302,2
44007442618,2
44007442805,2
44007442808,2
44007440721,1
44007440718,1
44007440722,1
44007440707,1
44007440730,1
44007440706,1
44007441602,2
44007441202,1
44007440401,2
44007440403,2
44007441009,2
44007441008,2
44007442854,2
44007442849,2
44003443801,1
44003443805,1
44003443803,1
44003443807,1
44003443804,1
44003443806,1
44007440708,1
44007440704,1
44007440405,2
44007440408,2
44007441704,2
44007442605,2
44007442606,2
44007442602,2
44007442813,2
44007442834,2
44007441011,1
44007442832,1
44007441010,2
44007441302,2
44007441303,2
44007440711,1
44007440716,1
44007440713,1
44007443903,2
44007443912,2
44007443003,2
44007440804,2
44007440808,2
44007442622,2
44007442620,2
44007442616,2
44007442617,2
44007442623,2
44007443905,2
44007442613,2
44007442615,2
44007442404,2
44007442603,2
44007442415,2
44007441707,2
44007442828,2
44007442803,2
44007443902,2
44007443901,2
44007442848,2
44007442867,2
44007440709,1
44007442880,2
44007442816,2
44007442817,2
44007442815,2
44007440404,2
44007440407,2
44007440805,2
44007442601,2
44007442847,2
44007442877,2
44007442875,2
44007442831,2
44007442810,2
44007442840,2
44007442833,2
44007442879,2
44003443504,1
44003443507,1
44003443528,1
44003443523,1
44003443506,1
44003440607,1
44003440608,1
44003440612,1
44003440611,1
44007442814,2
44007442604,2
44007441015,1
44007442811,2
44007442628,2
44007442629,2
44007442825,2
44007442866,2
44007442822,2
44007442627,2
44007442625,2
44007442624,2
44007442619,2
44007441005,2
44007442416,2
44005441502,1
44005441501,1
44005442107,1
44005442106,1
44005ZZZZZZ,1
44005441801,1
44005443305,1
44005443303,1
44005443304,1
44005443302,1
44007442874,2
44007442505,2
44007440801,2
44007440807,2
44007441304,2
44007441301,2
44007441605,2
44007441604,2
44007442855,2
44007442868,2
44007442871,1
44007440725,1
44007442872,1
44007442829,1
44007441612,2
44007441611,2
44007441606,2
44007443102,2
44007443101,2
44005441903,1
44005441904,1
44005442703,1
44005443307,1
44005442701,1
44005442704,1
44005443301,1
44005442708,1
44005442109,1
44005442707,1
44005441905,1
44005442705,1
44005442706,1
44005442108,1
44005442103,1
44005442702,1
44001440203,1
44001440102,1
44001440103,1
44001440101,1
44007441016,1
44005442102,1
44001440205,1
44001440105,1
44001440104,1
44009442307,1
44009442309,1
44009441401,1
44009443201,1
44009443605,1
44009443203,1
44003443515,1
44003443810,1
44003443521,1
44003443524,1
44003443513,1
44003440609,1
44003440618,1
44003440605,1
44003440603,1
44003443510,1
44003443512,1
44003443508,1
44003440615,1
44003440617,1
44003440606,1
44003443702,1
44003443533,1
44003443531,1
44003440902,1
44003440903,1
44009440501,1
44003443808,1
44003443527,1
44003443525,1
44003440901,1
44001443402,1
44001440204,1
44001440202,1
44001440207,1
44007442403,2
44007442410,2
44007442626,2
44007440714,1
44007441711,2
44007441705,2
44007441708,2
44007440806,2
44007442411,2
44007443906,2
44007443907,2
44007441017,1
44007441006,2
44007441003,2
44007441002,2
44007442842,2
44007440802,2
44007442408,2
44007442503,2
44007442846,2
44007442845,2
44007440719,1
44007442851,2
44007442853,2
44007442843,2
44007440715,1
44007440710,1
44007442612,2
44007442406,2
44007442402,2
44007440712,1
44007442609,2
44007442607,2
44007442611,2
44007443106,2
44007443104,2
44007443908,2
44007441703,2
44007440809,2
44007441013,1
44007440803,2
44007440813,2
44007440728,1
44007440729,1
44007442809,2
44007442804,2
44007441001,2
44007442870,2
