GEOID,DISTRICT
45079000401,5
45079000132,5
45079000458,3
45079000446,3
45079000426,3
45079000129,5
45071000005,5
45071000020,5
45071000001,5
45071000034,5
45071000040,5
45071000015,5
45079000448,3
45079000126,7
45079000483,7
45079000484,3
45071000002,5
45071000019,5
45071000042,5
45071000027,5
45079000480,7
45079000479,7
45079000102,5
45079000455,7
45079000507,7
45079000442,7
45079000441,7
45079000403,5
45079000402,5
45079000431,5
45079000420,5
45079000478,5
45079000413,3
45079000474,3
45079000452,3
45079000440,5
45079000492,5
45079000493,5
45079000491,5
45079000109,5
45079000449,3
45079000408,3
45079000501,5
45079000421,5
45079000400,3
45079000513,5
45071000007,5
45071000008,5
45079000123,5
45079000457,7
45079000417,5
45079000118,5
45079000464,3
45079000508,3
45079000514,3
45079000463,3
45079000465,3
45079000114,5
45079000467,5
45079000466,5
45079000468,5
45071000039,5
45071000013,5
45071000036,5
45071000051,5
45071000028,3
45079000462,3
45079000113,5
45079000494,5
45079000450,5
45079000459,7
45079000406,3
45079000430,5
45079000131,5
45079000103,5
45079000405,7
45079000415,5
45079000427,3
45079000122,5
45079000439,5
45079000472,5
45079000125,7
45023000001,3
45023000003,3
45023000011,3
45079000497,3
45079000454,3
45079000509,3
45027000016,7
45027000019,7
45027000006,7
45027000020,7
45027000021,7
45079000506,3
45079000410,7
45079000411,7
45079000460,3
45079000445,3
45059000007,6
45059000001,6
45059000006,6
45059000004,6
45059000005,6
45079000433,5
45079000471,5
45063000054,5
45079000503,3
45089000022,7
45089000014,7
45035000049,7
45035000092,7
45035000043,7
45035000072,7
45035000107,7
45035000073,4
45035000063,4
45079000511,7
45079000423,7
45079000496,5
45079000104,5
45079000515,3
45079000447,5
45079000106,5
45059000013,6
45059000022,6
45045000337,6
45083000027,6
45079000453,3
45015000002,7
45015000035,7
45015000085,7
45015000088,7
45015000093,7
45015000098,7
45015000029,7
45015000096,7
45015000001,7
45015000087,7
45015000099,4
45015000057,7
45015000058,7
45015000054,7
45015000012,4
45015000063,4
45015000064,4
45015000062,4
45059000018,6
45059000029,6
45059000015,6
45057000009,3
45057000023,3
45057000026,3
45057000013,3
45023000018,3
45059000002,6
45059000003,6
45059000009,6
45059000020,6
45059000010,6
45029000024,7
45029000029,7
45029000019,7
45029000015,4
45029000025,7
45029000031,7
45029000040,7
45029000032,7
45029000036,7
45029000017,7
45059000014,6
45029000033,7
45079000505,5
45079000504,5
45079000105,5
45089000011,1
45015000027,7
45015000034,7
45015000070,7
45015000031,7
45015000049,7
45015000084,7
45015000086,7
45015000097,7
45015000007,4
45015000038,7
45015000040,7
45015000071,7
45015000045,7
45015000047,7
45015000073,7
45015000072,7
45015000066,7
45057000010,3
45057000005,3
45057000018,3
45057000041,3
45057000033,3
45057000035,3
45057000032,3
45057000021,3
45023000026,3
45023000031,3
45023000033,3
45007000045,2
45057000038,3
45057000036,3
45057000019,3
45035000109,4
45035000076,4
45035000102,7
45057000007,3
45057000022,3
45061000004,7
45061000008,7
45085000116,7
45089000016,1
45089000015,1
45089000004,1
45035000048,7
45035000069,7
45035000031,7
45035000027,7
45089000002,1
45089000009,1
45089000005,1
45089000013,1
45035000044,7
45035000029,7
45035000028,7
45035000026,7
45089000008,7
45089000029,7
45085000153,7
45085000105,7
45085000110,7
45023000004,3
45023000030,3
45035000096,7
45023000013,3
45085000128,7
45085000127,7
45085000131,7
45085000108,7
45085000126,7
45007000066,2
45007000071,2
45035000104,7
45035000038,7
45035000095,7
45027000007,7
45027000011,7
45085000130,7
45085000152,7
45085000155,7
45007000015,2
45007000064,2
45077000131,2
45077000156,2
45007000013,2
45007000053,2
45077000101,2
45035000105,7
45035000066,7
45035000087,7
45035000079,7
45035000034,7
45015000024,7
45035000101,7
45089000032,7
45089000030,1
45089000018,7
45035000090,7
45035000108,7
45035000042,7
45087000003,3
45087000018,3
45087000011,3
45087000023,6
45015000082,4
45015000081,4
45015000100,4
45015000068,4
45087000012,3
45089000006,1
45015000011,7
45015000069,7
45015000026,7
45015000030,7
45015000003,7
45015000037,7
45007000068,2
45007000070,2
45007000062,2
45007000057,2
45007000111,2
45007000011,2
45007000039,2
45007000010,2
45001000012,2
45001000006,2
45007000042,2
45001000013,2
45007000058,2
45015000042,7
45015000079,4
45015000080,4
45015000077,4
45015000078,4
45015000076,4
45015000023,4
45015000022,4
45015000067,7
45015000060,7
45015000008,7
45015000094,7
45015000059,7
45015000090,7
45085000125,7
45085000158,7
45015000009,7
45015000083,7
45015000092,7
45007000069,2
45027000022,7
45027000014,7
45015000041,1
45051000109,1
45051000219,1
45051000163,1
45051000138,1
45051000231,1
45051000232,1
45051000154,1
45051000168,1
45015000044,7
45015000074,7
45015000033,7
45085000156,7
45085000150,7
45085000111,7
45085000124,7
45085000102,7
45089000024,1
45035000070,7
45007000049,2
45007000024,2
45007000033,2
45015000046,7
45027000008,7
