GEOID,DISTRICT
47135006954,1
47135006952,3
47071003705,1
47157008171,5
47157008195,5
47099005174,8
47099005163,8
47099005162,8
47099005164,8
47099005165,8
47099005167,8
47099005159,8
47099005173,8
47017000819,1
47017000803,1
47043002267,3
47043002256,3
47043002255,3
47101005251,8
47083004304,3
47079004112,3
47079004110,1
47079004106,1
47157008190,5
47157008170,5
47071003702,1
47071003703,1
47071003704,1
47071003707,1
47071003716,1
47071003712,1
47071003718,1
47157008079,1
47157008237,5
47157008110,5
47157008231,5
47157008064,5
47157008250,5
47157008070,1
47157008168,5
47157008131,5
47157008233,5
47157008182,5
47157008184,5
47085004406,3
47085004405,3
47085004407,3
47085004404,3
47085004401,3
47085004403,3
47049002559,4
47049002557,4
47049002551,6
47049002562,4
47049002553,4
47049002561,4
47049002552,4
47083004302,3
47083004303,3
47083004306,3
47099005160,8
47099005161,8
47099005151,8
47079004101,1
47101005252,8
47101005253,8
47101005257,8
47079004105,1
47079004102,1
47079004113,3
47079004103,3
47079004109,1
47079004104,1
47079004108,1
47051002661,4
47051005764,4
47051002663,4
47157008122,5
47157008091,5
47157008071,1
47157008055,1
47157008101,5
47077004002,1
47077004011,1
47045002361,1
47045002352,1
47045002362,1
47045002358,1
47045002353,1
47045002357,1
47045002365,1
47045002364,1
47109006151,1
47109006155,1
47169008801,7
47169008807,7
47169008810,7
47157008057,5
47157008089,5
47157008176,5
47157008174,5
47045002359,1
47101005254,8
47101005255,8
47157008136,5
47157008103,5
47053002771,1
47085004402,3
47085004408,3
47017000809,1
47017000802,1
47099005170,8
47099005171,8
47099005156,8
47151007754,9
47151007751,6
47137007055,4
47137007053,4
47055002860,8
47055002854,8
47055002862,8
47055002857,8
47055002856,8
47055002853,8
47055002852,8
47011000502,6
47011000507,6
47151007760,9
47051002660,4
47051005757,4
47051002657,4
47051002662,4
47051002667,4
47051002668,4
47051002652,4
47043002251,3
47043002252,3
47051002666,4
47043002254,3
47043002253,3
47043002265,3
47043002263,3
47043002259,3
47043002258,3
47119005956,8
47119005962,8
47119005953,8
47119005969,8
47119005964,8
47119005970,8
47119005951,8
47119005971,8
47119005965,8
47157008261,1
47045002356,1
47109006157,1
47109006158,1
47109006152,1
47109006167,1
47077004003,1
47145007471,6
47145007458,6
47145007453,6
