GEOID,DISTRICT
51117000901,1
51117000601,1
51117000201,1
51117000803,1
51117000702,1
51053000201,2
51053000202,2
51053000502,2
51053000102,3
51053000402,2
51053000403,2
51147000601,1
51147000501,1
51163000203,1
51147000302,1
51147000301,1
51163000503,1
51117000802,1
51163000501,1
51163000301,1
51009000303,1
51005005701,1
51005005601,1
51079000401,4
51079000201,4
51113000003,4
51137000101,4
51003000603,4
51079000101,4
51079000301,4
51113000006,4
51700000302,5
51700000108,2
51700000106,2
51700000311,5
51700000102,2
51700000314,5
51163000202,1
51163000201,1
51163000504,1
51163000502,1
51163000101,1
51163000104,1
51163000302,1
51023000301,1
51125000101,4
51125000401,1
51053000303,2
51161000105,6
51770000001,6
51161000304,6
51810000024,7
51810000082,7
51810000086,7
51810000093,7
51810000001,7
51810000042,7
51810000052,7
51163000401,1
51163000402,1
51117000701,1
51117000203,1
51117000302,1
51117000501,1
51117000401,1
51117000103,1
51117000903,1
51005005201,6
51107000615,8
51107000625,8
51107000819,8
51810000037,7
51810000011,7
51810000017,7
51810000059,7
51710000512,7
51810000041,7
51161000104,6
51770000003,6
51009000101,1
51031000601,1
51009000201,1
51005005101,6
51107000416,8
51107000409,8
51107000403,8
51107000402,8
51107000808,8
51107000122,8
51107000124,8
51107000120,8
51107000112,8
51107000119,8
51083000401,1
51083000502,1
51083000701,1
51107000121,8
51107000210,8
51107000209,8
51107000401,8
51107000421,8
51065000301,4
51065000201,4
51077000203,6
51077000101,6
51085000704,3
51085000101,9
51085000602,2
51085000406,2
51087000209,2
51085000703,3
51199000502,5
51199000501,5
51199000201,5
51199000103,2
51095000503,2
51700000110,2
51095000502,2
51077000202,6
51197000602,6
51125000501,1
51125000201,1
51185000502,6
51185000501,6
51167000403,6
51167000303,6
51167000602,6
51167000402,6
51107000207,8
51107000307,8
51107000503,8
51107000114,8
51107000107,8
51107000123,8
51107000629,8
51107000117,8
51107000411,8
51167000501,6
51167000302,6
51185000214,6
51167000301,6
51077000108,6
51077000104,6
51107000316,8
51107000312,8
51107000321,8
51107000118,8
51107000701,8
51107000702,8
51095000403,2
51095000303,2
51095000402,2
51095000401,2
51095000202,2
51095000304,2
51810000030,7
51810000070,7
51810000050,7
51810000003,7
51810000027,7
51810000099,7
51810000044,7
51810000065,7
51810000038,7
51810000019,7
51141000501,6
51141000503,6
51590000016,1
51143000705,1
51590000004,1
51083000302,1
51083000103,1
51083000203,1
51141000301,6
51141000203,6
51141000502,6
51141000202,6
51141000302,6
51141000401,6
51053000501,2
51053000302,2
51125000502,1
51125000402,1
51163000403,1
51035000303,6
51035000301,6
51011000102,1
51011000202,1
51011000401,1
51011000101,1
51011000501,1
51057000301,2
51035000102,6
51035000105,6
51035000103,6
51810000083,7
51810000046,7
51810000080,7
51810000021,7
51810000016,7
51810000039,7
51810000063,7
51810000095,7
51035000402,6
51035000502,6
51035000406,6
51035000503,6
51035000202,6
51185000401,6
51185000402,6
51027000702,6
51141000402,6
51185000204,6
51185000209,6
51185000102,6
51107000622,8
51107000626,8
51107000707,8
51107000619,8
51107000308,8
51043000302,8
51057000201,9
51107000311,8
51107000305,8
51107000315,8
51590000003,1
51197000203,6
51197000402,6
51197000303,6
51199000401,5
51199000303,5
51199000102,2
51685000002,10
51685000001,10
51685000003,10
51167000102,6
51167000202,6
51590000013,1
51125000301,1
51035000201,6
51197000102,6
51197000101,6
51199000302,5
51199000301,5
51127000501,2
51107000319,8
51107000318,8
51107000322,8
51107000313,8
51071000302,6
51820000001,4
51015000603,4
51125000202,1
51199000403,5
51043000201,8
51043000101,8
51043000301,8
51590000011,1
51035000302,6
51185000104,6
51590000010,1
51590000017,1
51069000302,8
51043000401,4
51069000401,4
51161000106,6
51161000103,6
51775000009,6
51161000302,6
51161000507,6
51810000014,7
51810000025,7
51810000023,7
51710000408,7
51810000064,7
51810000034,7
51810000005,7
51810000004,7
51043000501,8
51155000202,6
51155000501,6
51820000002,4
51820000004,4
51083000702,1
51141000201,6
51161000405,1
51161000401,1
51165000201,4
51165000103,4
51165000104,4
51165000204,4
51165000406,4
51165000401,4
51165000205,4
51165000402,4
51085000303,2
51085000506,2
51101000501,9
51085000601,2
51085000603,2
51165000502,4
51165000501,4
51185000103,6
51185000301,6
51185000303,6
51049000501,1
51057000101,9
51107000218,8
51107000813,8
51107000309,8
51107000219,8
51107000208,8
51107000504,8
51107000502,8
51177000302,9
51177000301,9
51630000101,9
51177000103,9
51177000102,9
51177000602,9
51177000601,9
51177000504,9
51177000303,9
51165000503,4
51165000504,4
51101000201,2
51101000101,2
51177000402,9
51177000704,9
51177000703,9
51083000101,1
51085000301,3
51087000222,3
51087000223,3
51087000103,3
51087000109,3
51107000314,8
51107000320,8
51107000616,8
51107000628,8
51107000125,8
51107000509,8
51107000414,8
51107000508,8
51107000413,8
51107000501,8
51049000401,1
51107000820,8
51107000814,8
51690000005,1
51195000401,6
51195000102,6
51740000024,5
51740000022,5
51770000019,6
51770000008,1
51770000009,1
51770000020,6
51770000007,1
51770000006,1
51161000403,1
51510000109,11
51510000110,11
51510000105,11
51510000112,11
51510000103,11
51059000621,11
51510000108,11
51510000107,11
51510000106,11
51510000111,11
51013000050,11
51013000003,11
51013000052,11
51510000102,11
51510000202,11
51113000005,4
51770000015,6
51770000017,6
51770000011,6
51770000002,6
51173000401,6
51173000402,6
51173000201,6
51770000014,1
51770000013,1
51023000403,1
51195000302,6
51740000014,7
51740000017,7
51740000019,7
51550000025,7
51740000016,7
51740000005,7
51740000026,7
51740000028,5
51775000005,6
51775000001,6
51195000203,6
51195000104,6
51199000402,5
51065000101,4
51119000102,2
51775000006,6
51195000101,6
51195000301,6
51740000001,7
51173000502,6
51770000012,6
51161000505,6
51023000102,6
51023000101,1
51023000406,1
51165000101,4
51165000404,4
51165000302,4
51165000403,4
51195000402,6
51195000103,6
51047000703,4
51047000401,4
51630000401,9
51630000201,9
51109007021,4
51075000202,3
51109007022,4
51075000102,4
51109007023,4
51085000701,3
51087000308,3
51085000203,9
51085000105,9
51085000201,9
51033000601,9
51033000402,9
51161000202,6
51173000601,6
51177000702,9
51177000401,9
51177000403,9
51177000701,9
51117000604,1
51117000301,1
51041000208,3
51041000108,2
51041000405,3
51041000516,3
51041000409,3
51041000301,2
51730000701,2
51041000501,3
51041000513,3
