GEOID,DISTRICT
53011000909,1
53011000947,1
53011000910,1
53011000914,1
53011000912,1
53011000110,1
53011000654,1
53011000426,1
53011000371,1
53011000370,1
53011000617,1
53011000616,1
53011000614,1
53011000620,1
53011000130,1
53011000147,1
53011000587,1
53011000585,1
53011000589,1
53011000586,1
53011000560,1
53011000553,1
53011000958,1
53011000957,1
53011000961,1
53011000690,1
53011000959,1
53005005629,2
53005002565,2
53005003003,2
53005001680,2
53005001674,2
53005002590,2
53005002595,2
53049000015,1
53049000013,1
53049000011,1
53049000034,3
53049000006,1
53005005638,2
53005005625,2
53005005639,2
53005005630,2
53071000053,4
53071000034,2
53011000630,1
53011000120,1
53011000125,1
53011000490,1
53011000480,1
53005002640,2
53005000465,2
53011000684,1
53011000697,1
53011000340,1
53011000337,1
53011000175,1
53011000294,1
53017000309,2
53017000304,2
53017000209,2
53017000210,2
53017000213,2
53011000605,1
53011000537,1
53011000603,1
53071000052,4
53071000014,4
53071000018,4
53011000502,1
53011000503,1
53017000110,2
53017000301,2
53017000306,2
53017000101,2
53017000102,2
53017000313,2
53017000103,2
53017000114,2
53017000107,2
53017000109,2
53005000450,2
53005002401,2
53005002580,2
53011000484,1
53011000550,1
53011000440,1
53011000658,1
53071000025,4
53071000009,4
53071000019,4
53071000021,4
53071000003,4
53071000042,2
53071000043,2
53005006285,2
53005006293,2
53049000027,3
53049000110,3
53049000023,3
53049000024,3
53049000103,1
53049000025,1
53005004012,2
53005004011,2
53005004016,2
53005004009,2
53039000001,2
53039000014,2
53017000303,2
53017000111,2
53017000112,2
53039000002,1
53039000003,1
53005005627,2
53005006320,2
53005005637,2
53005006311,2
53005002403,2
53033000455,5
53033003282,6
53033001493,7
53033001099,6
53033000901,6
53033003735,6
53033002309,7
53033002277,7
53033001925,5
53033001765,7
53033002350,7
53033002338,7
53033000547,6
53033000639,8
53033000233,5
53033000690,5
53033000848,5
53033000739,5
53033000111,6
53033001061,5
53033001064,5
53033002674,5
53033002598,8
53033003738,6
53033003739,6
53033002967,6
53033001991,5
53033002058,5
53033001992,7
53011000250,1
53011000245,1
53011000671,1
53071000041,4
53071000050,4
53011000940,1
53071000006,4
53071000005,4
53005005621,2
53005004001,2
53005006150,2
53005000099,2
53005000096,2
53005006286,2
53005006284,2
53005006278,2
53005006288,2
53005006289,2
53005006283,2
53033000525,8
53033001565,5
53011000675,1
53011000240,1
53011000195,1
53011000200,1
53011000113,1
53011000516,1
53011000523,1
53011000514,1
53011000525,1
53011000527,1
53011000520,1
53011000521,1
53011000524,1
53011000522,1
53011000935,1
53011000906,1
53011000917,1
53011000104,1
53049000108,3
53049000001,3
53005002404,2
53005002405,2
53005001023,2
53005000455,2
53005002620,2
53005002625,2
53005002626,2
53005002630,2
53005002637,2
53005002633,2
53005002636,2
53033003636,5
53033001646,5
53033001647,5
53033001635,5
53033002728,6
53033003451,6
53033000638,8
53033003337,8
53033003218,6
53033003742,6
53033003642,6
53033000067,9
53033003790,9
53033000049,9
53033000315,6
53033000411,6
53053031925,6
53033003413,5
53033000325,5
53033000649,6
53033002974,6
53033003770,7
53033001457,7
53033003760,5
53033000186,5
53033000189,5
53033003707,6
53033003562,6
53033002142,7
53033003031,9
53033003080,9
53033003801,5
53033000476,5
53033002505,7
53033003010,9
53033003014,9
53033000954,5
53033003019,9
53033WV0930,5
53033003085,9
53033003091,5
53033003332,5
53033003758,5
53033002283,7
53033003798,7
53033003503,6
53033002602,6
