GEOID,DISTRICT
540019655001,1
540019655002,1
540019655003,1
540019655004,1
540019656001,1
540019656002,1
540019656003,1
540019656004,1
540019657001,1
540019657002,1
540019657003,1
540019657004,1
540019658001,1
540019658002,1
540019658003,1
540019658004,1
540039711011,1
540039711012,1
540039711013,1
540039711014,1
540039711031,1
540039711041,1
540039711042,1
540039711051,1
540039711052,1
540039712031,1
540039712032,1
540039712041,1
540039712042,1
540039712051,1
540039712052,1
540039712061,1
540039712062,1
540039712063,1
540039712064,1
540039713011,1
540039713012,1
540039713013,1
540039713014,1
540039713021,1
540039713022,1
540039713023,1
540039714011,1
540039714012,1
540039714021,1
540039714022,1
540039714023,1
540039715001,1
540039715002,1
540039715003,1
540039715004,1
540039716001,1
540039716002,1
540039716003,1
540039716004,1
540039716005,1
540039717001,1
540039717002,1
540039717003,1
540039717004,1
540039717005,1
540039717006,1
540039717007,1
540039718011,1
540039718012,1
540039718021,1
540039718022,1
540039718023,1
540039719011,1
540039719012,1
540039719013,1
540039719014,1
540039719021,1
540039719022,1
540039719023,1
540039720011,1
540039720012,1
540039720013,1
540039720021,1
540039720022,1
540039720031,1
540039720032,1
540039721011,1
540039721012,1
540039721013,1
540039721014,1
540039721031,1
540039721032,1
540039721041,1
540039721042,1
540039721043,1
540039721051,1
540039721052,1
540059582001,2
540059582002,2
540059582003,2
540059583001,2
540059583002,2
540059583003,2
540059583004,2
540059584001,2
540059585011,2
540059585012,2
540059585021,2
540059585022,2
540059586001,2
540059586002,2
540059587001,2
540059588001,2
540059588002,2
540079679001,1
540079679002,1
540079679003,1
540079679004,1
540079680001,1
540079680002,1
540079680003,1
540079680004,1
540079681001,1
540079681002,1
540079681003,1
540079681004,1
540079681005,1
540090311021,1
540090311022,1
540090311023,1
540090311031,1
540090311032,1
540090311041,1
540090311042,1
540090312001,1
540090312002,1
540090314011,1
540090314012,1
540090314021,1
540090314022,1
540090316001,1
540090316002,1
540090316003,1
540090316004,1
540090317001,1
540090317002,1
540090317003,1
540110001011,2
540110001012,2
540110001021,2
540110001022,2
540110002001,2
540110002002,2
540110002003,2
540110003001,2
540110003002,2
540110004001,2
540110004002,2
540110005001,2
540110006001,2
540110006002,2
540110009001,2
540110009002,2
540110010001,2
540110010002,2
540110010003,2
540110011001,2
540110011002,2
540110012001,2
540110012002,2
540110012003,2
540110013001,2
540110013002,2
540110013003,2
540110014001,2
540110014002,2
540110014003,2
540110015001,2
540110015002,2
540110016001,2
540110018001,2
540110018002,2
540110018003,2
540110018004,2
540110018005,2
540110019001,2
540110019002,2
540110019003,2
540110020001,2
540110020002,2
540110021001,2
540110021002,2
540110021003,2
540110101031,2
540110101032,2
540110101041,2
540110101042,2
540110101043,2
540110102021,2
540110102022,2
540110102023,2
540110102031,2
540110102032,2
540110102033,2
540110102041,2
540110102042,2
540110103001,2
540110103002,2
540110103003,2
540110103004,2
540110104011,2
540110104012,2
540110104013,2
540110104021,2
540110104022,2
540110104023,2
540110105001,2
540110105002,2
540110105003,2
540110105004,2
540110106001,2
540110106002,2
540110106003,2
540110106004,2
540110107011,2
540110107012,2
540110107013,2
540110107021,2
540110107022,2
540110108011,2
540110108012,2
540110108021,2
540110108022,2
540110108023,2
540110109001,2
540110109002,2
540139626001,1
540139626002,1
540139626003,2
540139627001,2
540139627002,2
540139627003,2
540159579001,2
540159579002,2
540159580001,2
540159580002,2
540159581001,2
540159581002,2
540159581003,2
540179650001,1
540179650002,1
540179650003,1
540179650004,1
540179651001,1
540179651002,1
540179651003,1
540179651004,1
540190201011,2
540190201012,2
540190201013,2
540190201021,2
540190202011,2
540190202012,2
540190202013,2
540190202021,2
540190202022,2
540190202023,2
540190203001,2
540190203002,2
540190203003,2
540190204001,2
540190204002,2
540190204003,2
540190204004,2
540190205001,2
540190205002,2
540190206001,2
540190206002,2
540190207001,2
540190207002,2
540190207003,2
540190208001,2
540190208002,2
540190208003,2
540190209001,2
540190209002,2
540190209003,2
540190209004,2
540190210001,2
540190210002,2
540190211001,2
540190211002,2
540190211003,2
540219677011,1
540219677012,1
540219677013,1
540219677014,1
540219677015,1
540219677016,1
540219678001,1
540219678002,1
540219678003,1
540219800001,1
540239694001,1
540239694002,1
540239694003,1
540239694004,1
540239695001,1
540239695002,1
540239696001,1
540239696002,1
540239696003,1
540239696004,1
540259501011,1
540259501012,1
540259501021,1
540259501022,1
540259501023,1
540259501024,1
540259502001,1
540259502002,1
540259502003,2
540259502004,2
540259502005,1
540259503001,2
540259503002,2
540259503003,2
540259503004,2
540259504011,1
540259504012,2
540259504021,1
540259504022,1
540259504023,1
540259505001,2
540259505002,2
540259505003,2
540259506001,1
540259506002,1
540259506003,1
540259506004,1
540259507011,2
540259507012,1
540259507013,1
540259507014,2
540259507021,1
540259507022,1
540279682011,1
540279682012,1
540279682013,1
540279682021,1
540279682022,1
540279682023,1
540279683011,1
540279683012,1
540279683021,1
540279683022,1
540279683023,1
540279683024,1
540279684011,1
540279684012,1
540279684021,1
540279684022,1
540279685001,1
540279685002,1
540279685003,1
540279685004,1
540279686011,1
540279686012,1
540279686013,1
540279686021,1
540279686022,1
540279686023,1
540290206001,1
540290206002,1
540290206003,1
540290207001,1
540290207002,1
540290207003,1
540290207004,1
540290209001,1
540290209002,1
540290209003,1
540290211001,1
540290211002,1
540290211003,1
540290211004,1
540290212001,1
540290212002,1
540290212003,1
540290212004,1
540290213001,1
540290213002,1
540290214001,1
540290214002,1
540290214003,1
540290214004,1
540290215001,1
540290215002,1
540290215003,1
540319701011,1
540319701012,1
540319701021,1
540319701022,1
540319702011,1
540319702012,1
540319702021,1
540319702022,1
540319702023,1
540319703001,1
540319703002,1
540319703003,1
540319703004,1
540330301001,1
540330301002,1
540330301003,1
540330301004,1
540330302001,1
540330302002,1
540330303001,1
540330303002,1
540330303003,1
540330304001,1
540330304002,1
540330304003,1
540330305011,1
540330305021,1
540330305022,1
540330305023,1
540330306011,1
540330306012,1
540330306031,1
540330306041,1
540330306042,1
540330306043,1
540330307001,1
540330307002,1
540330308011,1
540330308021,1
540330308022,1
540330310001,1
540330310002,1
540330310003,1
540330310004,1
540330311001,1
540330311002,1
540330312001,1
540330312002,1
540330313001,1
540330313002,1
540330314001,1
540330314002,1
540330315001,1
540330316001,1
540330316002,1
540330316003,1
540330317001,1
540330317002,1
540330318001,1
540330318002,1
540330318003,1
540330319001,1
540330319002,1
540330319003,1
540330320001,1
540330320002,1
540330321031,1
540330321032,1
540330321033,1
540330321034,1
540330321041,1
540330321042,1
540330321043,1
540359632001,2
540359632002,2
540359632003,2
540359632004,2
540359633001,2
540359633002,2
540359633003,2
540359633004,2
540359634001,2
540359634002,2
540359634003,2
540359635001,2
540359635002,2
540359636001,2
540359636002,2
540359636003,2
540359636004,2
540359637011,2
540359637012,2
540359637013,2
540359637021,2
540359637022,2
540359637023,2
540379722011,1
540379722012,1
540379722013,1
540379722031,1
540379722032,1
540379722041,1
540379722042,1
540379723001,1
540379723002,1
540379723003,1
540379724011,1
540379724012,1
540379724013,1
540379724021,1
540379724022,1
540379724023,1
540379724024,1
540379725011,1
540379725012,1
540379725013,1
540379725031,1
540379725032,1
540379725051,1
540379725052,1
540379725053,1
540379725061,1
540379725062,1
540379726011,1
540379726012,1
540379726021,1
540379726022,1
540379726023,1
540379727011,1
540379727012,1
540379727013,1
540379727021,1
540379727022,1
540379727023,1
540379728001,1
540379728002,1
540379728003,1
540379728004,1
540390001001,2
540390002001,2
540390002002,2
540390003001,2
540390003002,2
540390003003,2
540390003004,2
540390005001,2
540390005002,2
540390006001,2
540390006002,2
540390006003,2
540390006004,2
540390007001,2
540390007002,2
540390007003,2
540390008001,2
540390008002,2
540390009001,2
540390011001,2
540390011002,2
540390011003,2
540390011004,2
540390011005,2
540390011006,2
540390012001,2
540390013001,2
540390013002,2
540390013003,2
540390013004,2
540390015001,2
540390015002,2
540390015003,2
540390015004,2
540390015005,2
540390017001,2
540390017002,2
540390018001,2
540390018002,2
540390018003,2
540390019011,2
540390019012,2
540390019013,2
540390019021,2
540390019022,2
540390019023,2
540390020001,2
540390020002,2
540390020003,2
540390020004,2
540390021001,2
540390021002,2
540390021003,2
540390021004,2
540390101001,2
540390101002,2
540390101003,2
540390101004,2
540390102001,2
540390102002,2
540390102003,2
540390103001,2
540390103002,2
540390103003,2
540390104001,2
540390105001,2
540390105002,2
540390105003,2
540390105004,2
540390106011,2
540390106012,2
540390106013,2
540390106014,2
540390106021,2
540390106022,2
540390107011,2
540390107012,2
540390107013,2
540390107021,2
540390107022,2
540390107023,2
540390107024,2
540390108021,2
540390108022,2
540390108031,2
540390108032,2
540390108033,2
540390108041,2
540390108042,2
540390109001,2
540390109002,2
540390110001,2
540390110002,2
540390110003,2
540390110004,2
540390111001,2
540390111002,2
540390111003,2
540390112001,2
540390112002,2
540390112003,2
540390112004,2
540390113011,2
540390113012,2
540390113021,2
540390113022,2
540390113023,2
540390113024,2
540390114011,2
540390114012,2
540390114021,2
540390114022,2
540390114023,2
540390115001,2
540390115002,2
540390115003,2
540390115004,2
540390118001,2
540390118002,2
540390118003,2
540390118004,2
540390118005,2
540390121001,2
540390121002,2
540390121003,2
540390121004,2
540390122001,2
540390122002,2
540390122003,2
540390122004,2
540390123011,2
540390123012,2
540390123013,2
540390123021,2
540390123022,2
540390128001,2
540390128002,2
540390128003,2
540390128004,2
540390129001,2
540390129002,2
540390130011,2
540390130012,2
540390130021,2
540390130022,2
540390131001,2
540390131002,2
540390131003,2
540390132001,2
540390132002,2
540390132003,2
540390132004,2
540390133001,2
540390133002,2
540390134001,2
540390134002,2
540390135001,2
540390135002,2
540390135003,2
540390136001,2
540390136002,2
540390136003,2
540390136004,2
540390137011,2
540390137012,2
540390137021,2
540390137022,2
540390137023,2
540390137024,2
540390137025,2
540390138001,2
540390138002,2
540390138003,2
540419672001,1
540419672002,1
540419672003,1
540419672004,1
540419673001,1
540419673002,1
540419673003,1
540419674001,1
540419674002,1
540419675001,1
540419675002,1
540419675003,1
540419676001,1
540419676002,1
540419676003,1
540439554011,2
540439554012,2
540439554013,2
540439554021,2
540439554022,2
540439554023,2
540439555001,2
540439555002,2
540439555003,2
540439555004,2
540439556001,2
540439556002,2
540439556003,2
540439556004,2
540439557001,2
540439557002,2
540439557003,2
540439558001,2
540439558002,2
540439558003,2
540439558004,2
540459561021,2
540459561022,2
540459561023,2
540459561031,2
540459561032,2
540459561033,2
540459561041,2
540459561042,2
540459562001,2
540459562002,2
540459564001,2
540459564002,2
540459564003,2
540459565001,2
540459565002,2
540459566001,2
540459566002,2
540459566003,2
540459566004,2
540459567001,2
540459567002,2
540459567003,2
540459567004,2
540459567005,2
540459568001,2
540459568002,2
540459568003,2
540459568004,2
540459568005,2
