map,weight,energy,cut_edges,boundary_nodes,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
000_518,1.0000,2171163.645,0.1086,0.2982,0.0185,0.4943,0.0151,7,0.5,6.7887,0.4849,7,0.0094,0.0037,-0.0049,-0.004,-0.0012,-0.004,-0.0017,-0.5795,-0.0096,-0.0101,0.0006,-0.0077,4.375,0.3125,3.4913,4.375,0.3125,2.6393,0.5804,0.593,0.6965,5,7.4682,5,0.3977,0.1771,1.3848,2.4517,95,42,57,39,0
001_519,1.0000,2527368.166,0.1108,0.302,0.0159,0.4943,0.0284,7,0.5,6.6027,0.4716,7,0.0227,0.0169,-0.0007,-0.0008,-0.0002,-0.0011,-0.0026,-0.3135,0.0035,0.0027,0.0009,-0.0073,6.4823,0.463,5.0809,6.4823,0.463,4.9627,0.5534,0.5665,0,5,7.5611,5,0.3594,0.1793,1.3746,2.3926,89,62,50,32,0
002_521,1.0000,2419936.682,0.1085,0.2937,0.0136,0.4943,0.0094,7,0.5,6.8689,0.4906,7,0.0036,-0.0021,-0.0091,-0.0081,-0.0027,-0.0081,-0.0039,-0.6659,-0.0072,-0.0064,-0.0009,-0.0065,3.9475,0.282,3.2208,3.9475,0.282,1.6373,0.5866,0.5963,1.6717,5,7.2484,5,0.3478,0.1847,1.3732,2.4057,98,38,66,30,0
003_522,1.0000,2181270.821,0.1005,0.2791,0.0193,0.4943,0.04,7,0.5,6.4395,0.46,7,0.0343,0.0286,0.0187,0.0183,0.0046,0.0178,0.0041,1.8038,0.01,0.0095,0.0005,-0.002,4.6515,0.3322,3.7369,4.6515,0.3322,7.0008,0.565,0.5775,0,5,6.6083,5,0.3877,0.1882,1.3867,2.4589,83,44,50,38,0
004_523,1.0000,2290083.356,0.0987,0.2708,0.0191,0.4943,0.0798,7,0.5,5.8828,0.4202,5,0.0741,0.0684,0.0543,0.0532,0.0108,0.0526,0.0154,6.2888,0.0154,0.0149,0.0005,0.0081,5.7787,0.4128,4.4653,5.7787,0.4128,13.9547,0.5903,0.5598,0,5,7.5826,5,0.3734,0.1764,1.3812,2.4075,63,55,50,34,0
005_524,1.0000,1849612.989,0.1059,0.2884,0.0157,0.4943,0.0516,7,0.5,6.278,0.4484,7,0.0459,0.0401,0.0245,0.0245,0.0051,0.0242,0.0069,2.6703,0.0057,0.0046,0.0011,-0.0007,6.0469,0.4319,4.734,6.0469,0.4319,9.0185,0.5636,0.5772,0,5,8.6233,5,0.3993,0.1601,1.3728,2.4374,77,58,50,38,0
006_525,1.0000,2711331.455,0.1096,0.2944,0.0172,0.4943,0.0444,7,0.5,6.3778,0.4556,6,0.0387,0.033,0.0329,0.0318,0.0123,0.0311,0.0062,3.8869,0.0337,0.0324,0.0013,0.0026,2.3552,0.1682,2.0152,2.3552,0.1682,7.7719,0.6063,0.592,0.8912,5,6.7831,5,0.3588,0.1662,1.3421,2.3926,81,22,59,30,4
007_526,1.0000,2110198.117,0.1096,0.2989,0.0193,0.4943,0.0343,7,0.5,6.5204,0.4657,5,0.0285,0.0228,0.0122,0.0111,0.0027,0.0106,0.0048,1.3768,0.0046,0.0042,0.0004,-0.0029,5.0541,0.361,3.8559,5.0541,0.361,5.991,0.5937,0.5615,0,5,9.1095,5,0.3604,0.1705,1.3876,2.4921,86,48,50,31,0
008_527,1.0000,2516873.137,0.1191,0.3263,0.0174,0.4943,0.0134,7,0.5,6.8129,0.4866,7,0.0076,0.0019,-0.0076,-0.0068,-0.0019,-0.0068,-0.0019,-1.1064,-0.015,-0.0156,0.0005,-0.0088,4.5176,0.3227,3.6685,4.5176,0.3227,2.3365,0.5683,0.5808,0.7925,5,6.7673,5,0.3325,0.1393,1.4158,2.5408,96,43,58,22,0
009_528,1.0000,2402496.94,0.1068,0.2922,0.0168,0.4943,0.0604,7,0.5,6.1551,0.4396,6,0.0546,0.0489,0.0409,0.0395,0.0099,0.0387,0.0089,5.0421,0.0229,0.0223,0.0006,0.0055,4.3014,0.3072,3.4021,4.3014,0.3072,10.5543,0.5877,0.5769,0,5,7.2635,5,0.4154,0.1952,1.3889,2.4502,73,41,50,45,0
